ID,Author,Title,Year
BAYUKA,Eric Bayruns Garc\'{i}a,"Understanding, Knowledge and the Valladolid Debate: Why Las Casas and Sep\'{u}lveda Differ on the Moral Status of Indigenous Persons",2023
RESCT,Luis Fernando Restrepo,Colonial Thought,2009
RUZTMO-2,Elena Ru\'{i}z,Theorizing Multiple Oppressions Through Colonial History: Cultural Alterity and Latin American Feminisms,2011
HELRAC,Helene Ingierd and Henrik Syse,Responsibility and Culpability in War,2005
JAMFDV,James Muldoon,Francisco de Vitoria and Humanitarian Intervention,2006
JAMUEA,James P. Sterba,"Understanding Evil: American Slavery, the Holocaust, and the Conquest of the American Indians:Vessels of Evil: American Slavery and the Holocaust. Laurence Mordekhai Thomas",1996
GRAHPI,Jorge J. E. Gracia,Hispanic Philosophy: Its Beginning and Golden Age,1993
BRUTOM-2,Daniel R. Brunstetter,Tensions of Modernity: Las Casas and His Legacy in the French Enlightenment,2012
Echeverri2021-MOLAMC,Sergio H. Orozco{-}Echeverri and Sebasti\'{a}n Molina{-}Betancur,A Mestizo Cosmographer in the New Kingdom of Granada: Astronomy and Chronology in S\'{a}nchez de Cozar Guanient\'a?s Tratado (C.1696),2021
REDQII,Walter Redmond,Quantified Inference in 16Th-Century Mexican Logic,2001
BEUTHO,Mauricio Beuchot,The History of Philosophy in Colonial Mexico,1998
REDEIO-4,Walter Redmond,Extensional Interpretation of General Sentences in Sixteenth-Century Ibero-American Logic,1981
JOHNLA,James T. Johnson,Natural Law as a Language for the Ethics of War,1975
OMETDS,Thomas F. O'Meara,The Dominican School of Salamanca and the Spanish Conquest of America: Some Bibliographical Notes,1992
BURTNB,Janet Burke and Ted Humphrey,The New Black Legend of Bartolom\'e de Las Casas : Race and Personhood,2011
CANTRO,Bernardo J. Canten?s,The Rights of the American Indians,2009
BEUEFD,Mauricio Beuchot,El Fundamento de Los Derechos Humanos En Bartolom\'e de Las Casas,1996
FAITIO-2,Fernando Ainsa,The Invention of America Imaginary Signs of the Discovery and Construction of Utopia,1989
GAKCAC,George A. Kubler,Cities and Culture in the Colonial Period in Latin America,1964
WAGFDV,Andreas Wagner,Francisco de Vitoria and Alberico Gentili on the Legal Character of the Global Commonwealth,2011
CVETPD,Charles Verlinden,The Prolonged Discovery of America,1992
CASLAE-5,Felipe Casta\~{n}eda,La Antropofagia En Francisco de Vitoria,2004
PRECCD,Isacio P\'{e}rez Fern\'{a}ndez,Cronologia Comparada de Las Intervenciones de Las Casas y Vitoria En Los Asuntos de Am\'{e}rica (Pauta Basica Para la Comparacion de Sus Doctrinas),1988
MADIAI-2,Patrick Madigan,Ideology and Inquisition: The World of the Censors in Early Mexico. By Martin Austin Nesvig,2011
GUYEDP,Alain Guy,Esquisse des Progr\`{e}s de la Sp\'{e}culation Philosophique Et Th\'{e}ologique \`A Salamanque au Cours du Xvie Si\`{e}cle,1943
EMOFAT,Edgar Montiel,From Africa to the Andes: Conquest and American Identity,1993
NUCBCT,S. Nuccetelli,Blackwell Companion to Latin American Philosophy,2009
