ID,Author,Title,Year
KATGDL-2,Joel Katzav,Grace de Laguna?s 1909 Critique of Analytic Philosophy: Presentation and Defence,2023
WEAAHO-2,Brian Weatherson,"A History of Philosophy Journals, Volume 1: Evidence From Topic Modeling, 1876-2013",2022
DEBWCE-2,Matteo De Benedetto,What Conceptual Engineering Can Learn From the History of Philosophy of Science: Healthy Externalism and Metasemantic Plasticity,2024
SARTSO-3,George Sarton,The Study of the History of Science,1936
NICTHA,Nicholas Rescher,"H 2 O: Hempel-Helmer-Oppenheim, an Episode in the History of Scientific Philosophy in the 20Th Century",1997
COHTIC-2,I. Cohen,The Isis Crises and the Coming of Age of the History of Science Society,1999
GORTPR-2,Pietro Gori,The Perspectival Realist Features of Ernst Mach?s Critical Epistemology,2023
GOREMC-2,Pietro Gori,Ernst Mach?s Contribution to the Philosophy of Science in Light of Mary B. Hesse?s Postempiricism,2021
WEATPA-2,Bruce C. Wearne,Talcott Parsons's Appraisal and Critique of Alfred Marshall,1981
POLTTO-16,Pawe\l Polak,The Theory of Relativity and Theology: The Neo-Thomist Science?Theology Separation Vs. Michael Heller?s Path to Dialogue,forthcoming
CHAHTM-3,Konstantinos Chatzigeorgiou,How the Mind-World Problem Shaped the History of Science: A Historiographical Analysis of Edwin Arthur Burtt's the Metaphysical Foundations of Modern Physical Science Part I,2020
FULOTM,Steve Fuller,On the Motives for the New Sociology of Science,1995
FULHOS,Steve Fuller,History of Science for its Own Sake?,2010
BROSKO-3,Andrzej Bronk and Monika Walczak,Stanis\l{}awa Kami\'{n}skiego Opcje Metodologiczne,2018
LEWIMP,Tim Lewens,In Memoriam: Peter Lipton,2008
REDTAA-2,Bronis\l{}aw \'{S}redniawa,The Anthropologist as a Young Physicist: Bronis\l{}aw Malinowski's Apprenticeship,1981
LINVMA-2,Alexander Linsbichler,"Viel Mehr Als Nur \""{O}konomie. K\""{o}pfe Und Ideen der \""{O}sterreichischen Schule der National\""{o}konomie",2022
DAUSDO,Joseph Dauben and George Smith and Mary Gleason,"Seven Decades of History of Science: I. Bernard Cohen (1914?2003), Second Editor of Isis",2009
MAIRSI-3,Jane Maienschein,Rethinking Sarton's Institute for History of Science and Civilization--Virtually,2009
FILAMB,Maxwell Morais de Lima Filho,"A Mente Biol\'{o}gica: Filosofia, Biologia Evolutiva e Neuroci\^{e}ncia No Naturalismo Biol\'{o}gico de John Searle",2018
SINGSA-2,Dorothea Singer and Charles Singer,George Sarton and the History of Science,1956
SHORBR,John Shotter,Underlabourers for Science or Toolmakers for Society?,1990
