ID,Author,Title,Year
BLOTWF,Ned Block,Troubles with Functionalism,1978
LYCC,William G. Lycan,Consciousness,1987
HILSAD-5,Christopher S. Hill,Sensations: A Defense of Type Materialism,1991
BLOWPS,Ned Block and Jerry A. Fodor,What Psychological States Are Not,1972
SHOFAQ,Sydney Shoemaker,Functionalism and Qualia,1975
CHAAQF,David J. Chalmers,"Absent Qualia, Fading Qualia, Dancing Qualia",1995
BLOAAQ,Ned Block,Are Absent Qualia Impossible?,1980
CHUFQA-3,Paul M. Churchland and Patricia Smith Churchland,"Functionalism, Qualia, and Intentionality",1981
VANWDD,Robert Van Gulick,What Difference Does Consciousness Make?,1989
VANUTP,Robert van Gulick,Understanding the Phenomenal Mind: Are We All Just Armadillos,1993
SHOAQA,Sydney Shoemaker,Absent Qualia Are Impossible -- A Reply to Block,1981
Mitchell2003-BRAQAA,David Braddon{-}Mitchell,Qualia and Analytical Conditionals,2003
DAVFAA,Lawrence H. Davis,Functionalism and Absent Qualia,1982
TYETSQ,Michael Tye,The Subjective Qualities of Experience,1986
BAYMQ,Umut Baysan,Mad Qualia,2019
BUCPCD,Wesley Buckwalter and Mark Phelan,Phenomenal Consciousness Disembodied,2014
WRITCF,Edmond Wright,The Case for Qualia,2008
CHAAQF-2,David J. Chalmers,"Absent Qualia, Fading Qualia, Dancing Qualia",1995
SAHPC,Manas Kumar Sahu,Phenomenal Consciousness: A Critical Analysis of Knowledge Argument Inverted Spectrum Argument and Conceivability Argument,2020
TYEAQA,Michael Tye,Absent Qualia and the Mind-Body Problem,2006
NPEDAO,Navindra Persaud and Hakwan Lau,Direct Assessment of Qualia in a Blindsight Participant,2008
FLOSAB,Hans Flohr,Sensations and Brain Processes,1995
CUDANC,Tom Cuda,Against Neural Chauvinism,1985
SEBGBA,Miguel \'{A}ngel Sebasti\'{a}n and Manolo Mart\'{i}nez,"Gradualism, Bifurcation and Fading Qualia",2024
DREAQ,Fred Dretske,Absent Qualia,1996
HILTFO,Christopher S. Hill,The Failings of Functionalism,1991
BURPOM,Stephen Burwood,Philosophy of Mind,1999
LEVFAT,Janet Levin,Functionalism and the Argument From Conceivability,1985
MARMFA,Ausonio Marras,"Materialism, Functionalism, and Supervenient Qualia",1993
CONTPO,Earl Conee,The Possibility of Absent Qualia,1985
TYEBTA,Michael Tye,"Blindsight, the Absent Qualia Hypothesis, and the Mystery of Consciousness",1993
PERTIN-6,Anthony F. Peressini,There is Nothing It is Like to See Red: Holism and Subjective Experience,2017
AVEFTA,Edward Wilson Averill,"Functionalism, the Absent Qualia Objection and Eliminativism",1990
LEVAAI,Joseph Levine,Absent and Inverted Qualia Revisited,1988
BOGAIT-3,James Bogen,Agony in the Schools,1981
ARVHAH,Marcus Arvan,Humans and Hosts in Westworld: What's the Difference?,2018
JACEFA,H. Jacoby,Empirical Functionalism and Conceivability Arguments,1989
NUSALA-3,Charles Nussbaum,Another Look at Functionalism and the Emotions,2003
BECVIA,Ansgar Beckermann,Visual Information Processing and Phenomenal Consciousness,1995
PINFAN,David Pineda,Functionalism and Nonreductive Physicalism,2001
SAYACL,Erdin\cc Sayan,A Closer Look at the Chinese Nation Argument,1987
MALTPB,Jacques Mallah,The Partial Brain Thought Experiment: Partial Consciousness and its Implications,2009
DOOFAA,G. Doore,Functionalism and Absent Qualia,1981
WHIPSA,Nicholas P. White,Professor Shoemaker and the so-Called ?Qualia' of Experience,1985
CARTPO,Lawrence Richard Carleton,The Population of China as One Mind,1983
HARFRT,Valerie Gray Hardcastle,Functionalism's Response to the Problem of Absent Qualia,1996
HOOPAT-3,Christopher Hookway,Philosophy and the Cognitive Sciences,1993
VANOOS,Robert Van Gulick,Out of Sight but Not Out of Mind: Isomorphism and Absent Qualia,1999
ELUFAT-2,Reinaldo Elugardo,Functionalism and the Absent Qualia Argument,1983
HERANO,Jeffrey Hershfield,A Note on the Possibility of Silicon Brains and Fading Qualia,2002
TOLSHA,Joseph Thomas Tolliver,Sensory Holism and Functionalism,1999
ELUFHA,Reinaldo Elugardo,"Functionalism, Homunculi-Heads and Absent Qualia",1983
SCH-61,Alexandros Schismenos,?? ?\ensuremath{\lambda}\ensuremath{\lambda}?? ?\ensuremath{\alpha}\ensuremath{\iota} ?? ?\ensuremath{\lambda}\ensuremath{\lambda}?\ensuremath{\tau}\ensuremath{\epsilon}. ?\ensuremath{\rho}?\ensuremath{\nu}?\ensuremath{\varsigma} ?\ensuremath{\alpha}\ensuremath{\iota} ?\ensuremath{\pi}?\ensuremath{\upsilon}\ensuremath{\sigma}?\ensuremath{\alpha}.,2020
LYCHAQ,William G. Lycan,Homunctionalism and Qualia,1987
HILIAT,Christopher S. Hill,Introspection and the Skeptic,1991
DEMCFA-6,Liam Dempsey,Chalmers? Fading and Dancing Qualla,2002
JUHCEA-2,Cory F. Juhl,Conscious Experience and the Non-Triviality Principle,1998
CAPCDM,Leonardo Capitaneo,Causalit\`a Del Mentale: Dall'argomento di Kim Ai Qualia in Una Prospettiva Fisicalista,2023
ELUFHA-2,Ray Elugardo,"Functionalism, Homunculi-Heads, and Absent Qualia",1983
