ID,Author,Title,Year
TSOAAP,Georgia Tsouni,Antiochus and Peripatetic Ethics,2018
WEIAAT-18,Yale Weiss,Augustine and the Kk Principle,2024
MARCDF-6,Vladimir Marko,Ciceronov \emph{de Fato}: O Helenisti\v{c}kim Kondicionalima I Slobodi Volje (1st edition),2023
JVAKJ,Andreae Jv,"Algra Keimpe, Jonathan Barnes, Jaap Mansfield and Malcolm Schofield",2000
MITHPT,Phillip Mitsis,Hellenistic Political Theory,2011
LEVPAA,C. Levy,"Philo and Antiochus in The'catulus'-Note on a Recent Article ('Academica', Skepticism)",1999
PHIPGD,Kilian Josef Fleischer,"Philodem, Geschichte der Akademie: Einfu?Hrung, Ausgabe, Kommentar",2023
WISPVL,Bohdan Wis?niewski,Philon von Larissa: Testimonia Und Kommentar,1982
LOSDL,Aleksei Fedorovich Losev,Diogen Lae?Rt?s?Ii?--Istorik Antichnoi? Filosofii,1981
LUEDPP,Annemarie Lueder,Die Philosophische Personlichkeit des Antiochos von Askalon,1940
BENGSL,Castelnerac Benoit and Hebrard Jeremie,"Galien, \emph{Sur le Meilleur Enseignement} (de Optima Doctrina), Introduction, Traduction Et Notes",2021
GATVAE,Diomira Gattafoni,Varrone Accademico e Menippeo,2021
VAZTRC,Michael Vazquez,"Tobias Reinhardt, Cicero's Academici Libri and Lucullus: A Commentary with Introduction and Translations (1st edition)",2023
WHIROM-3,F. C. White,Review Of: M Burnyeat and M Frede (Eds) the Original Sceptics: A Controversy,2001
