ID,Author,Title,Year
WPOCCW-2,Douglas W. Portmore,Commonsense Consequentialism: Wherein Morality Meets Rationality,2011
POROFT,Douglas W. Portmore,Opting for the Best: Oughts and Options,2019
ZIMLWU-2,Michael Zimmerman,Living with Uncertainty: The Moral Significance of Ignorance,2008
ZIMTCO-12,Michael J. Zimmerman,The Concept of Moral Obligation,1996
MASWTB,Elinor Mason,"Ways to Be Blameworthy: Rightness, Wrongness, and Responsibility",2019
JACOOA,Frank Jackson and Robert Pargetter,"Oughts, Options, and Actualism",1986
PORMAM-11,Douglas W. Portmore,Maximalism and Moral Harmony,2018
FELDTB,Fred Feldman,Doing the Best We Can: An Essay in Informal Deontic Logic,1986
CARCAC-19,Fabrizio Cariani,Consequence and Contrast in Deontic Semantics,2016
SPETPA-10,Jack Spencer,The Procreative Asymmetry and the Impossibility of Elusive Permission,2021
TIMMOA,Travis Timmerman and Yishai Cohen,"Moral Obligations: Actualist, Possibilist, or Hybridist?",2016
JACPR-2,Frank Jackson,Procrastinate Revisited,2014
GOLDTB,Holly S. Goldman,Doing the Best One Can,1978
GOLDRA,Holly S. Goldman,Dated Rightness and Moral Imperfection,1976
TIMDSS-3,Travis Timmerman,Does Scrupulous Securitism Stand-Up to Scrutiny? Two Problems for Moral Securitism and How We Might Fix Them,2015
ROSAPA,Jacob Ross,"Actualism, Possibilism, and Beyond",2012
SOBUAP,Jordan Howard Sobel,Utilitarianism and Past and Future Mistakes,1976
COHAHC,Yishai Cohen and Travis Timmerman,Actualism has Control Issues,2016
GUSCCA,Johan E. Gustafsson,Combinative Consequentialism and the Problem of Act Versions,2014
TIMAAP-3,Travis Timmerman and Yishai Cohen,Actualism and Possibilism in Ethics,2019
TIMHTB,Travis Timmerman and Philip Swenson,How to Be an Actualist and Blame People,2019
BAKKYG,Derek Baker,Knowing Yourself--and Giving Up on Your Own Agency in the Process,2012
WOOWWW-4,C. Woodard,What's Wrong with Possibilism,2009
GREOAD,P. S. Greenspan,Oughts and Determinism: A Response to Goldman,1978
CARCAA-4,Erik Carlson,"Consequentialism, Alternatives, and Actualism",1999
PORKAA-2,Douglas W. Portmore,Kantsequentialism and Agent-Centered Options,manuscript
GUSBAC,Johan E. Gustafsson,Binary Act Consequentialism,forthcoming
GUSTNF-2,Johan Gustafsson,The Need for Merely Possible People,2024
GRAAH-2,Peter A. Graham,Avoidable Harm,2020
THODLA,Richmond A. Thomason,Deontic Logic and the Role of Freedom in Moral Deliberation,1981
TIMEAU,Travis Timmerman,Effective Altruism?s Underspecification Problem,2019
FOEMO,Thomas Foerster,Moral Offsetting,2019
VORPP,M. Vorobej,Prosaic Possibilism,2000
MASDTR,Elinor Mason,Do the Right Thing,2017
SOBUPF,Jordan Howard Sobel,Utilitarian Principles for Imperfect Agents,1982
VESDAP,Jean{-}Paul Vessel,Defending a Possibilist Insight in Consequentialist Thought,2009
ERIDFA,Carlson Erik,"Deliberation, Foreknowledge, and Morality as a Guide to Action",2002
GOBTLO,Lou Goble,"The Logic of Obligation, 'Better' and 'Worse'",1993
VESAST,Jean{-}Paul Vessel,"Against Securitism, the New Breed of Actualism in Consequentialist Thought",2016
LOUIWD-2,Jennie Louise,"I Won?T Do It! Self-Prediction, Moral Obligation and Moral Deliberation",2009
HUMTBO,Lloyd Humberstone,The Background of Circumstances,1983
ZIMTRO-2,Michael J. Zimmerman,The Relevance of Risk to Wrongdoing,2005
NAITFO-5,Shyam Nair,Three Forms of Actualist Direct Consequentialism,2023
ZIMWDI,Michael J. Zimmerman,Where Did I Go Wrong?,1990
PORMAR-2,Douglas W. Portmore,Maximalism and Rational Control,manuscript
