ID,Author,Title,Year
SMIPAM-3,Barry Smith,Parts and Moments. Studies in Logic and Formal Ontology,1982
REITAP-9,Adolf Reinach,The a Priori Foundations of the Civil Law,1983
REISWT-2,Adolf Reinach and Karl Schuhmann and Barry Smith,"S\""{a}mtliche Werke: Textkritische Ausgabe in 2 B\""{a}nden",1989
SMIOTC-4,Barry Smith,On the Cognition of States of Affairs,1987
KOEWAC,David Koepsell,Why Ais Cannot Play Games,manuscript
SCHARA-5,Karl Schuhmann and Barry Smith,Adolf Reinach: An Intellectual Biography,1987
REITAF-2,Adolf Reinach and John Crosby,The a Priori Foundations of the Civil Law [1913],2012
SMIEOS-2,Karl Schuhmann and Barry Smith,Elements of Speech Act Theory in the Work of Thomas Reid,1990
SMIAEO-2,Barry Smith,An Essay on Material Necessity,1992
SMIITA-7,Barry Smith,"Introduction to Adolf Reinach, ?on the Theory of the Negative Judgment?",1982
SMIHWD,Barry Smith,Sachverhalt,1992
SMITCO-24,Barry Smith,Ten Conditions on a Theory of Speech Acts,1984
SMITLA-14,Barry Smith,Thinking Like an Austrian,2023
HAMROT-8,Taieb Hamid,Reinach on the Essence of Colours,2023
SMIRP-4,Barry Smith,Realistic Phenomenology,1996
CHRNSO-2,Arkadiusz Chrudzimski,Negative States of Affairs: Reinach Versus Ingarden,2012
Jaray2009-BALARI-4,Kimberly Baltzer{-}Jaray,Adolf Reinach is Not a Platonist,2009
BELTSO-12,Angela Bello and Angela Ales Bello,The Sense of Things,
SMIARA-9,Barry Smith,Adolf Reinach: An Annotated Bibliography,1987
SMIARA-10,Barry Smith,Adolf Reinach: An Annotated Bibliography,1987
DUBJAS,James M. Dubois,Judgment and Sachverhalt. An Introduction to Adolf Reinach's Phenomenological Realism,1997
SMIMUV,Barry Smith,Meinen Und Verstehen in der Literarischen Gegenstandskonstitution,1983
SMIUBH,Barry Smith,Una Breve Historia de la Teor\'{i}a de Los Actos de Habla,2002
SMIDPD-4,Barry Smith,Dalla Psicologia Del Giudizio All'ontologia Dello Stato di Cose,1997
SMIPRO-2,Barry Smith,Palaeontological Reflections on the Tractatus,1978
SMIARE,Barry Smith,Adolf Reinach e la Fondazione Della Fenomenologia Realistica. Seconda Parte: Giudizi e Stati di Cose,1987
SMIARE-2,Barry Smith,Adolf Reinach e la Fondazione Della Fenomenologia Realistica. Prima Parte: Nomi e Oggetti,1987
BREBTF,Garrett Zantow Bredeson,Back to Fichte? Natorp?s Doubts About Husserl?s Transcendental Phenomenology,2020
BIGWAN,Michael Biggs,What About Not,2022
Bernard2018-JEATGO,Marc Jean{-}Bernard,The Grammars of Mystical Experience in Christian Theological Dialogue,2018
Jani2020-VARHAR-2,Anna Varga{-}Jani,Historicity and Religiosity in Heidegger?s Interpretation of the Reality: With an Outlook to Adolf Reinach?s Contribution to Heidegger?s Phenomenological Conception,2020
VASRAC,Basil Vassilicos and Christopher Erhard,Reinach and Contemporary Philosophy. New Yearbook for Phenomenology and Phenomenological Philosophy. Volume 19,2022
DELPAH-3,Nathalie Barbosa de la Cadena,Phenomenology and Human Rights (1st edition),2023
SEIRAS,Josef Seifert,"Reinach, Adolf:"" S\""{a}mtliche Werke""",1991
