ID,Author,Title,Year
CURRMI,Gregory Currie and Ian Ravenscroft,Recreative Minds: Imagination in Philosophy and Psychology,2002
CURTNO-4,Gregory Currie,The Nature of Fiction,1990
BACTPO-4,Gaston Bachelard,The Poetics of Space,1994
PETKTI,Amy Kind and Peter Kung,Knowledge Through Imagination,2016
HOPPIA-7,Robert Hopkins,"Picture, Image and Experience: A Philosophical Inquiry",1998
RAMTSO-5,Vilayanur Ramachandran and William Hirstein,The Science of Art: A Neurological Theory of Aesthetic Experience,1999
VANTMO-3,Neil Van Leeuwen,"The Meanings of ""Imagine"" Part I: Constructive Imagination",2013
UMBIVS-2,Steven Umbrello,Imaginative Value Sensitive Design: Using Moral Imagination Theory to Inform Responsible Technology Design,2020
KINLTI,Amy Kind,Learning to Imagine,2022
KINTPO-4,Amy Kind,The Puzzle of Imaginative Desire,2011
VANIIW,Neil Van Leeuwen,Imagination is Where the Action Is,2011
FRIIFA,Stacie Friend,Imagining Fact and Fiction,2008
MORTEO-4,Richard Moran,The Expression of Feeling in Imagination,1994
LIATPO,Tamar Szab\'o Gendler and Shen{-}yi Liao,The Problem of Imaginative Resistance,2015
KIMTCO-13,Hanna Kim and Markus Kneer and Michael T. Stuart,The Content-Dependence of Imaginative Resistance,2018
Hassan2012-LANIPA,Peter Langland{-}Hassan,"Pretense, Imagination, and Belief: The Single Attitude Theory",2012
NICTAO-6,Shaun Nichols,"The Architecture of the Imagination: New Essays on Pretence, Possibility, and Fiction",2006
KINTRH-7,Amy Kind,The Routledge Handbook of the Philosophy of Imagination,2016
RUSKFZ,Francey Russell,Kant's Fantasy,2024
LIAEII,Shen{-}yi Liao and Nina Strohminger and Chandra Sekhar Sripada,Empirically Investigating Imaginative Resistance,2014
MAKIAI,Rudolf A. Makkreel,Imagination and Interpretation in Kant: The Hermeneutical Import of the Critique of Judgment,1990
STOTRO-17,Dustin Stokes,The Role of Imagination in Creativity,2014
BOHSOA-2,David Bohm and F. David Peat,"Science, Order and Creativity",2010
LIAIRN,Shen{-}yi Liao,"Imaginative Resistance, Narrative Engagement, Genre",2016
COPEPA,Amy Coplan and Peter Goldie,Empathy: Philosophical and Psychological Perspectives,2011
KAMIT,Samuel Kampa,Imaginative Transportation,2018
CURLFF,Greg Currie and Heather Ferguson and Jacopo Frascaroli and Stacie Friend and Kayleigh Green and Lena Wimmer,Learning From Fiction,2023
GENI-3,Tamar Szab\'o Gendler,Imagination,2012
WALIAT-7,Ashley E. Walton and Michael J. Richardson and Peter Langland{-}Hassan and Anthony Chemero,Improvisation and the Self-Organization of Multiple Musical Bodies,2015
CHAIIR-2,Alon Chasid,"Imaginative Immersion, Regulation, and Doxastic Mediation",2021
NICIAB,Shaun Nichols,Imagining and Believing: The Promise of a Single Code,2004
RIGPSA,Nick Riggle,Personal Style and Artistic Style,2015
Carpintero2010-GARFSI-6,Manuel Garcia{-}Carpintero,Fictional Singular Imaginings,2010
CHABIA-5,Alon Chasid,Belief-Like Imagining and Correctness,2021
CAMTVO,Elisabeth Camp,"Two Varieties of Literary Imagination: Metaphor, Fiction, and Thought Experiments",2009
DOGHWF,Tyler Doggett and Andy Egan,"How We Feel About Terrible, Non-Existent Mafiosi",2012
BAIWMB,Olivia Bailey,"What Must Be Lost: On Retrospection, Authenticity, and Some Neglected Costs of Transformation",2023
BREOII,Angela Breitenbach,One Imagination in Experiences of Beauty and Achievements of Understanding,2020
MURTAA-11,Alice Murphy,The Aesthetic and Literary Qualities of Scientific Thought Experiments,2020
CHAIIR,Alon Chasid,Imagining in Response to Fiction: Unpacking the Infrastructure,2019
SCRAAI,Roger Scruton,Art and Imagination: A Study in the Philosophy of Mind,1974
VILRSA,Benjamin Vilhauer,?Reason?s Sympathy? and its Foundations in Productive Imagination,2021
FRIIUA-2,Stacie Friend,Fictive Utterance and Imagining Ii,2011
STOMCT,Dustin Stokes,Minimally Creative Thought,2011
MILIOG,Arthur I. Miller,Insights of Genius: Imagery and Creativity in Science and Art,1996
KUZLNA,Anezka Kuzmicova,Literary Narrative and Mental Imagery: A View From Embodied Cognition,2014
MIYTCA,Kengo Miyazono and Shen{-}yi Liao,The Cognitive Architecture of Imaginative Resistance,2016
KIEAIA,Matthew Kieran,"Art, Imagination, and the Cultivation of Morals",1996
STOISF,Kathleen Stock,I--Kathleen Stock: Fictive Utterance and Imagining,2011
CURT,G. Currie,Tragedy,2010
KAFKMA,Wojciech Kaftanski,"Kierkegaard, Mimesis, and Modernity: A Study of Imitation, Existence, and Affect",2021
CURIAS,Gregory Currie,Imagination as Simulation: Aesthetics Meets Cognitive Science,1995
WEIIT,Jonathan M. Weinberg and Aaron Meskin,Imagine That!,2005
KNEKAT-3,Jane Kneller,Kant and the Power of Imagination,2007
BLUIHA,Kyle Blumberg and Margot Strohminger,Imaginative Hopes and Other Desires,forthcoming
BRAIAT,Emily Brady,Imagination and the Aesthetic Appreciation of Nature,1998
XHIIDG,Michel{-}Antoine Xhignesse,Imagining Dinosaurs,forthcoming
STETCO,Leslie F. Stevenson,Twelve Conceptions of Imagination,2003
KIERA-2,Matthew Kieran,Revealing Art,2004
