ID,Author,Title,Year
SUNDAT,Timothy Sundell,Disagreements About Taste,2011
HUMOTS,David Hume,Of the Standard of Taste,1875
COVDPN,Florian Cova and Christopher Y. Olivola and Edouard Machery and Stephen Stich and David Rose and Mario Alai and Adriano Angelucci and Renatas Berni\={u}nas and Emma E. Buchtel and Amita Chatterjee and Hyundeuk Cheon and In{-}Rae Cho and Daniel Cohnitz and Vilius Dranseika and \'{A}ngeles E. Lagos and Laleh Ghadakpour and Maurice Grinberg and Ivar Hannikainen and Takaaki Hashimoto and Amir Horowitz and Evgeniya Hristova and Yasmina Jraissati and Veselina Kadreva and Kaori Karasawa and Hackjin Kim and Yeonjeong Kim and Minwoo Lee and Carlos Mauro and Masaharu Mizumoto and Sebastiano Moruzzi and Jorge Ornelas and Barbara Osimani and Carlos Romero and Alejandro Rosas and Massimo Sangoi and Andrea Sereni and Sarah Songhorian and Paulo Sousa and Noel Struchiner and Vera Tripodi and Naoki Usui and Alejandro V. del Mercado and Giorgio Volpe and Hrag A. Vosgerichian and Xueyi Zhang and Jing Zhu,De Pulchritudine Non Est Disputandum? A Cross-Cultural Investigation of the Alleged Intersubjective Validity of Aesthetic Judgment,2019
BAKICA,Carl Baker,Indexical Contextualism and the Challenges From Disagreement,2012
HANTHO-5,Nat Hansen and Zed Adams,The Hope of Agreement: Against Vibing Accounts of Aesthetic Judgment,2023
SHETCO-7,James Shelley,The Concept of the Aesthetic,2017
LEVHSO,Jerrold Levinson,Hume's Standard of Taste: The Real Problem,2002
LIAMAA,Shen{-}yi Liao and Aaron Meskin,Morality and Aesthetics of Food,2018
KIETVO,Matthew Kieran,"The Vice of Snobbery: Aesthetic Knowledge, Justification and Virtue in Art Appreciation",2010
MESMET,Aaron Meskin and Mark Phelan and Margaret Moore and Matthew Kieran,Mere Exposure to Bad Art,2009
WHICAR-3,Daniel Whiting,Cavendish?s Aesthetic Realism,2023
DINTTA-4,Alexander Dinges and Julia Zakkou,"Taste, Traits, and Tendencies",2021
CARFT-5,"No\""{e}l Carroll",Forget Taste,2022
LOPAEG,Dominic Mciver Lopes,"Aesthetic Experts, Guides to Value",2015
