ID,Author,Title,Year
KEASTT-2,Michael N. Keas,Systematizing the Theoretical Virtues,2017
BIRDGN,Andy Egan,Disputing About Taste,2010
DAVTAS-3,Stephen Davies,"The Artful Species: Aesthetics, Art, and Evolution",2012
CARMIK,Emily Carson and Lisa Shabel,Mathematics in Kant's Critical Philosophy,2015
MEROTU-2,Hugo Mercier,On the Universality of Argumentative Reasoning,2011
MCMB-6,Jennifer A. McMahon,Beauty,2020
GINTTP,Hannah Ginsborg,Thinking the Particular as Contained Under the Universal,2006
MATPSA-3,Mohan Matthen,"Play, Skill, and the Origins of Perceptual Art",2015
MCMAAM-2,Jennifer McMahon,Aesthetics and Material Beauty: Aesthetics Naturalized,2007
DANWAI-2,Arthur C. Danto,What Art Is,2013
SAUSUP,Martina Sauer,"Aesthetik Und Pragmatismus. Zur Funktionalen Relevanz Einer Nicht-Diskursiven Formauffassung Bei Cassirer, Langer Und Krois",2014
HOPASA-3,Robert Hopkins and Nick Riggle,Artistic Style as the Expression of Ideals,2021
WUADO,Tsaiyi Wu,A Dream of a Stone: The Ethics of de-Anthropocentrism,2020
RICENA-5,Richard A. Richards,Engineered Niches and Naturalized Aesthetics,2017
COSAAM-3,Timothy M. Costelloe,Aesthetics and Morals in the Philosophy of David Hume,2007
OLKTU,Dorothea Olkowski,The Universal (in the Realm of the Sensible): Beyond Continental Philosophy,2007
ZEHTCA-3,Li Zehou,The Chinese Aesthetic Tradition,2009
BENPTA-2,Jiri Benovsky,"Philosophical Theories, Aesthetic Value, and Theory Choice",2013
SCHTAO-14,Elisabeth Schellekens,Taste and Objectivity: The Emergence of the Concept of the Aesthetic,2009
BEYQDH,Facundo Norberto Bey,"""Belleza"" de Hans-Georg Gadamer y ""Belleza y Burgues\'{i}a"" de Odo Marquard: Introducci\'{o}n, Traducci\'{o}n y Notas de Facundo Bey",2023
ADATAU-3,Stephanie Adair,The Aesthetic Use of the Logical Functions in Kant's Third Critique,2018
Cantero2023-LOPHTK,Pilar Lopez{-}Cantero and Catherine Robb,How to Know a City: The Epistemic Value of City Tours (1st edition),2023
DUTAU,Denis Dutton,Aesthetic Universals,2000
TARGMO,Dorothy Tarrant,Greek Metaphors of Light,1960
CARKSO-4,Emily Carson and Lisa Shabel,Kant: Studies on Mathematics in the Critical Philosophy,2015
WIMTJO,Cory Wimberly,The Joy of Difference: Foucault and Hadot on the Aesthetic and Universal in Philosophy,2009
GUYAAI-2,Paul Guyer,Autonomy and Integrity in Kant?s Aesthetics,1983
HAMMAT,Andy Hamilton,Music and the Aural Arts,2007
KRATPO-36,Chris A. Kramer,The Philosophy of Humor: What Makes Something Funny,2022
POUTAC,Behrang Pourhosseini,Taste(s) and Common Sense(S),2024
LAMTAA-3,Peter Lamarque,The Aesthetic and the Universal,1999
KHUAND,Thomas Khurana,"Altera Natura: Das Anthropoz\""{a}n Als \""{A}sthetisches Problem",2023
BODTUO,Jane Boddy and Hanna Brinkmann and Eva Specker and Michael Forster and Helmut Leder and Raphael Rosenberg,The Universality of Aesthetic Effects,2023
MERMAK,Melissa Merritt,Murdoch and Kant,2022
GOOTRO-9,John R. Goodreau,The Role of the Sublime in Kant's Moral Metaphysics,1998
GAGAOU,Pasquale Gagliardi and Simon Schaffer and John Tresch,Aesthetics of Universal Knowledge,2017
Aliaga2020-ALIVNL,Osman Choque{-}Aliaga,"Viscarra, Nietzsche: Las Virtudes Del Genio y la Comunicaci\'{o}n de la ?Cultura Superior?. Viscarra, Nietzsche. The Virtues of Genius and the Communication of ""Superior Culture"".",2020
MCMAP,Jennifer A. McMahon,Aesthetic Perception,1996
MARTAS-19,Collier Mark,"Toward a Science of Criticism: Aesthetic Values, Human Nature, and the Standard of Taste",2014
PETDFA-2,Jeffrey Petts,Directions for a New Aestheticism,2005
FENTOI-2,Gene Fendt,The Others in/of Aristotle?s Poetics,1997
HEIZMD,Steven Heine,Zen Master D\={o}gen: Philosopher and Poet of Impermanence,2016
MANIOC-4,Eva Kit Wah Man,Issues of Contemporary Art and Aesthetics in Chinese Context,2015
CHARII-4,Arindam Chakrabarti,Rationality in Indian Philosophy,1991
WONEEA,Mandy{-}Suzanne Wong,Editorial. Evolution and Aesthetics,2015
KOLQAJ,David Kolb,"""Identity and Judgment: Five Theses and a Program""",1994
AESEAA,Evental Aesthetics,Evolution and Aesthetics,2015
EATKAC-2,Marcia M. Eaton,Kantian and Contextual Beauty,2000
ZAAWIA,Jakob Zaaiman,What is Art ? A Philosophical Definition,2012
WIEUOC,Anna Wierzbicka,?Universals of Colour? From a Linguistic Point of View,1999
DANBAB-2,Arthur C. Danto,Beauty and Beautification,2000
