ID,Author,Title,Year
LOPBFB,Dominic Lopes,Being for Beauty: Aesthetic Agency and Value,2018
XHIDDA,Michel{-}Antoine Xhignesse,Distant Dinosaurs and the Aesthetics of Remote Art,2024
BRUATA-3,"Felix Br\""{a}uer",Aesthetic Testimony and Aesthetic Authenticity,2023
MORTET-2,Timothy Morton,The Ecological Thought,2010
MATDTL-2,Erich Hatala Matthes,\emph{Drawing the Line: What to Do with the Work of Immoral Artists From Museums to the Movies},2021
LINSOA-5,Sheila Lintott and Sherri Irvin,Sex Objects and Sexy Subjects: A Feminist Reclamation of Sexiness,2016
KHULA,Thomas Khurana and Stefanie Diekmann,"Latenz. 40 Ann\""{a}herungen an Einen Begriff",2007
SCRTAU,Roger Scruton,The Aesthetic Understanding: Essays in the Philosophy of Art and Culture,1983
HOSPCP,Teresa Hoskyns and Siti Balkish Roslan and Claudia Westermann,Practising Collectivity: Performing Public Space in Everyday China,2022
RIGUTS-2,Nick Riggle,Using the Street for Art: A Reply to Baldini,2016
NEUAD,Jonathan A. Neufeld,Aesthetic Disobedience,2015
XHIIDG,Michel{-}Antoine Xhignesse,Imagining Dinosaurs,forthcoming
SHUNTT,Martin Shuster,New Television: The Aesthetics and Politics of a Genre,2017
LAUART-2,Federico Lauria,Affective Responses to Music: An Affective Science Perspective,2023
WESOGT-2,Claudia Westermann,"On Globes, the Earth and the Cybernetics of Grace",2021
BALSAA-2,Andrea Baldini,Street Art: A Reply to Riggle,2016
WESRRW,Claudia Westermann,Editorial: Rethinking Research with Methodologies of Art Practice,2024
FRIAA-3,Jeremy Fried,Ally Aesthetics,2019
EVNTAO,Simon J. Evnine,The Anonymity of a Murmur: Internet Memes,2018
RIGOBA,Nick Riggle,On Being Awesome: A Unified Theory of How Not to Suck,2017
ELPRBA,Andreas Elpidorou and John Gibson,Really Boring Art,2022
LEWTMO-11,James H. P. Lewis,The Musicality of Speech,2022
LOPDSS,Dominic McIver Lopes,Desolation Sound: Social Practices of Natural Beauty,2020
BRAFAT-13,Peg Zeglin Brand Weiser and Carolyn Korsmeyer,Feminism and Tradition in Aesthetics,1995
XHIEAW,Michel{-}Antoine Xhignesse,Entitled Art: What Makes Titles Names?,2019
HOOBLR,Bell Hooks,Black Looks: Race and Representation (2nd edition),2014
MARLAN,John Marmysz,Laughing at Nothing: Humor as a Response to Nihilism,2003
ZEHTCA-3,Li Zehou,The Chinese Aesthetic Tradition,2009
GEUMCA,Raymond Geuss,"Morality, Culture, and History: Essays on German Philosophy",1999
BEYQDH,Facundo Norberto Bey,"""Belleza"" de Hans-Georg Gadamer y ""Belleza y Burgues\'{i}a"" de Odo Marquard: Introducci\'{o}n, Traducci\'{o}n y Notas de Facundo Bey",2023
BRABM-5,Peg Zeglin Brand,Beauty Matters,2000
GRATRO-18,Gordon Graham,The Re-Enchantment of the World: Art Versus Religion,2007
MOSAGO-2,Shelby Moser and Michel{-}Antoine Xhignesse,"A Garden of One's Own, or Why Are There No Great Lady Detectives?",2023
SAUFS-2,Martina Sauer,"Faszination - Schrecken. Zur Handlungsrelevanz \""{A}sthetischer Erfahrung Anhand Anselm Kiefers Deutschlandbilder",2018
Cantero2023-LOPHTK,Pilar Lopez{-}Cantero and Catherine Robb,How to Know a City: The Epistemic Value of City Tours (1st edition),2023
KHUDKD,Thomas Khurana,Die Kunst der Zweiten Natur. Zu Einem Modernen Kulturbegriff Nach Kant Und Hegel,2016
DAVBA-2,Stephen Davies,Balinese Aesthetics,2007
LOPOOA,Dominic McIver Lopes and Andrea Naomi Walsh,Objects of Appropriation,2009
GUTWMM,Eran Guter,"Wittgenstein, Modern Music, and the Myth of Progress",2017
GALADF,Michalle Gal,Aestheticism: Deep Formalism and the Emergence of Modernist Aesthetics,2015
SPAHLG,Roland Spalinger,"Heiliges Leiden. Weiblich Codierter Masochismus in Dolorosas (Alias Maria Eichhorn) ""Confirmo Te Chrysmate""",2024
MAEDTL,Hans Maes,Drawing the Line: Art Versus Pornography,2011
BRABM,Peg Zeglin Brand,Symposium: Beauty Matters,1999
SEDAFA,Sonia Sedivy,Art From a Wittgensteinian Perspective: Constitutive Norms in Context,2014
DOLTOF,Laura D'Olimpio,Thoughts on Film: Critically Engaging with Both Adorno and Benjamin,2016
COOMNA,David E. Cooper,"Music, Nature and Ineffability",2016
KRATPO-36,Chris A. Kramer,The Philosophy of Humor: What Makes Something Funny,2022
BRAGOI,Peg Zeglin Brand Weiser,Glaring Omissions in Traditional Theories of Art,2002
ABECAU,Arnold Berleant,Cultivating an Urban Aesthetic,1986
GARAAT-15,Arran Gare,Architecture and the Global Ecological Crisis: From Heidegger to Christopher Alexander,2003/2004
DAVASA-6,Christopher Davidson,A Spinozist Aesthetics of Affect and its Political Implications,2017
KEEEJN,Donald Keene,Estetyka Japo\'{n}ska,2001
MELAAA-4,William D. Melaney,Art as a Form of Negative Dialectics: 'Theory' in Adorno's Aesthetic Theory,1997
SNYTIO-2,Stephen Snyder,The Imperceptibility of Style in Danto's Theory of Art: Metaphor and the Artist's Knowledge,2015
JAKTWM,Marzenna Jakbczak,The Woman-and-Tree Motif in the Ancient and Contemporary India,2017
EDWSIA-2,Terence Rajivan Edward,Traditional Literary Interpretation Versus Subversive Interpretation,2022
