ID,Author,Title,Year
GORAIT-5,Lewis R. Gordon,An Introduction to Africana Philosophy,2008
EZEPAP-3,Emmanuel Chukwudi Eze,Postcolonial African Philosophy: A Critical Reader,1997
WAGAPO-3,Yusef Waghid,African Philosophy of Education Reconsidered: On Being Human,2013
JANPIA-3,Bruce B. Janz,Philosophy in an African Place,2009
WIRACT-3,Kwasi Wiredu,A Companion to African Philosophy,2004
EZEAPA-2,Emmanuel Chukwudi Eze,African Philosophy: An Anthology,1998
MCEPAT-4,Michael McEachrane,Pan-Africanism and the African Diaspora in Europe,2020
PORARA-3,Jos\'e Eduardo Porcher and Fernando Carlucci,Afro-Brazilian Religions and the Prospects for a Philosophy of Religious Practice,2023
LEWAWA,Dwight Lewis,Anton Wilhelm Amo: The African Philosopher in 18Th Europe,2018
MERCAA-2,Michael Merry,Constructing an Authentic Self: The Challenges and Promise of African-Centered Pedagogy,2008
MCEOCA,Michael McEachrane,On Conceptualising African Diasporas in Europe,2021
Hales2017-DUNDHB,Christopher Duncanson{-}Hales,"Dread Hermeneutics: Bob Marley, Paul Ricoeur and the Productive Imagination.",2017
GORAGI,Lewis R. Gordon,"A Girl in Black, a Woman in the African Diaspora",2023
SLAATK,Oladipupo Sl,Afrocentricity and the Quest for Identity in the African Diaspora,2024
MCEALE,Michael McEachrane,Afro-Nordic Landscapes: Equality and Race in Northern Europe,2014
BROAPN-3,M. Brown Lee,African Philosophy: New and Traditional Perspectives,2004
ROGSWW,Antoine Rogers,Social Work with the Black African Diaspora,2023
HALAMI-2,Barry Hallen,Afro-Brazilian Mosques in West Africa,1988
YANPIM-2,George Yancy,Philosophy in Multiple Voices,2007
AGBMAR,Seth A. Agbo,Myths and Realities of Higher Education as a Vehicle for Nation Building in Developing Countries: The Culture of the University and the New African Diaspora,2005
JEFLTO,Chike Jeffers,Listening to Ourselves: A Multilingual Anthology of African Philosophy,2013
JETROT,Howard F. Jeter,Reaching Out to the African Diaspora: The Need for Vision,2003
ORTFDC-2,Pedro Lebr\'{o}n Ortiz,Filosof\'{i}a Del Cimarronaje,2020
Baptiste2007-BATQTH,Whitney Battle{-}Baptiste,"""in This Here Place"": Interpreting Enslaved Homeplaces",2007
VIVFBS,Jean{-}Marie Vivaldi,Fanon's Black Skin White Masks: The Scientific Irreducibility of Black Bodies and Inscribing the Psychological and Social Experiences of the African Diaspora in the Western Sciences,2013
JAIRHJ,David Jaitner,Reconstructive Habits: John Dewey on Human Functioning,2018
Baptiste2010-BATSSP,Whitney Battle{-}Baptiste,Sweepin? Spirits: Power and Transformation on the Plantation Landscape,2010
REINTS,Robin Anne Reid and Bianca L. Beronio,Nine Tolkien Scholars Respond to Charles W. Mills?s ?the Wretched of Middle-Earth: An Orkish Manifesto?,2023
ADERTF,Rachel Adeleye,Re-Covering/Re-Membering the Fundamental Elements of Love : Black Women?s Wellness in the African Diaspora,2018
MALCSA-4,Anna Malitowska and Mateusz Bonecki,Common Sense and Scientific Inquiry: Remarks on John Dewey?s Philosophy of Educational Progressivism,2016
Baptiste2010-BATGC,Whitney Battle{-}Baptiste,Global Conversations,2010
THOADR-2,John K. Thornton,"African Diaspora, Religion In",2021
DEMDRA-2,Mariana Ramos de Morais,"De Religi\~{a}o a Cultura, de Cultura a Religi\~{a}o: Travessias Afro-Religiosas No Espa\c{c}o P\'{u}blico",2018
KARITA,Mehmet Karabela,"Introduction to Africana Philosophy, Lewis Gordon, Cambridge University Press, 2008",2011
WETTBA,Kevin J. Wetmore,"The 'Black Aegean' (B.) Goff, (M.) Simpson Crossroads in the Black Aegean. Oedipus, Antigone, and Dramas of the African Diaspora. Pp. Xii + 401, Ills. Oxford: Oxford University Press, 2007. Cased, \pounds65. Isbn: 978-0-19-921718-",2009
KWEWAT,Richmond Kwesi,William Abraham: The Mind of Africa,2019
