ID,Author,Title,Year
CURTNB,Tommy J. Curry,"This Nigger's Broken: Hyper-Masculinity, the Buck, and the Role of Physical Disability in White Anxiety Toward the Black Male Body",2017
IRIEAD-3,Paul O. Irikefe,Ethnophilosophy as Decolonization: Revisiting the Question of African Philosophy,forthcoming
DASAST-3,Francisco Jos\'e da Silva,African Socrates: The Philosophical Power of the Work of Carolina Maria de Jesus,2024
CURIFT,Tommy J. Curry,It?s for the Kids: The Sociological Significance of W.E.B. Du Bois? the Brownies? Books and Their Philosophical Relevance for Our Understanding of Gender in the Ethnological Age,2015
BASTPL,Elvira Basevich,The Philosophical Legacy of Charles Mills,2021
MUKCHJ,Bryan Mukandi,"Chester Himes, Jacques Derrida and Inescapable Colonialism: Reflections on African Philosophy From the Diaspora",2015
CHIAOS-2,Jonathan O. Chimakonam,Atuolu Omalu: Some Unanswered Questions in Contemporary African Philosophy,2014
CURITR,Tommy J. Curry,I?M Too Real for Yah,2009
DANATD-4,Fernando Danner and Leno Francisco Danner,?Algu\'{e}m Tem de Dizer Aos Negros a Verdade?: Olavo de Carvalho Sobre a Contribui-\c{C}~{a}o Negro-Africana \`A Cultura Ocidental,2021
ESTAAP-2,Ayni Estev\~{a}o de Araujo,A Ag\^{e}ncia Pol\'{i}tica de Mulheres Negras Sob a Perspectiva Do Mulherismo Africana: Para Al\'{e}m Do Ensurdecimento,2022
CERLEA,Hildebrando de Almeida Cerqueira,Lebabimibome: Espiritualidade Africana e Resist\^{e}ncia \`A Escraviza\c{c}~{a}o,2021
RIBACE-3,Raimunda Ribeiro and Marina Ferreira Gomes,A Constru\c{c}~{a}o e Percep\c{c}~{a}o Do Imagin\'{a}rio da Cultura Africana e Afro-Brasileira e a Forma\c{c}~{a}o da Identidade \'{E}tnico-Racial No Contexto Escolar,2021
JEFPFA,Chike Jeffers,Prospects for African Canadian Philosophy,2014
Odhiambo2008-OCHCIP,F. Ochieng'{-}Odhiambo and Roxanne Burton and Ed Brandon,Conversations in Philosophy: Crossing the Boundaries,2008
LOTAR,Tommy L. Lott,African Retentions,2003
HENAPA-9,Paget Henry,Afro-Caribbean Philosophy,1993
BEWIRI,John Ayotunde Bewaji,Identity Recreation in Global African Encounters,2019
MAROTR-2,Luz Mar\'{i}a Mart\'{i}nez Montiel,Our Third Root: On African Presence in American Populations,1997
AMOAWA,Anton Wilhelm Amo,Anton William Amo's Treatise on the Art of Philosophising Soberly and Accurately (with Commentaries),1990
HENRNA,Paget Henry,Rex Nettleford African and Afro-Caribbean Philosophy,1997
BROWF,David Brookshaw,Writing From the Margins: Towards an Epistemology of Contemporary African Brazilian Fiction,2012
MBAARA,Babacar M?Baye,"Africa, Race, and Culture in the Narratives of W. E. B. Du Bois",2004
GOMTTE-2,Anto?nio Ma?spoli de Arau?jo Gomes,Trauma Transgeracional e Resilie?Ncia Na Dia?Spora Africana,2018
OKOATR,Raymond Chukwuebuka Okoro and John Owen Adimike,African Traditional Religion: Myth or Reality?,2024
DEDCLV,Antonio de Diego Gonz\'{a}lez,Construyendo la Verdad Yor\`{u}b\'a. Una Lectura Afroepistemol\'{o}gica Del Sistema de If\'a,2012
SIMEAA-12,Peter Simatei,East African Asian Writing and the Emergence of a Diasporic Aesthetic,2023
Baptiste2010-BATGC,Whitney Battle{-}Baptiste,Global Conversations,2010
SANNME,Tiago Soares dos Santos and Rocha Davi Santos,"Narrativas M\'{i}ticas e o Modo de Pensar Contemporaneo: Uma Influ\^{e}ncia Com Origem Nas Culturas Gregas, Judaico-Crist\~{a}s, Ind\'{i}genas e da Ancestralidade Africana",2021
DELALF-3,Theresa Delgadillo,"African, Latina, Feminist, and Decolonial: Marta Moreno Vega's Remembrance of Life in El Barrio in the 1950S",2020
Baptiste2007-BATQTH,Whitney Battle{-}Baptiste,"""in This Here Place"": Interpreting Enslaved Homeplaces",2007
DORARO-3,Francis E. Dorsey,"A Rhetoric of Values: An Afrocentric Analysis of Marcus Garvey's Convention Speeches, 1921-1924",1990
COSTPA-2,Bruce Cosby,Technological Politics and the Political History of African-Americans,1995
OTATAI,Kwesi Otabil,The Agonistic Imperative: The Rational Burden of Africa-Centeredness,1994
CARIW,Jacob H. Carruthers,Intellectual Warfare,1999
GRAROW-2,Obika Gray,Review of Walter Rodney Speaks: The Making of an African Intellectual,1991
ADALAC-3,Ezequiel Adamovsky,La Africana: Canciones de Una Comparsa de Falsos Negros Del Carnaval Porte\~{n}o (1869-1879)la Africana: Songs of a Carnival Ensemble of Whites Performing as Blacks in the Buenos Aires Carnival,2021
ELNJAB,Zeyad El Nabolsy,James Africanus Beale Horton: Racism and the Fate of Naturalism in Victorian Philosophical Anthropology,2023
