ID,Author,Title,Year
WIRCUA,Kwasi Wiredu,Cultural Universals and Particulars: An African Perspective,1996
METUAA-2,Thaddeus Metz,Ubuntu as a Moral Theory and Human Rights in South Africa,2011
MOLAAP-4,Motsamai Molefe,"An African Philosophy of Personhood, Morality, and Politics",2019
METHGE-2,Thaddeus Metz,Harmonizing Global Ethics in the Future: A Proposal to Add South and East to West,2014
APPRCI-2,Kwame Anthony Appiah,"Race, Culture, Identity: Misunderstood Connections",1996
METDTA-2,Thaddeus Metz,African Communitarianism and Difference,2020
METHDC,Thaddeus Metz,"Human Dignity, Capital Punishment, and an African Moral Theory: Toward a New Philosophy of Human Rights",2010
METAMT-3,Thaddeus Metz,"African Moral Theory and Public Governance: Nepotism, Preferential Hiring and Other Partiality",2009
METAAT-6,Thaddeus Metz,An African Theory of Social Justice,2016
METQCO-2,Thaddeus Metz,African Conceptions of Human Dignity: Vitality and Community as the Ground of Human Rights,2012
METAAE,Thaddeus Metz,An African Egalitarianism: Bringing Community to Bear on Equality,2015
METJTB,Thaddeus Metz,Just the Beginning for Ubuntu: Reply to Matolino and Kwindingwi,2014
METWUE,Thaddeus Metz,Reconciliation as the Aim of a Criminal Trial: Ubuntu?s Implications for Sentencing,2019
METTIO-7,Thaddeus Metz,Replacing Development: An Afro-Communal Approach to Global Justice,2017
MATTEO-15,Bernard Matolino and Wenceslaus Kwindingwi,The End of Ubuntu,2013
IKUPPO,Polycarp Ikuenobe,Philosophical Perspectives on Communalism and Morality in African Traditions,2006
METDAP,Thaddeus Metz,Developing African Political Philosophy: Moral-Theoretic Strategies,2012
METAVA-2,Thaddeus Metz,African Values and Human Rights as Two Sides of the Same Coin: Reply to Oyowe,2014
METQEK,Thaddeus Metz,"Higher Education, Knowledge for its Own Sake, and an African Moral Theory",2009
CHISAT-5,Sylvester C. Chima and Francis Akpa{-}Inyang,South African Traditional Values and Beliefs Regarding Informed Consent and Limitations of the Principle of Respect for Autonomy in African Communities: A Cross-Cultural Qualitative Study,2021
Otu2018-SEKLUA,Ato Sekyi{-}Otu,"Left Universalism, Africacentric Essays",2018
MOLTAA-2,Motsamai Molefe and Christopher Allsobrook,Towards an African Political Philosophy of Needs,2021
PRAARO,Leonhard Praeg,A Report on Ubuntu,2014
METATO,Thaddeus Metz,A Theory of National Reconciliation: Some Insights From Africa,2018
RAMAPT,Mogobe B. Ramose,African Philosophy Through Ubuntu,1999
GADWIU-2,Cbn Gade,What is Ubuntu ? Different Interpretations Among South Africans of African Descent,2012
OGUUAC,James Ogude and Unifier Dyer,Utu/Ubuntu and Community Restoration: Narratives of Survivors in Kenya's 2007 Postelection Violence,2019
METAAT-3,Thaddeus Metz,An African Theory of Dignity and a Relational Conception of Poverty,2011
MUNUAI,Mluleki Munyaka and Mokgethi Motlhabi,Ubuntu and its Socio-Moral Significance,2009
METRDA-2,Thaddeus Metz,Replacing Development: An Afro-Communal Approach to Distributive Justice (Repr.),2023
METREA-3,Thaddeus Metz,Relational Normative Economics: An African Approach to Justice,2020
BIKSAC,Steve Biko,Some African Cultural Concepts,2003
PRAI-13,Leonhard Praeg and Siphokazi Magadla,Introduction,2014
MURU,Munyaradzi Felix Murove,Ubuntu,2012
METRPO,Thaddeus Metz,Recent Philosophies of Social Protection: From Capability to Ubuntu,2016
METRIT,Thaddeus Metz,"Holding Responsible in the African Tradition: Reconciliation Applied to Punishment, Compensation, and Trials",2023
VENTNO,Elza Venter,The Notion of Ubuntu and Communalism in African Educational Discourse,2004
BEWTRO,John Ayotunde Isola Bewaji,The Rule of Law and Governance in Indigenous Yoruba Society: A Study in African Philosophy of Law,2016
METEWT,Thaddeus Metz,Engaging with the Philosophy of D a Masolo,2013
TWAAC-2,Ol\'{u}f\de?mi T\'{a}'{i}w\`o,Against African Communalism,2016
METAVH,Thaddeus Metz,"African Values, Human Rights and Group Rights: A Philosophical Foundation for the Banjul Charter",2013
METPPI-3,Thaddeus Metz,"Political Philosophy in the Global South: Harmony in Africa, East Asia, and South America",2023
METUAA-3,Thaddeus Metz,Confucianism and African Philosophy,2017
METRWI-4,Thaddeus Metz,Recent Work in African Political and Legal Philosophy,2021
TSCAHE,Mark Tschaepe,A Humanist Ethic of Ubuntu: Understanding Moral Obligation and Community,2013
JECRUI,Nancy S. Jecker and Caesar A. Atuire and Nora Kenworthy,Realizing Ubuntu in Global Health: An African Approach to Global Health Justice,2022
METAIC-3,Thaddeus Metz,Africanising Institutional Culture: What is Possible and Plausible,2015
SARBSA-2,Tiago Saraiva,Black Science: Am\'{i}lcar Cabral?s Agricultural Survey and the Seeds of African Decolonization,2022
KALCAF,Kibujjo M. Kalumba,Consensus and Federalism in Contemporary African Political Philosophy,2015
OYOIAC,Oritsegbubemi Oyowe,Individual and Community in Contemporary African Moral-Political Philosophy,2013
AJEROA,Martin Odei Ajei,Reporting on African Responses to Covid-19: African Philosophical Perspectives for Addressing Quandaries in the Global Justice Debate,2022
OLUTPO,Badru Ronald Olufemi,The Philosophy of Globalisation and African Culture,2022
MACDWI-3,Odile Mackett,Decent Work in the South African Macroeconomy: Who Are the Winners and Losers?,2022
METHDC-2,Thaddeus Metz,"Human Dignity, Capital Punishment, and an African Moral Theory (Repr.)",2010
MOLUAD-3,Motsamai Molefe,Ubuntu and Development: An African Conception of Development,2019
SEREAH,Tsenay Serequeberhan,Existence and Heritage: Hermeneutic Explorations in African and Continental Philosophy,2015
METMLR,Thaddeus Metz,Must Land Reform Benefit the Victims of Colonialism?,2020
OYETIR,Olatunji A. Oyeshile,The Individual-Community Relationship as an Issue in Social and Political Philosophy,2006
METCAP,Thaddeus Metz,Contemporary African Philosophy,2010
NYAUAO,Oriare Nyarwath,Ubuntu and Oruka's Humanitarian View of Punishment,2019
RAMUAA,Mogobe B. Ramose,Ubuntu: Affirming a Right and Seeking Remedies in South Africa,2014
GADADO-2,Christian B. N. Gade,A Discourse on African Philosophy: A New Perspective on Ubuntu and Transitional Justice in South Africa,2017
METART-2,Thaddeus Metz,A Reconciliation Theory of State Punishment: An Alternative to Protection and Retribution,2022
MURAIT-5,John Murungi,An Introduction to African Legal Philosophy,2013
METAPP,Thaddeus Metz,African Political Philosophy,2013
METCIA-3,Thaddeus Metz,Community in African Moral-Political Philosophy,2024
METISO,Thaddeus Metz,In Search of Ubuntu: A Political Philosopher?s View of Democratic South Africa,2014
METTPR-3,Thaddeus Metz,The Role of Economic Goods in National Reconciliation: Evaluating South Africa and Colombia,2023
METMAU,Thaddeus Metz,A Life of Struggle as Ubuntu,2016
Rodrigues2021-CORAPO-12,Lu\'{i}s Cordeiro{-}Rodrigues,African Perspectives on Just War,2021
Rodrigues2021-CORTAL-2,Lu\'{i}s Cordeiro{-}Rodrigues,Teaching and Learning Guide For: African Perspectives on Just War,2021
METAAT-7,Thaddeus Metz,"An African Theory of the Point of Higher Education: Communion as an Alternative to Autonomy, Truth, and Citizenship",2018
BILJIA,David Bilchitz and Thaddeus Metz and Oritsegbubemi Oyowe,Jurisprudence in an African Context (1st edition),2017
Behaylo2009-WESIPT,Michelle Westermann{-}Behaylo,Institutionalizing Peace Through Commerce: Engagement or Divestment in South African and Sudan,2009
LAMITC-4,M. John Lamola,Introduction: The Crisis of African Studies and Philosophy in the Epoch of the Fourth Industrial Revolution,2021
OCHGFT,Omedi Ochieng,Groundwork for the Practice of the Good Life: Politics and Ethics at the Intersection of North Atlantic and African Philosophy,2016
EPSBON,Brian Epstein,Biko on Non-White and Black: Improving Social Reality,2018
METAVA-3,Thaddeus Metz,African Values and Capital Punishment,2011
LETEFI,Moeketsi Letseka,Educating for Ubuntu/Botho : Lessons From Basotho Indigenous Education,2013
RODUAM,Luis Rodrigues,Ubuntu and Moral Epistemology: The Case of the Rhodes Must Fall Movement,2020
METAAT-11,Thaddeus Metz,An African Theory of Just Causes for War,2020
METTEA,Thaddeus Metz,The Ethics and Politics of the Brain Drain: A Communal Alternative to Liberal Perspectives,2017
METAVA,Thaddeus Metz,African Values and Capital Punishment,2011
METAAT-9,Thaddeus Metz,"An African Theory of the Point of Higher Education: Communion as an Alternative to Autonomy, Truth, and Citizenship",2018
METDJA,Thaddeus Metz,Distributive Justice as a Matter of Love: A Relational Approach to Liberty and Property,2019
METART-3,Thaddeus Metz,A Relational Theory of Dignity and Human Rights: An Alternative to Autonomy,2024
OKOAS,Chukwudum Barnabas Okolo,African Social \& Political Philosophy: Selected Essays,1993
PRAUCT,Leonhard Praeg and Siphokazi Magadla,Ubuntu: Curating the Archive,2014
Williams2009-GOOITS-2,Robert Gooding{-}Williams,In the Shadow of du Bois: Afro-Modern Political Thought in America,2009
KEBAQF,Messay Kebede,Africa's Quest for a Philosophy of Decolonization,2004
MENPAT-9,Ifeanyi A. Menkiti,Philosophy and the State in Africa: Some Rawlsian Considerations,2002
MATDCA-2,Bernard Matolino,"Democracy, Consensus, and Africa",2012
OYOTTC,O. A. Oyowe,This Thing Called Communitarianism: A Critical Review of Matolino'spersonhood in African Philosophy1,2015
METAMT,Thaddeus Metz,"African Moral Theory and Public Governance: Nepotism, Preferential Hiring and Other Partiality",2010
CURFRT,Tommy J. Curry,From Rousseau's Theory of Natural Equality to Firmin's Resistance to the Historical Inequality of Races,2009
BOWUAS,Danielle Alyssa Bowler,Ubuntu and Subaltern Legality / Drucilla Cornell / the Self Become God: Ubuntu and the 'Scandal of Manhood' / Siphokazi Magadla and Ezra Chitando / Concluding Reflections: The 'Fierce Urgency of Now',2014
APPRRI,Kwame Anthony Appiah,Reconstructing Racial Identities,1996
GORJOT-3,Lewis R. Gordon,Justice Otherwise: Thoughts on Ubuntu,2014
LOURU,Dirk J. Louw,Rethinking Ubuntu,2019
OGUUAP,James Ogude,Ubuntu and Personhood,2018
