ID,Author,Title,Year
EZEPAP-3,Emmanuel Chukwudi Eze,Postcolonial African Philosophy: A Critical Reader,1997
JANPIA-3,Bruce B. Janz,Philosophy in an African Place,2009
WIRACT-3,Kwasi Wiredu,A Companion to African Philosophy,2004
EZEAPA-2,Emmanuel Chukwudi Eze,African Philosophy: An Anthology,1998
MCEPAT-4,Michael McEachrane,Pan-Africanism and the African Diaspora in Europe,2020
MCEOCA,Michael McEachrane,On Conceptualising African Diasporas in Europe,2021
BROAPN-3,M. Brown Lee,African Philosophy: New and Traditional Perspectives,2004
MCEALE,Michael McEachrane,Afro-Nordic Landscapes: Equality and Race in Northern Europe,2014
HIGQCA,Kathleen Higgins,"""Double Consciousness and Second Sight,""",2006
ABRTLA-2,W. E. Abraham,"The Life and Times of Anton Wilhelm Amo, the First African (Black) Philosopher in Europe",1996
JEFLTO,Chike Jeffers,Listening to Ourselves: A Multilingual Anthology of African Philosophy,2013
HANTJI-2,Mark Hannam,Teaching Jurisprudence in Namibia,2009
