ID,Author,Title,Year
HALOJA,Joshua Hall,On Justice as Dance,2021
ALIDTV,Ishraq Ali and Mingli Qin,Distinguishing the Virtuous City of Alfarabi From That of Plato in Light of His Unique Historical Context,2019
ALICAS-2,Ishraq Ali and Mingli Qin,City and Soul in Plato and Alfarabi: An Explanation for the Differences Between Plato?s and Alfarabi?s Theory of City in Terms of Their Distinct Psychology,2020
AZARUO,Mohammad Azadpur,Reason Unbound: On Spiritual Practice in Islamic Peripatetic Philosophy,2011
MARACA-17,Michael E. Marmura and F. W. Zimmermann,Al-Farabi's Commentary and Short Treatise on Aristotle's de Interpretatione,1983
MCGCAP-2,Jon McGinnis and David C. Reisman,Classical Arabic Philosophy: An Anthology of Sources,2007
GIOTIC,John T. Giordano,The Imperfect City: Leo Strauss Reading Al-Farabi Reading Plato,manuscript
KHAMIP-3,Muhammad Ali Khalidi,Medieval Islamic Philosophical Writings,2004
HALAIC-3,Joshua M. Hall,Alfarabi's Imaginative Critique: Overflowing Materialism in Virtuous Community,2015
HODROA-3,Wilfrid Hodges,Remark on Al-F\={a}r\={a}b\=i's Missing Modal Logic and its Effect on Ibn S\={i}n\=a,2019
FAKAAT,Majid Fakhry,Al-Farabi and the Reconciliation of Plato and Aristotle,1965
ADADSO-2,Marilyn McCord Adams,Duns Scotus on the Goodness of God,1987
RESAOL,Nicholas Rescher,Al-Farabi on Logical Tradition,1963
PARMAR,Joshua Parens,"Metaphysics as Rhetoric: Alfarabi's Summary of Plato's ""Laws""",1995
DRUA,Th\'{e}r\`{e}se{-}Anne Druart,Al-F'r'b\^i,2010
ALIOTR,Ishraq Ali and Qin Mingli,On the Relation of City and Soul in Plato and Alfarabi,2019
HAMTPO-7,Robert Hammond,The Philosophy of Alfarabi and its Influence on Medieval Thought,1947
KHAAOT,Muhammad Ali Khalidi,Al-F\={a}r\={a}bi on the Democratic City,2003
DRUAEA-4,Th A. Druart,Astronomie Et Astrologie Selon F\={a}r\={a}b\=i,1978
