ID,Author,Title,Year
MCGCAP-2,Jon McGinnis and David C. Reisman,Classical Arabic Philosophy: An Anthology of Sources,2007
RESAEO,Nicholas Rescher and Haig Khatchadourian and Ya'qub Al{-}Kindi,Al-Kindi's Epistle on the Finitude of the Universe,1965
IGHBLA,Ahmad Ighbariah,Between Logic and Mathematics: Al-Kind\=i's Approach to the Aristotelian Categories,2012
RESASO-8,Nicholas Rescher,Al-Kindi?s Sketch of Aristotle?s Organon,1963
ADABEA,Peter Adamson,Before Essence and Existence: Al-Kindi's Conception of Being,2002
LINACO-9,David Lindberg,Alkindi's Critique of Euclid's Theory of Vision,1971
CHRWIA-6,Anton{-}Hermann Chroust,"Who is Al-Kindi's ""Greek King"" (Frag. 11, Ross) of Aristotle's ""Eudemis""?",1973
IVROPE-2,Alfred Ivry,"Oeuvres Philosophiques Et Scientifiques d'Al-Kind\^i. Volume 2: M\'{e}taphysique Et Cosmologie. Roshdi Rashed, Jean Jolivet",2001
MACTOV-2,Peter Machamer,Theories of Vision From Al-Kindi to Kepler. David C. Lindberg,1978
VANLMD-4,Simone Van Riet,Le Mill\'{e}naire de Bagdad Et d'Al-Kindi,1963
KHAAEO-2,Haig Khatchadourian and Nicholas Rescher,Al-Kindi's Epistle on the Concentric Structure of the Universe,1965
DEHNEA-3,Daniel D. De Haan,Necessary Existence and the Doctrine of Being in Avicenna's Metaphysics of the Healing,2020
KUKTPW,Taneli Kukkonen,The Philosophical Works of Al-Kind\=i Translated. By Peter Adamson and Peter E. Pormann,2015
MOYTAG,Ann Moyer,The Astronomers' Game: Astrology and University Culture in the Fifteenth and Sixteenth Centuries,1999
GIEEAN,Alfred Gierer,"Eriugena, Al-Kindi, Nikolaus von Kues - Protagonisten Einer Wissenschaftsfreundlichen Wende Im Philosophischen Und Theologischen Denken",1999
BONPA_-5,Cecilia Martini Bonadeo,"P. Adamson, \emph{Al-Kind\={i}}, Oxford University Press, Oxford 2007, Pp. V-272 (\emph{Great Medieval Thinkers})",2010
ADGTCO,"Nuri Ad\i{}g\""{u}zel",The Concept of ?Nature? in Peripatetic Islamic Philosophers,2018
AJVTMP,Irfan Ajvazi,The Medieval Period,manuscript
YAMKDS,"\""{O}yk\""u \c{S}ule Ya\u{g}mur","Klasik D\""{o}nem I?slam D\""{u}cs\""{u}ncesinde Astronomi Ve Astroloji",2020
DAVROP-2,Daniel Davies,"Review of Peter Adamson, \emph{Al-Kind\={i}}",2009
LANTPW-3,Tzvi Langermann,"Peter Adamson and Peter E. Pormann, the Philosophical Works of Al-Kind\=i, Karachi: Oxford University Press, 2012 [Studies in Islamic Philosophy], 363 + Lxxv Pp, Isbn 978-0-19-906280-5",2013
