ID,Author,Title,Year
JOHAAA-13,Mark A. Johnstone,Aristotle and Alexander on Perceptual Error,2015
RASEAD,Marwan Rashed,"Essentialisme: Alexandre d'Aphrodise Entre Logique, Physique Et Cosmologie",2007
TODAOA-2,Robert B. Todd,"Alexander of Aphrodisias on Stoic Physics: A Study of the de Mixtione with Preliminary Essays, Text, Translation and Commentary",1976
ALEAOA-2,Alexander Aphrodisiensis and Alexander of Aphrodisias and Alexander and R. W. Sharples,"Alexander of Aphrodisias on Fate: Text, Translation, and Commentary",1983
OKEATO,Tim O'Keefe,Ancient Theories of Freedom and Determinism,2020
GILLSD,Luca Gili,La Sillogistica di Alessandro di Afrodisia: Sillogistica Categorica e Sillogistica Modale Nel Commento Agli Analitici Primi di Aristotele,2011
FLAWIT,Kevin L. Flannery,Ways Into the Logic of Alexander of Aphrodisias,1995
KUPAAE-2,Inna Kupreeva,Aporia and Exegesis: Alexander of Aphrodisias,2017
KESAOA,Eckhard Kessler,Alexander of Aphrodisias and His Doctrine of the Soul: 1400 Years of Lasting Significance,2011
Castrillejo2020-TORLPD-8,David Torrijos{-}Castrillejo,La Providencia de Los Dioses Seg\'{u}n Alejandro de Afrodisias,2020
KUPAOA-10,Inna Kupreeva,"Alexander of Aphrodisias on the Principle of Non-Contradiction: The Argument ""From Signification""",2023
ALEAAD-3,H. G. Alexander Aphrodisiensis,"Alexander Aphrodisiensis, ""de Anima Libri Mantissa"": A New Edition of the Greek Text with Introduction and Commentary",2008
MORADE-2,Paul Moraux,"Alexandre d'Aphrodise, Exe?Ge?Te de la Noe?Tique D'Aristote",1942
Castrillejo2017-TORAOA,David Torrijos{-}Castrillejo,"Alexander of Aphrodisias on Fate, Providence and Nature",2017
SIRAOA,Riin Sirkel,Alexander of Aphrodisias's Account of Universals and its Problems,2011
AVOAOA,Ivars Avotins,Alexander of Aphrodisias on Vision in the Atomists,1980
KOTAOA,Mirjam Kotwick,Alexander of Aphrodisias and the Text of Aristotle's Metaphysics,2016
TOWAAA-3,Jeffrey Alan Towey,Aristotle and Alexander on Hearing and Instantaneous Change: A Dilemma in Aristotle's Account of Hearing,1991
GILCIA-6,Luca Gili,Categories in Alexander of Aphrodisias,2020
MORLCD-31,Paul Moraux,"Le Commentaire d'Alexandre d'Aphrodise aux ""Seconds Analytiques"" D'Aristote",1979
HARAAG-5,Orna Harari,Alexander Against Galen on Motion: A Mere Logical Debate?,2016
VERAES,G\'{e}rard Verbeke,"Aristot\'{e}lisme Et Sto\""{i}cisme Dans le de Fato D?Alexandre D?Aphrodisias",1968
PAOGDI,Paolo Accattino,"Generazione Dell'anima in Alessandro di Afrodisia, de Anima 2.10-11.13?",1995
KESAOA-2,Eckhard Kessler,Alexander of Aphrodisias and His Doctrine of the Soul 1400 Years of Lasting Significance,2011
TUORRA,Miira Tuominen,Receptive Reason: Alexander of Aphrodisias on Material Intellect,2010
MCGPHT,Jon McGinnis,Positioning Heaven: The Infidelity of a Faithful Aristotelian,2006
KUPAOA-7,Inna Kupreeva,Alexander of Aphrodisias on Mixture and Growth,2004
MORADL,Paul Moraux,"Aristoteles, der Lehrer. Alexanders von Aphrodisias",1967
SHAAAD,R. W. Sharples,"An Ancient Dialogue on Possibility; Alexander of Aphrodisias, Quaestio 1.4",1982
MANDTA,Jaap Mansfeld,Diaphonia: The Argument o F Alexander de Fato Chs. 1-2,1988
KUPAOA-8,Inna Kupreeva,Alexander of Aphrodisias and Aristotle's de Anima: What's in a Commentary?,2012
KUPAOA-9,Inna Kupreeva,Alexander of Aphrodisias on How the Sun Heats : Aristotle's Meteorology 1.3 in Context,2022
CHIHEC-2,Riccardo Chiaradonna,Hyl\'{e}morphisme Et Causalit\'e des Intelligibles,2008
KUPAIT-3,Inna Kupreeva,Aristotelianism in the 2Nd Century Ad: Before Alexander of Aphrodisias,2016
GUYLSP,Gweltaz Guyomarc?H.,Les Sources Post-Hell\'{e}nistiques du Questionnaire de Porphyre,2013
KUPADI,Inna Kupreeva,Aristotelian Dynamics in the Second Century School Debates: Galen and Alexander of Aphrodisias on Organic Powers and Motions,2004
BONADA-3,Maddalena Bonelli,Alessandro di Afrodisia e la Metafisica Come Scienza Dimostrativa,2001
CHEAOA-10,Wei Cheng,Alexander of Aphrodisias on Pleasure and Pain in Aristotle,2018
HANAOA-5,Attila Hangai,Alexander of Aphrodisias on Simultaneous Perception,2020
BOBAOA,Susanne Bobzien,Alexander of Aphrodisias on Aristotle's Theory of the Stoic Indemonstrables,2014
ACCADA,Paolo Accattino,"Alejandro de Afrodisia Int\'{e}rprete Del "" de Anima"" de Arist\'{o}teles",2009
GUYLVD-3,Gweltaz Guyomarc'H.,Le Visage du Divin : La Forme Pure Selon Alexandre D'Aphrodise,2008
BARAOA-18,Jonathan Barnes and Susanne Bobzien and Katerina Ierodiakonou,Alexander of Aphrodisias: On Aristotle's Prior Analytics 1.1-7,1991
ALESTO-2,R. W. Alexander and Sharples,"Alexander of Aphrodisias. Supplement to ""on the Soul""",2004
HAGDAD,F. P. Hager,"Die Aristotelesinterpretation des Alexander von Aphrodisias Und Die Aristoteleskritik Plotins Bez\""{u}glich der Lehre Vom Geist",1964
MIGLAO,Mario Mignucci,Logic and Omniscience. Alexander of Aphrodisias and Proclus,1985
SHATUM-2,R. W. Sharpies,The Unmoved Mover and the Motion of the Heavens in Alexander of Aphrodisias,1983
BOBWTO,Susanne Bobzien,Why the Order of the Figures of the Hypothetical Syllogisms Was Changed,2000
MITNSA,Jorge Mittelmann,"Neoplatonic Sailors and Peripatetic Ships: Aristotle, Alexander, and Philoponus",2013
ALEOAP-4,Alexander,On Aristotle's Prior Analytics 1.1-7,1991
VOLDSD-5,Georges Volait,Die Stellung des Alexander von Aphrodisias Zur Aristotelischen Schlusslehre,1907
ALEANM,Stefan Alexandru,A New Manuscript of Pseudo-Philoponus' Commentary on Aristotle's Metaphysics Containing a Hitherto Unknown Ascription of the Work,1999
ALETDD,Alexander,Traite? du Destin,1984
ALELME-3,Alexander and Paolo Accattino and Pierluigi Donini,Alessandro di Afrodisia: L'anima,1996
FERNSA,Paulo Ferreira,Notas Sobre a Defini\c{c}~{a}o Do Enunciado Asseverativo (Logos Apophantikos) Em Arist\'{o}teles,2011
ARIAOA-2,Supplementum Aristotelicum,"Alexander of Aphrodisias, de Intellectu 110.4:'I Heard This From Aristotle'. A Modest Proposal",2000
JAULMD-3,Annick Jaulin and David Lefebvre,La Me?Taphysique de the?Ophraste: Principes Et Apories,2015
ALEOAP-6,Alexander of Aphrodisias,"On Aristotle's ""Prior Analytics""",1999
ALEAOA,Alexander,Alexander of Aphrodisias on the Cosmos,2001
SHAOBS,R. W. Sharples,"On Body, Soul and Generation in Alexander of Aphrodisias",1994
KOCLCH,Isabelle Koch,La Causalite? Humaine: Sur le de Fato d'Alexandre D'Aphrodise,2019
NATAFI,C. Natali,Alexander-of-Aphrodisias'de Fato 2-6'in Aristotelian Perspective,1994
ALEZAF,Hans{-}Jochen Alexander and Ruland,Die Arabische U?Bersetzung der Schrift des Alexander von Aphrodisias U?Ber Das Wachstum (Quaestio I 5),1981
GUYSOA,Gweltaz Guyomarc?H. and Frans A. J. De Haas,Studies on Alexander of Aphrodisias? \emph{on Mixture and Growth},2023
ALEOAM,Alexander and Alexander of Aphrodisias,On Aristotle's Metaphysics,1989
TOWTPO-8,Alan Towey,The Physiology of Vision in Alexander?s Commentary on the de Sensu,2019
SOLAAI,M. A. Solopova,"\CYRA\cyrl\cyre\cyrk\cyrs\cyra\cyrn\cyrd\cyrr \CYRA\cyrf\cyrr\cyro\cyrd\cyri\cyrs\cyri\cyrishrt\cyrs\cyrk\cyri\cyrishrt \CYRI \CYRE\cyrg\cyro \CYRT\cyrr\cyra\cyrk\cyrt\cyra\cyrt ""\CYRO \CYRS\cyrm\cyre\cyrsh\cyre\cyrn\cyri\cyri \CYRI \CYRR\cyro\cyrs\cyrt\cyre"" \CYRV \CYRK\cyro\cyrn\cyrt\cyre\cyrk\cyrs\cyrt\cyre \CYRI\cyrs\cyrt\cyro\cyrr\cyri\cyri \CYRA\cyrn\cyrt\cyri\cyrch\cyrn\cyro\cyrg\cyro \CYRA\cyrr\cyri\cyrs\cyrt\cyro\cyrt\cyre\cyrl\cyri\cyrz\cyrm\cyra : \CYRI\cyrs\cyrs\cyrl\cyre\cyrd\cyro\cyrv\cyra\cyrn\cyri\cyre, \CYRG\cyrr\cyre\cyrch\cyre\cyrs\cyrk\cyri\cyrishrt \CYRT\cyre\cyrk\cyrs\cyrt, \CYRP\cyre\cyrr\cyre\cyrv\cyro\cyrd",2002
BONAEA-5,Maddalena Bonelli,Aristotele e Alessandro di Afrodisia (Questioni Etiche e Mantissa): Metodo e Oggetto Dell'etica Peripatetica,2015
ALEQ,Alexander of Aphrodisias,Quaestiones: 1.1-2.15,1992
GOLTPO-31,Owen Goldin,"The Problem of Title of the ?Posterior Analytics?, and Thoughts From Commentators",2009
DAMAVA,Gregor Damschen,Alexander von Aphrodisias,1999
NATTCO-14,Carlos Natali,"La Causa de la Acci\'{o}n Humana Seg\'{u}n Alejandro de Afrodisia, Mantissa 23 y de Fato 15",2009
MIKDMI-2,Vladimir Mikes,"De Mixtione Iii?Iv: The Stoics on Blending--Arguments, Proofs, Examples",2023
ALEOAO,Alexander and Alexander of Aphrodisias,"On Aristotle's ""on Sense Perception""",2000
FOTTDA,Athanasios P. Fotinis,The de Anima of Alexander of Aphrodiasias: A Translation and Commentary,1979
ALEAAE,Alexandre D'Aphrodisias,Alexandri Aphrodisiensis Enarratio de Anima Ex Aristotelis Institutione =,1495
CHAGMA-6,W. E. Charlton,"Giancarlo Movia: Alessandro di Afrodisia: Tra Naturalismo e Misticismo. Pp. 94. Padua: Antenore, 1970. Paper, \_{L}_. 1,400",1974
ALECAM,Alexander and Alessandra Borgia,Commentario Alla Metafisica di Aristotele,2007
KUPDKA,Inna Kupreeva,'Der Kaiserzeitliche Aristotelismus',2018
MILILD,Chiara Militello,Il Lessico Dell Astrazione in Alessandro di Afrodisia,2013
ALEOAP,Alexander of Aphrodisias,"On Aristotle's ""Prior Analytics 1.23-31""",2006
GILC-9,Luca0 Gili,Categorical ?? ?\ensuremath{\alpha}\ensuremath{\tau}? ?\ensuremath{\rho}?\ensuremath{\nu}?\ensuremath{\nu} Propositions in Alexander of Aphrodisias? Modal Syllogistic,2015
ALEADA-3,H. G. Alexander Aphrodisiensis,"Alexander, de Anima Libri Mantissa",2008
MOVADA,Giancarlo Movia,Alessandro di Afrodisia,1970
ALEDAI,Alexander and Paolo Accattino,De Anima Ii (Mantissa),2005
TOWAAA-2,J. A. Towey,Aristotle and Alexander on Hearing and Instantaneous Change,1991
FAZAAS-2,Silvia Fazzo,Alexander Arabus: Studi Sulla Tradizione Araba Dell'aristotelismo Greco,2018
ALEAAD-2,Alexander of Aphrodisias,"Alexander Aphrodisiensis, de Anima Libri Mantissa : A New Edition of the Greek Text, with Introduction and Commentary",2008
BLOAOA,David Bloch,Alexander of Aphrodisias as a Textual Witness: The Commentary on the de Sensu,2003
TODAOA-6,Robert Bernard Todd,Alexander of Aphrodisias' 'de Mixtione' and the Stoic Theory of Mixture,1970
ALETD,Alexander of Aphrodisias and A. P. Fotonis,The de Anima of Alexander of Aphrodisias,1980
KUPAOA-6,Inna Kupreeva,"Alexander of Aphrodisias on Form: A Discussion of Marwan Rashed, Essentialisme: Alexandre d'Aphrodise Entre Logique, Physique Et Cosmologie",2010
BELAOA-3,H. Belloc and J. Bentham and N. Block,Alexander of Aphrodisias 282-93 Mantissa (Book 2 of on the Soul) 282-93 Ethical Problems 284 and Academic Scepticism 287-9,2005
COHROQ,Caleb Cohoe,"Review of ""Alexander of Aphrodisias on the Soul, Part I,? Trans. Victor Caston""",2014
Castrillejo2019-TORADA-2,David Torrijos{-}Castrillejo,"Alejandro de Afrodisias, Comentario a la Metaf\'{i}sica de Arist\'{o}teles. Traducci\'{o}n, Introducci\'{o}n y Notas de Jos\'e Manuel Garc\'{i}a Valverde, Ant\'{i}gona, Madrid, 2018, 672 Pp",2019
ANTTDA-3,John P. Anton,The de Anima of Alexander of Aphrodisias,1984
TODAOA-8,Robert B. Todd,Alexander of Aphrodisias on Fate,1985
SHAAOS-2,R. W. Sharples,"Alexander on Soul P. Accattino, P. Donini (Edd.): Alessandro di Afrodisia: \v{L}anima: Traduzione, Introduzione e Commento. (Biblioteca Universale Laterza, 447.) Pp. Xxxvi + 324. Rome, Bari: Laterza, 1996. Paper, L. 58,000. Isbn: 88-420-4843-7",1997
MURAOA-6,G. R. G. Mure,"Alexander of Aphrodisias, ?on Destiny?",1932
SMIWED-2,Andrew Smith,"W. E. Dooley, S.J. : Alexander of Aphrodisias, on Aristotle Metaphysics 5. Pp. 224. London: Duckworth, 1993. Cased \pounds35",1996
VOYWIT,Victoria Voytko,Ways Into the Logic of Alexander of Aphrodisias,1998
SCHAOA-11,Frederic M. Schroeder,"Alexander of Aphrodisias de Anima - Bergeron, Dufour Alexandre D'Aphrodise: De L''me. Pp. 416. Paris: Librairie Philosophique J. Vrin, 2008. Paper, ?45. Isbn: 978-2-7116-1973-3",2010
BLUAOA-3,H. J. Blumenthal,Alexander of Aphrodisias' Ethical Problems,1991
ALLVCB,D. J. Allan,"V. C. B. Coutant: Alexander of Aphrodisias: Commentary on Book Iv of Aristotle's Meteorologica (English Translation with Introduction and Notes). Pp. 99. New York: Columbia University, 1936. Paper",1937
KUPAOA-5,Inna Kupreeva,Alexander of Aphrodisias on the Cosmos,2003
JOSTAF-3,Lawrence J. Jost,The Arguments ?From the Sciences? in Aristotle?s Peri Ideon,1990
GUYAOA-2,Gweltaz Guyomarc'H.,"Alexander of Aphrodisias - V. Caston (Trans.) Alexander of Aphrodisias: \emph{On the Soul}. Part I: Soul as Form of the Body, Parts of the Soul, Nourishment, and Perception. Pp. Viii + 248. London: Bristol Classical Press, 2012. Cased, \pounds70. Isbn: 978-1-78093-024-4",2013
ELDAOA-6,Leo J. Elders,Alexander of Aphrodisias. On Aristotle?s Prior Analytics 1.14?22,2001
SILTDA,Allan Silverman,The de Anima of Alexander of Aphrodisias,1989
ANGKLF,Ignacio Angelelli,"Kevin L. Flannery, Sj, Ways Into the Logic of Alexander of Aphrodisias",1996
SHAAOA-9,R. W. Sharples,"Alexander of Aphrodisias, on Fate Pierre Thillet: Alexandre D'Aphrodise: Trait\'e du Destin. Texte \'{E}tabli Et Traduit Par Pierre Thillet. (Collection Bud\'e.) Pp. Clix + 110 (1?76 Double). Paris: Les Belles Lettres, 1984",1986
BARDMG,Jonathan Barnes,"De Mundo Giovanni Reale: Aristotele: Trattato Sul Cosmo Per Alessandro, Traduzione Con Testo Greco a Fronte, Introduzione, Commento e Indici. Pp. Xv + 358. Naples: Loffredo, 1974. Cloth, L. 9,000",1977
