ID,Author,Title,Year
NAGTPO-4,Thomas Nagel,The Possibility of Altruism,1970
SOBUOT,Elliott Sober and David Sloan Wilson,Unto Others: The Evolution and Psychology of Unselfish Behavior,1998
BLARPA-4,Simon Blackburn,Ruling Passions: A Theory of Practical Reasoning,1998
WILPOT,Bernard Williams,Problems of the Self,1973
MILMCA-8,Christian B. Miller,Moral Character: An Empirical Theory,2013
MILCAM-4,Christian B. Miller,Character and Moral Psychology,2014
SOBFAB-2,Elliott Sober,From a Biological Point of View: Essays in Evolutionary Philosophy,1994
WILEAA-9,Bernard A. O. Williams,Egoism and Altruism,1973
SHAE-2,Robert Shaver,Egoism,2021
ALFMPA,Mark Alfano,Moral Psychology: An Introduction,2015
HILTBS,Alison Hills,The Beloved Self: Morality and the Challenge From Egoism,2010
HAMSAT,Jean Hampton,Selflessness and the Loss of Self,1993
BATTAQ,Charles Daniel Batson,The Altruism Question: Toward a Social Psychological Answer,1991
WILUO,David Sloan Wilson and Elliott Sober,Critical Commentary on Unto Others,2002
KRAAVI,Steven R. Kraaijeveld and Bob C. Mulder,Altruistic Vaccination: Insights From Two Focus Group Studies,2022
KRAA-18,Richard Kraut,Altruism,2020
DILMPA-2,Brendan Dill and Stephen Darwall,Moral Psychology as Accountability,2014
CLATFO-22,John Clarke,The Foundation of Morality in Theory and Practice (1726),unknown
CIARTE,Robert B. Cialdini and Stephanie L. Brown and Brian P. Lewis and Carol Luce and Steven L. Neuberg,Reinterpreting the Empathy-Altruism Relationship: When One Into One Equals Oneness,1997
STIA,Stephen Stich and John M. Doris and Erica Roedder,Altruism,2010
WILOTR-2,David Sloan Wilson,On the Relationship Between Evolutionary and Psychological Definitions of Altruism and Selfishness,1992
MAYEEA-2,Joshua May,"Egoism, Empathy, and Self-Other Merging",2011
BATAIH,Charles Daniel Batson,Altruism in Humans,2011
FEIPE,Joel Feinberg,Psychological Egoism,1971
SAUAOS,Ben Saunders,Altruism or Solidarity? The Motives for Organ Donation and Two Proposals,2012
MAYPE,Joshua May,Psychological Egoism,2011
BROEAA-2,C. D. Broad,Egoism as a Theory of Human Motives,1949
MILGAP-2,Christian B. Miller,Generosity: A Preliminary Account of a Surprisingly Neglected Virtue,2018
CLAAAD-3,Christine Clavien and Michel Chapuisat,"Altruism Across Disciplines: One Word, Multiple Meanings",2013
TILDPE,John J. Tilley,Does Psychological Egoism Entail Ethical Egoism?,2022
BADAVS,Neera Kapur Badhwar,Altruism Versus Self-Interest: Sometimes a False Dichotomy,1993
