ID,Author,Title,Year
PRIALS,Raymond Adolph Prier,"Archaic Logic: Symbol and Structure in Heraclitus, Parmenides and Empedocles",1976
KINAPM,Peter Kingsley,"Ancient Philosophy, Mystery, and Magic: Empedocles and Pythagorean Tradition",1995
COUWTE,Dirk L. Couprie,When the Earth Was Flat: Studies in Ancient Greek and Chinese Cosmology,2018
OSBER,Catherine Osborne,Empedocles Recycled,1987
TZAAOA,Panayiotis Tzamalikos,"Anaxagoras, Origen, and Neoplatonism: The Legacy of Anaxagoras to Classical and Late Antiquity",2016
VASPAP,Christian Vassallo,Presocratics and Papyrological Tradition: A Philosophical Reappraisal of the Sources. Proceedings of the International Workshop Held at the University of Trier,2019
VLATPT,Gregory Vlastos,The Physical Theory of Anaxagoras,1950
LONTAS,A. A. Long,Thinking and Sense-Perception in Empedocles: Mysticism or Materialism,1966
KINEFT,Peter Kingsley,Empedocles for the New Millennium,2002
CURAAT,Patricia Curd,Anaxagoras and the Theory of Everything,2008
DONDOA-2,Luca Dondoni,Diogenes of Apollonia as a Material Panpsychist,2021
PRIEP,Oliver Primavesi,Empedocles : Physical and Mythical Divinity,2008
STRTPT,Colin Strang,The Physical Theory of Anaxagoras,1963
KERAAT-2,G. B. Kerferd,"?Anaxagoras and the Concept of Matter Before Aristotle,?",1969
PINNMA-2,Rhodes Pinto,"Nous, Motion, and Teleology in Anaxagoras",2017
SANPFI,Carlo Santaniello,Putting Fragments in Their Places: The Lost Works by Empedocles,2022
SCHAEO-20,Malcolm Schofield,An Essay on Anaxagoras,1980
OBRTRO-3,Denis O'Brien,The Relation of Anaxagoras and Empedocles,1968
OBRECC-2,Denis O'Brien,Empedocles' Cosmic Cycle,1967
GRAAAT-7,Daniel W. Graham and Eric Hintz,Anaxagoras and the Solar Eclipse of 478 Bc,2007
PECAAT,A. L. Peck,Anaxagoras and the Parts,1926
FURAIR-2,David J. Furley,Anaxagoras in Response to Parmenides,1976
DARDPT-2,Shirley M. Darcus,Daimon Parallels the Holy Phren in Empedocles,1977
GRAWAA,Daniel W. Graham,Was Anaxagoras a Reductionist?,2004
Castrillejo2019-TORAAM-2,David Torrijos{-}Castrillejo,An Alternative Model for Understanding Anaxagoras? Mixture,2019
Castrillejo2015-TORAH,David Torrijos{-}Castrillejo,Anaxagorae Homoeomeria,2015
HALDEE,A. V. Halapsis,Divine Evolution: Empedocles? Anthropology,2021
SOLETA-5,Friedrich Solmsen,Empedocles'hymn to Apollo,1980
GRATPO-14,Daniel W. Graham,The Postulates of Anaxagoras,1994
ANATFO-2,Anaxagoras and David Sider,{[}The Fragments ] ; the Fragments of Anaxagoras,1981
Castrillejo2018-TORLIE,David Torrijos{-}Castrillejo,La Inteligencia ('Noesis') En Di\'{o}genes de Apolonia,2018
FURAIR,David J. Furley,Anaxagoras in Response to Parmenides,1976
