ID,Author,Title,Year
IRWAFP,Terence Irwin,Aristotle's First Principles,1988
ANGASA-3,Lucas Angioni,"Arist\'{o}teles, Segundos Anal\'{i}ticos, Livro I",2004
BROAOK,David Bronstein,Aristotle on Knowledge and Learning: The Posterior Analytics,2016
DUTTLO-3,Julien Dutant,The Legend of the Justified True Belief Analysis,2015
ANGADO-2,Lucas Angioni,Aristotle?s Definition of Scientific Knowledge,2016
MOSAOT,Jessica Moss,"Aristotle on the Apparent Good: Perception, Phantasia, Thought, and Desire",2012
FINTPO-18,Gail Fine,The Possibility of Inquiry: Meno?s Paradox From Socrates to Sextus,2014
SHOTSA-4,Simon Shogry,The Stoic Appeal to Expertise: Platonic Echoes in the Reply to Indistinguishability,2021
SHOWDO,Simon Shogry,What Do Our Impressions Say? The Stoic Theory of Perceptual Content and Belief Formation,2019
CASAOC,Victor Caston,Aristotle on Consciousness,2002
CAMSAC-13,Douglas R. Campbell,Self-Motion and Cognition: Plato's Theory of the Soul,2021
THOPS-5,Thomas C. Brickhouse and Nicholas D. Smith,Plato's Socrates,1994
ANGACB-4,Lucas Angioni,Aristotle?s Contrast Between Episteme and Doxa in its Context (Posterior Analytics I.33),2019
REAAAL-3,Stephen Read,Anti-Exceptionalism About Logic,2019
BAKAOT-2,Samuel H. Baker,Aristotle on the Nature and Politics of Medicine,2021
POLADA-2,Ronald M. Polansky,Aristotle?s ?de Anima?: A Critical Commentary,2007
MATTIO-3,Mohan Matthen,The Individuation of the Senses,2015
NAWTSA,Tamer Nawar,The Stoic Account of Apprehension,2014
SCOPM-2,Dominic Scott,Plato's Meno,2006
MODATP,Deborah K. W. Modrak,Aristotle: The Power of Perception,1987
FINPOK,Gail Fine,Plato on Knowledge and Forms: Selected Essays,2003
ARIOTS,Aristotle,On the Soul,1984
CAMTST-11,Douglas R. Campbell,The Soul?s Tomb: Plato on the Body as the Cause of Psychic Disorders,2022
BRIAIT-8,Julia Annas,An Introduction to Plato's Republic,1981
JOHTP-3,Thomas Kjeller Johansen,The Powers of Aristotle's Soul,2012
EVEAOP,Stephen Everson,Aristotle on Perception,1997
DUHTST,Pierre Duhem,"To Save the Phenomena, an Essay on the Idea of Physical Theory From Plato to Galileo",1969
BRONAD-4,Sarah Broadie,Nature and Divinity in Plato's Timaeus,2011
SCHEAS-25,Whitney Schwab and Simon Shogry,Epicureans and Stoics on the Rationality of Perception,2023
GREAOT,Pavel Gregoric,Aristotle on the Common Sense,2007
REEACA,C. D. C. Reeve,"Action, Contemplation, and Happiness: An Essay on Aristotle",2012
WEDMAI,Michael Vernon Wedin,Mind and Imagination in Aristotle,1988
DEHRIA,Vanessa de Harven,Rational Impressions and the Stoic Philosophy of Mind,2017
BENSWT,Hugh H. Benson,Socratic Wisdom: The Model of Knowledge in Plato's Early Dialogues,2000
DANPIO-2,R. M. Dancy,Plato's Introduction of Forms,2004
BURIAA-2,Myles Burnyeat,Is an Aristotelian Philosophy of Mind Still Credible? (A Draft),1992
KEEMSO-4,Brian L. Keeley,Making Sense of the Senses,2002
SORBAS,Richard Sorabji,Body and Soul in Aristotle,1993
FINIIT-2,Gail Fine,Inquiry in the Meno,1992
KALFWM,Mark Eli Kalderon,Form Without Matter: Empedocles and Aristotle on Color Perception,2015
NUSEOA,Martha Craven Nussbaum and Am\'{e}lie Rorty,Essays on Aristotle's de Anima,1992
FIEAOA,Elena Cagnoli Fiecconi,Aristotle on Attention,2021
SHOCAM-6,Simon Shogry,Creating a Mind Fit for Truth,2018
MAUATP,Tim Maudlin and Deborah K. W. Modrak,Aristotle: The Power of Perception,1990
