ID,Author,Title,Year
HEIJPA-3,James W. Heisig and Thomas P. Kasulis and John C. Maraldo,Japanese Philosophy: A Sourcebook,2011
PACPPA-2,Roman Pa\c{s}ca,"Parabola P\u{a}s\u{a}rilor, And\=o Sh\={o}eki ????",2017
KRIMUA,Leon Krings,Materialien Und Auswahlbibliographie Zur Japanischsprachigen Philosophiegeschichtsschreibung,2017
TAKCPO,Takeshi Morisato,Frontiers of Japanese Philosophy 8: Critical Perspectives on Japanese Philosophy,2016
WAKASK,Masaki Wakao,Ando? Sho?Eki Kara Mieru Nihon Kinsei,2004
SAGKNJ,To?ru Sagara,Kinsei No Jukyo? Shiso?,1966
AIMESN,Masatomo Aimi,Edo Shiso?Shi Ni Okeru Jukyo? No Meiun: Gairai Shiso? Juyo? o Meguru Mikansei No Dorama,2001
MIYASN,Masahiko Miyake,Ando? Sho?Eki No Shiso?Shiteki Kenkyu?,2001
ISHINI,Hiroaki Ishiwata and Hironori Kojima and Yoshio Soeda,Ima Ni Ikiru Ando? Sho?Eki,2012
YASASK-2,Toshinobu Yasunaga,"Ando? Sho?Eki: Kenkyu? Kokusaika Jidai No Shinkensho?: Tsuketari, Shin Gendaigoyaku ""Shizen Shin'eido?""",1992
TERASN-3,Goro? Terao,Ando Sho?Eki No Tatakai,1978
ANDKSS-2,Sho?eki Ando?,"Ko?Hon ""Shizen Shin?eido?""",1981
NORASA,E. Herbert Norman,Ando? Sho?Eki and the Anatomy of Japanese Feudalism,1949
JOLSEN-2,Jacques Joly,Spontan\'{e}it\'e Et Nature: Le Cas d'And\^o Sh\^{o}eki. Comparatisme Et R\'{e}cup\'{e}ration,1994
WATAST,Daito? Watanabe,Ando? Sho?Eki to Shizen Shin?eido?,1970
HIRDAS,Reiji Hirayama,"Den Ando? Sho?Eki ""Seiyo? Shin'eido?""",2012
SATASN,Sadao Sato?,Ando? Sho?Eki Nyu?Mon,1977
ANDASE-5,Sho?eki Ando?,Ando? Sho?Eki,1971
MIYAST,Masahiko Miyake,Ando? Sho?Eki to Chiiki Bunka No Dento?,1996
ISHINS,Hiroaki Ishiwata,"Inochi No Shiso?Ka Ando? Sho?Eki: Hito to Shiso? to, Akita No Fu?Do",2012
YASASS,Toshinobu Yasunaga and Sh\={o}eki And\=o,Ando Shoeki: Social and Ecological Philosopher of Eighteenth Century Japan,1992
TERSAS-4,Goro? Terao,Senku Ando? Sho?Eki,1976
ANDTSQ,Sho?eki Ando?,To?Do? Shinden,1966
PACHNA,Roman Pa\c{s}ca,Homo Naturalis: And\=o Sh\={o}eki?s Understanding of the Human Being,2016
KANAS-3,Ko?kichi Kano?,Ando? Sho?Eki,2005
ICHEJN,Tsuyuhiko Ichiki and Shunsaku Nakamura and Yu?ichiro? Tajiri and Tsutomu Maeda,Edo Jugaku No Chu?Yo? Chu?Shaku,2012
SUZKKN,Tadashi Suzuki,Kano? Ko?Kichi No Kenkyu?,1970
ANDASS-19,Sho?eki Ando? and Nobuhiro Sato? and Masahide Bito? and Takao Shimazaki,"Ando? Sho?Eki, Sato? Nobuhiro",1977
MURFNS,Yasushi Murakami,?????: ?????????????,1994
IWANJG,Junsei Iwahashi,Nihon Jukyo? Gaisetsu,1925
YASAST,Toshinobu Yasunaga,Ando? Sho?Eki to Nakae Cho?Min,1978
TJGJS,Eiki To?jo?,Gosei Junkan Sekaizo? No Seiritsu: Ando? Sho?Eki No Zen Shiso? Kankei,2011
HAGKMK,Noboru Haga,Kindai Mitogaku Kenkyu?Shi,1996
KAYASN,Noriko Kayanuma,Ando? Sho?Eki No Gakumon to Shinko?,1996
YAMASN,Nobuo Yamazaki,Ando? Sho?Eki No Jitsuzo?: Kindaiteki Shiten o Koete,2016
ISHASF,Tadakichi Ishigaki,Andoo? Sho?Eki,1974
ANDASZ,Shoeki Ando and Ando Shoeki Kenkyukai,Ando? Sho?Eki Zenshu?,1981
JOLLNS,Jacques Joly,"Le Naturel Selon Ando? Sho?Eki: Un Type de Discours Sur la Nature Et la Spontane?Ite? Par Un Mai?Tre-Confuce?En de l'E?Poque Tokugawa, Ando? Sho?Eki, 1703-1762",1989
YASKNN,Toshinobu Yasunaga and Toru Haga and Minami Yanagisawa,"Kinsei Nihon No Tetsugaku: Ando? Sho?Eki, Hiraga Gennai, Miura Baien",1984
TOJASN,Eiki To?jo?,"Ando? Sho?Eki No ""Shizen Seisei""Ron",1996
YASASK,Toshinobu Yasunaga and Sh\a{a}oeki And\a{a}o,"????: ???????????, ?????????????",1992
ISHASN,Hiroaki Ishiwata,Ando? Sho?Eki No Sekai: Dokuso?Teki Shiso? Wa Ikani Umareta Ka,2007
TERASN,Goro? Terao,Ando? Sho?Eki No Shizen Tetsugaku to Igaku,1996
ANDASZ-2,Shoeki Ando and Masahiko Miyake,Ando? Sho?Eki Zenshu?,1981
NAKAST-2,Yukihiko Nakamura,"Ando? Sho?Eki, Tominaga Nakamoto, Miura Baien, Ishida Baigan, Ninomiya Sontoku, Kaiho Seiryo? Shu?",1971
JOLSEN,Jacques Joly,Spontan\'{e}it\'e Et Nature: Le Cas d'And\^o Sh\^{o}eki,1994
WEIEUZ,Claus Weidner,Einheit Und Zweiteilung: Die Sozialen Ideen des Arztes And\^o Sh\^{o}eki (1703 - 1762),1999
NAKAST,Yukihiko Nakamura,"Ando Shoeki, Tominaga Nakamoto",1971
PACRO-2,Roman Pa\c{s}ca,Review of ???????????????????,2017
HEIROS-4,Steven Heine,Sourcebook for Modern Japanese Philosophy: Selected Documents (Review),2001
