ID,Author,Title,Year
NUSAAF-2,Martha Craven Nussbaum,"Anger and Forgiveness: Resentment, Generosity, Justice",2016
CHETCF-7,Myisha Cherry,The Case for Rage: Why Anger is Essential to Anti-Racist Struggle,2021
HIROAT,Sukaina Hirji,Outrage and the Bounds of Empathy,2022
TODTPO-34,Patrick Todd and Brian Rabern,The Paradox of Self-Blame,2022
BAIQAS,Alison Bailey,"""on Anger, Silence and Epistemic Injustice""",2018
WHIAGA-2,Shiloh Whitney,Anger Gaslighting and Affective Injustice,2023
FLATGO-3,Owen J. Flanagan,The Geography of Morals: Varieties of Moral Possibility,2016
TELCD-2,Daniel Telech and Leora Dahan Katz,Condemnatory Disappointment,2022
STOHUO-2,Katie Stockdale,Hope Under Oppression,2021
SILAAI-2,Laura Silva,Anger and its Desires,2021
FLAHTD,Owen Flanagan,How to Do Things with Emotions: The Morality of Anger and Shame Across Cultures,2021
KAUVA,Antti Kauppinen,Valuing Anger,2017
SILTEO-24,Laura Luz Silva,The Efficacy of Anger: Recognition and Retribution,2021
CHEPA-5,Myisha Cherry,Political Anger,2021
SILIAA-6,Laura Silva,Is Anger a Hostile Emotion?,2021
CHETEA-5,Myisha Cherry,The Errors and Limitations of Our ?Anger-Evaluating? Ways,2017
SCADGU,Andrea Scarantino and Paul Griffiths,Don?T Give Up on Basic Emotions,2011
NUSTA,Martha C. Nussbaum,Transitional Anger,2015
Dennis2019-REIASG,Samuel Reis{-}Dennis,Anger: Scary Good,2019
PETMAM-2,Glen Pettigrove,Meekness and 'Moral' Anger,2012
STOSTA,Rowland Stout,Seeing the Anger in Someone's Face,2010
RIETST-5,Stefan Https://Orcidorg Riedener,"The Standing to Blame, or Why Moral Disapproval is What It Is",2019
FRYANO-3,Marilyn Frye,A Note on Anger (in Spanish Translation),manuscript
MAROTT-9,Berislav Marusi\'c,"On the Temporality of Emotions: An Essay on Grief, Anger, and Love",2022
CARMRR-3,Gregg D. Caruso and Derk Pereboom,Moral Responsibility Reconsidered,2022
LEVBEQ,Robert W. Levenson,Basic Emotion Questions,2011
WIETEO-6,Isaac Wiegman,The Evolution of Retribution: Intuitions Undermined,2017
EMEBEM,Barrett Emerick and Audrey Yap,Betrayed Expectations: Misdirected Anger and the Preservation of Ideology,2023
FRAVB,Christopher Evan Franklin,Valuing Blame,2012
WHIAAU,Shiloh Whitney,Anger and Uptake,2023
CHEOJB,Myisha Cherry,On James Baldwin and Black Rage,2022
WARAFA-3,Brandon Warmke,Articulate Forgiveness and Normative Constraints,2015
SILOBA,Laura Silva,On Being Angry at Oneself,2022
LEBAAA,Celine Leboeuf,Anger as a Political Emotion: A Phenomenological Perspective,2017
CARUAC-3,Mary Carman,Unpacking a Charge of Emotional Irrationality: An Exploration of the Value of Anger in Thought,2022
