ID,Author,Title,Year
ANDAMP-2,Susana Mons\'o and Kristin Andrews,Animal Moral Psychologies,2022
BUCRIT-3,Cameron Buckner,Rational Inference: The Lowest Bounds,2019
VIECIA,Tillmann Vierkant,Choice in a Two Systems World: Picking \& Weighing or Managing \& Metacognition,2018
COUEFA,Justin J. Couchman and Michael J. Beran and Mariana Vc Coutinho and Joseph Boomer and J. David Smith,Evidence for Animal Metaminds,2012
PAURNT,Spencer Paulson,Reflective Naturalism,2023
SEBCIT-3,Miguel \'{A}ngel Sebasti\'{a}n and Marc Artiga,Can Informational Theories Account for Metarepresentation?,2020
BOYMSA-2,Alexandria Boyle,Mirror Self-Recognition and Self-Identification,2017
SALTSO-12,Lucie H. Salwiczek and Wolfgang Wickler,The Shaping of Animals? Minds,2005
DOBQIC,Shanna Dobson and Julian Scaff,Quantum Intrinsic Curiosity Algorithms (1st edition),manuscript
WILDTH-2,Damien P. Williams,Deleting the Human Clause: A Review of Ashley Shew?s \emph{Animal Constructions and Technological Knowledge},2018
