ID,Author,Title,Year
SOBPAM,Elliott Sober,Parsimony and Models of Animal Minds,2009
LEOEAC-4,Marco Facchin and Giulia Leonetti,Extended Animal Cognition,2024
JAMAEA,Dale Jamieson and Marc Bekoff,Afterward: Ethics and the Study of Animal Cognition,1996
WSTSBT,"Florian L. W\""{u}stholz",Selbstbewusstsein Bei Tieren: Begriffliche Und Methodologische Probleme,2013
OSTTUO,Agustin Ostachuk,"The Umwelt of Uexk\""{u}ll and Merleau-Ponty",2013
ALTDAA,Matthew C. Altman,Decentering Anthropocentrisms: A Functional Approach to Animal Minds,2015
SHARTA-2,Kenneth Joel Shapiro,Re-Minding the Animals: Developments in the Scientific Study of Nonhuman Animals,1992
CORSER,R. Corbey,Sabine Eggers Reviews the Metaphysics of Apes: Negotiating the Animal-Human Boundary,2006
PURCAA,Gary Purpura and Richard Samuels,Review of Colin Allen and Marc Bekoff: \emph{Species of Mind: The Philosophy and Biology of Cognitive Ethology},2000
PILHSI,W. B. Pillsbury,Studies in Animal Behavior,1918
KEMACT-2,L. Kemmerer,Animal Cognition: The Mental Lives of Animals,2002
MOOUAT-2,Richard Moore,"Us and Them: The Science of Animal Minds: Thomas Suddendorf: The Gap: The Science of What Separates Us From Other Animals. New York: Basic Books, 2013, 368Pp, \$29.99 Hb",2014
JABPEM,Nina Jablonksi,"Primate Encounters: Models of Science, Gender, and Society",2002
