ID,Author,Title,Year
ARNLOT,Antoine Arnauld,"Logic, or, the Art of Thinking: Containing, Besides Common Rules, Several New Observations Appropriate for Forming Judgment",1996
FINAAA-4,Maurice A. Finocchiaro,"Arguments About Arguments: Systematic, Critical, and Historical Essays in Logical Theory",2005
ARNTAO,Antoine Arnauld,The Art of Thinking,1964
MARPAJ,Jennifer Smalligan Maru\v{s}i\'c,Propositions and Judgments in Locke and Arnauld: A Monstrous and Unholy Union?,2014
OTTDMA,Walter R. Ott,"Descartes, Malebranche, and the Crisis of Perception",2017
PEALAA-2,Kenneth L. Pearce,"Locke, Arnauld, and Abstract Ideas",2019
HATTCC,Gary Hatfield,The Cartesian Circle,2006
PEAIAE-4,Kenneth L. Pearce,Ideas and Explanation in Early Modern Philosophy,2021
PEAAVD,Kenneth L. Pearce,Arnauld's Verbal Distinction Between Ideas and Perceptions,2016
BURTPS-2,Jill Vance Buroker,The Port-Royal Semantics of Terms,1993
BOLTES,Martha Brandt Bolton,The Epistemological Status of Ideas: Locke Compared to Arnauld,1992
MARDTT-2,John N. Martin,"Distributive Terms, Truth, and the \emph{Port Royal Logic}",2013
MAREII-2,John N. Martin,Existential Import in Cartesian Semantics,2011
RADRIA,Daisie Radner,Representationalism in Arnauld's Act Theory of Perception,1976
STEEAP-4,Eric Stencil,Essence and Possibility in the Leibniz-Arnauld Correspondence,2016
KREIA,Elmar J. Kremer,Interpreting Arnauld,1996
STEAPA-14,Eric Stencil and Julie Walsh,"Arnauld, Power, and the Fallibility of Infallible Determination",2016
STEQA,Eric Stencil,Antoine Arnauld,2013
MALRDT,Nicolas Malebranche and Antoine Arnauld and Andr\'e Robinet,Recueil de Toutes les R\'{e}ponses \`A Monsieur Arnauld,1966
GRETME-7,John Grey,The Modal Equivalence Rules of the Port-Royal Logic,2017
KRETGA,Elmar J. Kremer,The Great Arnauld and Some of His Philosophical Correspondents,1998
WATMAA-2,Richard A. Watson,Malebranche and Arnauld on Ideas,1994
WELTCD,Norman Wells,"The Conimbricenses, Descartes, Arnauld, and the Two Ideas of the Sun",2003
PEIDEL,Katarina Peixoto,"Description, Espace Logique Et Enjeu de L'implication de L'ouverture au Langage Pour la Conception du Jugement de la Logique de Port-Royal",2020
DUFOAN,Michel Dufour,Old and New Fallacies in Port-Royal Logic,2019
KREAA,Elmar Kremer,Antoine Arnauld,2008
PCHLML,Martine P\'{e}charman,"Words, Ideas, and Representation: The Genesis of the Definition of a Sign in the Port-Royal Logique",2016
BARTLS-3,H. C. Barnard,The Little Schools of Port-Royal,2015
PEAP-5,Kenneth L. Pearce,Port-Royal,2015
FINTPL,Maurice A. Finocchiaro,The Port-Royal Logic's Theory of Argument,1997
STEAGR-2,Eric Stencil,Arnauld's God Reconsidered,2019
ABLWIM,Fred Ablondi,Why It Matters That I?M Not Insane: The Role of the Madness Argument in Descartes?s First Meditation,2007
SNCLED-6,Manuel S\'{a}nchez Rodr\'{i}guez and Neftal\'i Villanueva Fern\'{a}ndez,La Estupefacci\'{o}n de Arnauld. El Fundamento L\'{o}gico-Metaf\'{i}sico de la Identidad Personal En la Filosof\'{i}a de Leibniz En Torno a 1686,2011
WALTPA-34,Julie Walsh and Eric Stencil,The Protestant and the Pelagian,2019
CHACTA-9,Abdel{-}Sabbour Chahine,Debate: Concerning the Article by Antoine C. Mattar,1975
STEQQL,Pierre Steiner,Qu'est-Ce Que la Pens\'{e}e ?,2017
DOWIAR,Lisa Jeanne Downing,Interpreting Arnauld (Review),1999
SENBG,Ciro Senofonte,Baio - Giansenio - Arnauld,1996
PCHLQD-2,Martine P\'{e}charman,La Question des ?R\`{e}gles de la Critique? \`A Port-Royal: La Critique Jusqu'\`a Kant,1999
VANEJK,Frederick P. van de Pitte,"Elmar J. Kremer, Ed., Interpreting Arnauld Reviewed By",1997
MIEPPA,Jan Miel,"Pascal, Post-Royal, and Cartesian Linguistics",1969
CONAAA-2,John J. Conley,Adoration and Annihilation: The Convent Philosophy of Port-Royal,2009
SCHAAA-25,D. Schulthess,"Arnauld, Antoine and Reid, Thomas, Defenders of Certainty, Common Perceptives and Critics of Representative Entities",1986
ARNTPR,Antoine Arnauld and Thomas Spencer Baynes and Port Royal,"The Port Royal Logic [by A. Arnauld and P. Nicole] Tr. With Intr., Notes and Appendix by T.S. Baynes",1851
WELJDT,Norman Wells,"Jean Duhamel, the Cartesians, and Arnauld on Idea",1999
HUNADO,Graeme Hunter,Arnauld's Defence of Miracles and its Context,1996
PAMLCD-2,Javier Pamparacuatro Mart\'{i}n,La Cuesti\'{o}n de la Aserci\'{o}n En la Logique Ou L?Art de Penser y la Grammaire G\'{e}n\'{e}rale Et Raisonn\'{e}e,2008
TRINOA,Roland Trimen,"Xv.--Note on a Specimen Ofamphisile Punctulata, Bianconi, From Port Natal",1881
SERRSL,Jean Servais,Recherches Sur le Port de Cyll\`{e}ne,1961
BURAAA-14,Jill Vance Buroker,Antoine Arnauld and Pierre Nicole: Logic or the Art of Thinking,1996
ROLTPT,B. Rolf,The Port-Royal Theory of Definition,1983
ARNLOT-5,Antoine Arnauld,"Logic; or, the Art of Thinking [by A. Arnauld and P. Nicole], Tr. By Several Hands. 4 Pt. [In 2]",1685
KILAAA-4,John Kilcullen,Antoine Arnauld Against Philosophic Sin,1983
VOSNTO-2,Stephen Voss,New Translation of the Arnauld Correspondence,1991
STEASO-40,Eric Stencil,Arnauld's Silence on the Creation of the Eternal Truths,2019
CUMAAT,Richard J. Cummins,Arnauld and the Cartesian Philosophy of Ideas,1991
SCHAAE-9,Daniel Schulthess,"Antoine Arnauld Et Thomas Reid, D\'{e}fenseurs des Certitudes Perceptives, Communes Et Critiques des Entit\'{e}s Repr\'{e}sentatives in Sens Commun",1986
LAITLO-2,John Laird,The ?Legend' of Arnauld's Realism,1924
ADOA,Francesco Paolo Adorno,Arnauld,2005
HUNIA,Graeme Hunter,Interpreting Arnauld,1996
PARAAP-2,Jean Claude Pariente,Antoine Arnauld: Philosophie du Langage Et de la Connaissance,1995
FERPWA,M. Ferrari,"Pictures, Words and Objects in Mans Education-a Note on Criticism From Port-Royal to Comenius",1995
KILAAO,John Kilcullen,Appendix: Arnauld on Freewill and Necessity,manuscript
Gomez1988-GARATO-16,Sara F. Garda{-}Gomez,Arnauld?s Theory of Ideative Knowledge,1988
NDITPO,Ar Ndiaye,"The Philosophy of Arnauld, Antoine",1994
DOMPTC,M. Dominicy,Port-Royal'logique'-From the Calculation of Ideas to Formal Semantics,1994
SCHTAO-43,Roger Schmit,A Propos de l'Analyse des Jugements Universels Dans la Logique de Port-Royal,1994
BAUTAM-2,Pierre Baumann,Truth and Meaning in the Port-Royal Logic,2014
LEAAFA,Roy Leake Jr,Antoine Fouquelin and the Pl\'{e}iade,1970
ANGAOA-2,Ignacio Angelelli,Aristotelian-Scholastic Ontology and Predication in the Port-Royal Logic,1998
ARNOPD,Antoine Arnauld and Elmar J. Kremer and Denis Moreau,Oeuvres Philosophiques D'arnauld,2003
NELTGA,Alan Jean Nelson,The Great Arnauld and Some of His Philosophical Correspondents,1996
DOMSLL,Marc Dominicy,Sur la Logique de Port-Royal: Du Calcul des Id\'{e}es \`A la S\'{e}mantique Formelle,1994
SCOAA,David Scott,"Antoine Arnauld, 1612-1694",1995
Naya2007-REGLCD-2,Delphine Reguig{-}Naya,"Le Corps des Ide?Es: Pense?Es Et Poe?Tiques du Langage Dans l'Augustinisme de Port-Royal: Arnauld, Nicole, Pascal, Mme. De la Fayette, Racine",2007
VANAAA-13,James van Evra,"Antoine Arnauld and Pierre Nicole, Logic or the Art of Thinking Reviewed By",1997
PARLDL-5,Jean Claude Pariente,L'analyse du Langage \`A Port-Royal: Six \'{E}tudes Logico-Grammaticales,1985
SLELAA-2,David Blumenfeld,Leibniz and Arnauld,1993
BUZLEL-3,Dino Buzzetti,Locke e la Discussione Sugli Universali,1982
KAPTIO-4,Andreas Kaplony,The Interplay of Different Kinds of Commercial Documents at the Red Sea Port Al-Qu\d{s}ayr Al-Qadim,2010
PECTRO,Martine Pecharman,The Rules of Critique. Richard Simon and Antoine Arnauld,2010
BOUDVE,"Jo\""{e}l Boudreault","Des Vraies Et des Fausses Id\'{e}es Antoine Arnauld \'{E}dition, Pr\'{e}sentation Et Notes Par Denis Moreau Paris, Vrin (Coll. ?Biblioth\`{e}que des Textes Philosphiques?), 2011, 254 P",2012
MAHDOC-6,James Edwin Mahon,Descartes Our Contemporary,1999
RICBRA-15,Richard H. Popkin,"Book Review:Sincerity and Truth: Essays on Arnauld, Bayle, and Toleration. John Kilcullen",1992
FRAAOM-6,Tenney Frank,Antoine on Modal Attraction,1904
NADRCS,Steven M. Nadler,"R. C. Sleigh, Jr., ""Leibniz and Arnauld: A Commentary on Their Correspondence""",1991
