ID,Author,Title,Year
KRUEAE,Joel Krueger and Lucy Osler,"Engineering Affect: Emotion Regulation, the Internet, and the Techno-Social Niche",2019
SUTEIA,John Sutton,"Exograms and Interdisciplinarity: History, the Extended Mind, and the Civilizing Process",2010
KIRODE,David Kirsh and Paul Maglio,On Distinguishing Epistemic From Pragmatic Action,1994
SMATCE-2,Paul Smart and Richard Heersmink and Robert Clowes,The Cognitive Ecology of the Internet,2017
KRUVOE,Joel Krueger,Varieties of Extended Emotions,2014
KRUAAT-5,Joel Krueger,Affordances and the Musically Extended Mind,2013
SCHOIV,Lukas Schwengerer,Online Intellectual Virtues and the Extended Mind,2021
HEEPNI,Richard Heersmink,"Preserving Narrative Identity for Dementia Patients: Embodiment, Active Environments, and Distributed Memory",2022
KRUMIH,Joel Krueger and Michelle Maiese,"Mental Institutions, Habits of Mind, and an Extended Approach to Autism",2018
HEEDCA,Richard Heersmink,"Distributed Cognition and Distributed Morality: Agency, Artifacts and Systems",2017
OVEBWT,Karenleigh Overmann,Beyond Writing: The Development of Literacy in the Ancient Near East,2016
FACPTC,Marco Facchin,"Phenomenal Transparency, Cognitive Extension, and Predictive Processing",2024
CLOTEO-6,Robert William Clowes and Paul R. Smart and Richard Heersmink,"The Ethics of the Extended Mind: Mental Privacy, Manipulation and Agency",2024
KRUAES-2,Joel Krueger and Lucy Osler,"Agency, Environmental Scaffolding, and the Development of Eating Disorders - Commentary on Rodemeyer",2020
OVEMAH,Karenleigh Overmann and Thomas Wynn,Materiality and Human Cognition,2019
HEEDLE,Richard Heersmink and Simon Knight,Distributed Learning: Educating and Assessing Extended Cognitive Systems,2018
SMATWM,Paul R. Smart,The Web-Extended Mind,2012
OVETMC,Karenleigh A. Overmann,Thinking Materially: Cognition as Extended and Enacted,2017
DRACDA-3,Zoe Drayson and Andy Clark,"Cognitive Disability and Embodied, Extended Minds",2020
OVECAC,Karenleigh Overmann,Constructing a Concept of Number,2018
ROBPBT,Tom Roberts and Joel Krueger and Shane Glackin,"Psychiatry Beyond the Brain: Externalism, Mental Health, and Autistic Spectrum Disorder",2019
KRUEAT,Joel W. Krueger,Empathy and the Extended Mind,2009
ANDECS,Gloria Andrada,Epistemic Complementarity: Steps to a Second Wave Extended Epistemology,2021
MADETM-2,Michael Madary,Engineering the Minds of the Future: An Intergenerational Approach to Cognitive Technology,2022
HEEETC-2,Richard Heersmink,"Embodied Tools, Cognitive Tools and Brain-Computer Interfaces",2011
