ID,Author,Title,Year
DANTTO-13,John Danaher,"The Threat of Algocracy: Reality, Resistance and Accommodation",2016
VLIPIP,Carissa V\'{e}liz,Privacy is Power,2020
TIMACF,Travis Timmerman,A Case for Removing Confederate Monuments,2019
UMBIVS-2,Steven Umbrello,Imaginative Value Sensitive Design: Using Moral Imagination Theory to Inform Responsible Technology Design,2020
GOOBFT,Robert E. Goodin and Christian Barry,Benefiting From the Wrongdoing of Others,2014
RAMHTD,Erick Jose Ramirez,How to (Dis)Solve the Gamer?s Dilemma,2020
PETEAR-4,Richard Pettigrew,Should Longtermists Recommend Hastening Extinction Rather Than Delaying It?,2024
MACGSA-11,Kevin Macnish,Government Surveillance and Why Defining Privacy Matters in a Post-Snowden World,2016
MORMUW,Jennifer M. Morton,Moving Up Without Losing Your Way: The Ethical Costs of Upward Mobility,2019
MORBAT-14,Nicolae Morar and Joshua August Skorburg,Bioethics and the Hypothesis of Extended Health,2018
BURDPE,Christopher Burr and Jessica Morley and Mariarosaria Taddeo and Luciano Floridi,Digital Psychiatry: Ethical Risks and Opportunities for Public Health and Well-Being,2020
GOTVAP,Joseph Gottlieb,Space Colonization and Existential Risk,2019
CASWWW,Clinton Castro,What's Wrong with Machine Bias,2019
GOLAE-2,Elizabeth Jackson and Tyron Goldschmidt and Dustin Crummett and Rebecca Chan,Applied Ethics: An Impartial Introduction,2021
DANRCS,John Danaher,Regulating Child Sex Robots: Restriction or Experimentation?,2019
DIGWME,Antonio Di\'{e}guez and Carissa V\'{e}liz,Would Moral Enhancement Limit Freedom?,2019
HYEIOT,Hyemin Han and Jingyuan E. Chen and Changwoo Jeong and Gary H. Glover,Influence of the Cortical Midline Structures on Moral Emotion and Motivation in Moral Decision-Making,2016
CAMNAS-2,Douglas R. Campbell,Nudging and Social Media: The Choice Architecture of Online Life,2022
MATTEO-29,Erich Hatala Matthes,The Ethics of Historic Preservation,2016
HAWTWT,Jennifer Hawkins,"Theory Without Theories: Well-Being, Ethics, and Medicine",2021
KUGVFV,Elsa Kugelberg,Values for Victims and Vectors of Disease,2022
ARVRAF-2,Marcus Arvan,Rightness as Fairness,2016
TORTEO-2,Lawrence Torcello,"The Ethics of Inquiry, Scientific Belief, and Public Discourse",2011
SKETEP,Anthony Skelton,The Ethical Principles of Effective Altruism,2016
ELLOFO,G. M. Eller,On Fat Oppression,2014
IANQE,Ian Stoner and Jason Swartwood,Fanciful Examples,2017
STETTO-26,James P. Sterba,The Triumph of Practice Over Theory in Ethics,2004
LANRPO-4,Benjamin Lange,Restricted Prioritarianism or Competing Claims?,2017
MORNAT-10,Nicolae Morar and Daniel Kelly,Nudging and the Ecological and Social Roots of Human Agency,2016
HARAAA-15,Gerald Harrison,"Antinatalism, Asymmetry, and an Ethic of Prima Facie Duties",2012
KAIDTE,Matthias Kaiser and Kate Millar and Erik Thorstensen and Sandy Tomkins,Developing the Ethical Matrix as a Decision Support Framework: Gm Fish as a Case Study,2007
LAFEIP-4,Hugh LaFollette,Ethics in Practice: An Anthology,1997
KRAILA-3,Chris A. Kramer,Is Laughing at Morally Oppressive Jokes Like Being Disgusted by Phony Dog Feces? An Analysis of Belief and Alief in the Context of Questionable Humor,2022
RUBTPJ,Alan Rubel,The Particularized Judgment Account of Privacy,2011
MONUWA,Jeff Montrose,Unjust War and a Soldier's Moral Dilemma,2013
VOGMAT-5,Eric Vogelstein,Metaphysics and the Future-Like-Ours Argument Against Abortion,2016
LAFTIE-4,Hugh LaFollette,The International Encyclopedia of Ethics,2013
SAMPHO,Director Samuel,Public Health Officials Should Almost Always Tell the Truth,2023
TIMTPW,Travis Timmerman and Bob Fischer,The Problem with Person-Rearing Accounts of Moral Status,2019
Herzog2024-BAYMAD,Esma Baycan{-}Herzog and Annamari Vitikainen and Kasper Lippert{-}Rasmussen,Migration and Discrimination: Exploring the Pathways of a More Integrated Research Agenda,2024
NIVBAA,Yarden Niv,Beyond All-or-Nothing Approaches to Moral Expertise,2021
