ID,Author,Title,Year
HANWME-2,Hyemin han and Clifford Ian Workman and Joshua May and Payton Scholtens and Kelsie J. Dawson and Andrea L. Glenn and Peter Meindl,Which Moral Exemplars Inspire Prosociality?,2022
OAKVEA-3,Justin Oakley and Dean Cocking,Virtue Ethics and Professional Roles,2001
ATHRMI,Nafsika Athanassoulis and Hyemin Han,Role Modeling is Beneficial in Moral Character Education: A Commentary on Carr (2023),2023
HANCFE,Hyemin Han and Marja Graham,Considerations for Effective Use of Moral Exemplars in Education: Based on the Self-Determination Theory and Data Syntheses,forthcoming
HYECTP,Han Hyemin,Considering the Purposes of Moral Education with Evidence in Neuroscience: Emphasis on Habituation of Virtues and Cultivation of Phronesis,2024
HANETA-4,Hyemin Han and Kelsie J. Dawson and David I. Walker and Nghi Nguyen and Youn{-}Jeng Choi,Exploring the Association Between Character Strengths and Moral Functioning,2023
BARVGV,Christopher Bartel,"Video Games, Violence, and the Ethics of Fantasy: Killing Time",2020
HANETN-3,Hyemin Han,Examining the Network Structure Among Moral Functioning Components with Network Analysis,2024
MOOOTI,Geoff Moore,On the Implications of the Practice?Institution Distinction,2002
ARJVTA,Surendra Arjoon,Virtue Theory as a Dynamic Theory of Business,2000
AUDVEA,Robert Audi,Virtue Ethics as a Resource in Business,2012
CAFEVE-4,Philip Cafaro and Ronald Sandler,Environmental Virtue Ethics,2005
BRIRVD,David S. Bright and Bradley A. Winn and Jason Kanov,Reconsidering Virtue: Differences of Perspective in Virtue Ethics and the Positive Social Sciences,2014
SINTJW,Matthew Sinnicks,the Just World Fallacy as a Challenge to the Business-as-Community Thesis,2020
HANETR-3,Hyemin Han,Exploring the Relationship Between Purpose and Moral Psychological Indicators,2024
SCHCTP-4,Jon Alan Schmidt,Changing the Paradigm for Engineering Ethics,2014
FRIFHT-2,Julian Friedland and Benjamin M. Cole,From Homo-Economicus to Homo-Virtus: A System-Theoretic Model for Raising Moral Self-Awareness,2019
MANTVO-3,Tony Manela,The Virtue of Gratitude and its Associated Vices,forthcoming
HANHCN,Hyemin Han,"How Can Neuroscience Contribute to Moral Philosophy, Psychology and Education Based on Aristotelian Virtue Ethics?",2016
ROBVAV,Brian Robinson and Paul Stey and Mark Alfano,Virtue and Vice Attributions in the Business Context: An Experimental Investigation,2013
COGASO,Zac Cogley,A Study of Virtuous and Vicious Anger,2013
WALWVV,Rebecca L. Walker and Philip J. Ivanhoe,Working Virtue: Virtue Ethics and Contemporary Moral Problems,2007
PELINS,Alik Pelman and Ohad Nachtomy and Yohay Carmel,Individual Nutritional Self-Sufficiency: A Viable Option in the Present Era,2024
BATACA-2,Heather Battaly,Attacking Character: Ad Hominem Argument and Virtue Epistemology,2010
HANWDW-4,Hyemin Han,Why Do We Need to Employ Exemplars in Moral Education? Insights From Recent Advances in Research on Artificial Intelligence,forthcoming
FRECAA,Rachel Fredericks,Courage as an Environmental Virtue,2014
ATHAAV,Nafsika Athanassoulis,Acquiring Aristotelian Virtue,2017
RODSVS,Travis J. Rodgers and Brandon Warmke,Situationism Versus Situationism,2015
KALUAT,Sofia Kaliarnta,Using Aristotle?s Theory of Friendship to Classify Online Friendships: A Critical Counterview,2016
CARIGA-4,David Carr,Is Gratitude a Moral Virtue?,2015
MACASA-4,William MacAskill,Aid Scepticism and Effective Altruism,2019
MACFTV-2,Piotr Machura,Framing the Virtue-Ethical Account in the Ethics of Technology,2024
HANLSA-5,Hyemin Han and Robert E. McGrath,Latent Structural Analysis for Measures of Character Strengths: Achieving Adequate Fit,forthcoming
BREFBA,Jason Brennan,For-Profit Business as Civic Virtue,2012
VELPAI,Muhammad Velji,Proposing an Islamic Virtue Ethics Beyond the Situationist Debates,forthcoming
GRIVER-2,Liezl van Zyl,Does Virtue Ethics Allow Us to Make Better Judgments of the Actions of Others?,2019
ALFIKY,Brian Robinson and Mark Alfano,"I Know You Are, but What Am I?: Anti-Individualism in the Development of Intellectual Humility and Wu-Wei",2016
WEBIV,Jonathan Webber,Instilling Virtue,2016
BUTAMK-2,Mark Button,?A Monkish Kind of Virtue?? For and Against Humility,2005
TABVEA,Ferdinand Tablan,Virtue Ethics and Meaningful Work: A Contemporary Buddhist Approach,2019
GAROOC-2,Jacob Smith and Georgi Gardiner,Opacity of Character: Virtue Ethics and the Legal Admissibility of Character Evidence,2021
ALVVAA,Carlo Alvaro,Veganism as a Virtue: How Compassion and Fairness Show Us What is Virtuous About Veganism,2017
GRAMFH,Mark Graves and Emanuele Ratti,Microethics for Healthcare Data Science: Attention to Capabilities in Sociotechnical Systems,2021
LICAP-2,Hon{-}Lam Li,Contractualism and Punishment,2015
OLTIYS,Bas Olthof and Anco Peeters and Kimberly Schelle and Pim Haselager,"If You?Re Smart, We?Ll Make You Smarter: Applying the Reasoning Behind the Development of Honours Programmes to Other Forms of Cognitive Enhancement",2013
METHAC-2,Thaddeus Metz,Meaning as Transformative,forthcoming
BARDED-11,Matthew J. Barker,"Diverse Environments, Diverse People",2019
SPRHCI-3,Jason A. Springs,Healthy Conflict in an Era of Intractability: Reply to Four Critical Responses,2020
WYABAU,Wendy N. Wyatt,Being Aristotelian: Using Virtue Ethics in an Applied Media Ethics Course,2008
MICVEA,Michael Slote,Virtue Ethics and Democratic Values,1993
MCCHVE,Susan D. McCammon and Howard Brody,How Virtue Ethics Informs Medical Professionalism,2012
MASVEA,Carolyn Mason,Virtue Ethics and Person-Place Relationships,forthcoming
ROERSF,Marcus Roe,Resurrexit Spiritus,2023
AUDALT,Robert Audi,A Liberal Theory of Civic Virtue,1998
VOLWIE,Richard Volkman,Why Information Ethics Must Begin with Virtue Ethics,2010
BRETRO-13,Tracey Bretag and Margaret Green,The Role of Virtue Ethics Principles in Academic Integrity Breach Decision-Making,2014
LOVAMD,Rob Lovering,A Moral Defense of Recreational Drug Use,2015
SAEVEA,Carla Saenz,Virtue Ethics and the Selection of Children with Impairments: A Reply to Rosalind Mcdougall,2009
ATHTPO-2,Nafsika Athanassoulis,The Psychology of Virtue Education,2016
CAFPAA,Philip Cafaro,Patriotism as an Environmental Virtue,2009
SIFVEA,Katrina L. Sifferd,Virtue Ethics and Criminal Punishment,2016
SCHPEI-14,Kory P. Schaff and Tonatiuh Rodriguez{-}Nikl,Practical Ethics in Civil Engineering and Environmental Systems,2023
MLLGCA,"Vincent C. M\""{u}ller",Gun Control: A European Perspective,2015
