ID,Author,Title,Year
LATRTS,Bruno Latour,Reassembling the Social: An Introduction to the Actor-Network Theory,2005
GILOSF-2,Margaret Gilbert,On Social Facts,1989
GILJCH,Margaret Gilbert,Joint Commitment: How We Make the Social World,2013
TUOSOC,Raimo Tuomela,Social Ontology: Collective Intentionality and Group Agents,2013
KHANCA-5,Muhammad Ali Khalidi,Natural Categories and Human Kinds: Classification in the Natural and Social Sciences,2013
TUOTPO,Raimo Tuomela,The Philosophy of Sociality: The Shared Point of View,2007
GILOSF-3,Margaret Gilbert,On Social Facts,1989
TUOTIO,Raimo Tuomela,The Importance of Us: A Philosophical Study of Basic Social Notions,1995
GILATO-6,Margaret Gilbert,"A Theory of Political Obligation: Membership, Commitment, and the Bonds of Society",2006
GILSAR-2,Margaret Gilbert,Sociality and Responsibility: New Essays in Plural Subject Theory,2000
RITSSA-4,Katherine Ritchie,Social Structures and the Ontology of Social Groups,2018
GILWTA,Margaret Gilbert,Walking Together: A Paradigmatic Social Phenomenon,1990
VELHTS-5,J. David Velleman,How to Share an Intention,1997
TUOW-2,Raimo Tuomela and Kaarlo Miller,We-Intentions,1988
GILSIA,Margaret Gilbert,Shared Intention and Personal Intentions,2009
ROOOSF,Michael Root,On Social Facts,1992
THOFFA,Amie L. Thomasson,Foundations for a Social Ontology,2003
TUOTPO-7,Raimo Tuomela,The Philosophy of Social Practices: A Collective Acceptance View,2002
GUAAUS,Francesco Guala and Frank Hindriks,A Unified Social Ontology,2015
WRACBA-2,K. Brad Wray,Collective Belief and Acceptance,2001
TAYSSM-8,Elanor Taylor,Substantive Social Metaphysics,2023
RAVAPF-2,Michael J. Raven,A Puzzle for Social Essences,2022
RICTMO-36,Kevin Richardson,The Metaphysics of Gender is (Relatively) Substantial,2022
MASSKA,Rebecca Mason,Social Kinds Are Essentially Mind-Dependent,2021
FALATR,August Faller,Are There Really Social Causes?,2023
LUDFPT,Kirk Ludwig,From Plural to Institutional Agency: Collective Action Ii,2017
XHIWMA,Michel{-}Antoine Xhignesse,What Makes a Kind an Art-Kind?,2020
SINHAF-3,Neil Sinhababu,Heidegger's Argument for Fascism,forthcoming
MASSO-3,Rebecca Mason and Katherine Ritchie,Social Ontology,2020
SCHWIA-26,Michael Schmitz,What is a Mode Account of Collective Intentionality?,2016
IKHRAS,Heikki Ikaheimo and Arto Laitinen,Recognition and Social Ontology,2011
LAUISO-4,Richard Lauer,Is Social Ontology Prior to Social Scientific Methodology?,2019
TUOWWD,Raimo Tuomela,We Will Do It: An Analysis of Group-Intentions,1991
KAINCR,Tuukka Kaidesoja,Naturalizing Critical Realist Social Ontology,2013
IKHRAS-2,"Heikki Ik\""{a}heimo and Arto Laitinen",Recognition and Social Ontology: An Introduction,2011
GILACA-3,Margaret Gilbert,"Agreements, Conventions, and Language",1983
VANASN-2,Han van Wietmarschen,Attitudinal Social Norms,2021
IKHHAN,"Heikki Ik\""{a}heimo",Holism and Normative Essentialism in Hegel's Social Ontology,2011
RITSCA-2,Katherine Ritchie,Social Creationism and Social Groups,2018
WEIASO-4,David Weissman,A Social Ontology,2013
HINBWI,Frank Hindriks,But Where is the University?,2012
RUBTMO-2,David{-}Hillel Ruben,The Metaphysics of the Social World,1985
HERHID,Lisa Herzog and Frank Hindriks and Rafael Wittek,How Institutions Decay: Towards an Endogenous Theory,forthcoming
TESDSO,Italo Testa,Dewey?s Social Ontology: A Pragmatist Alternative to Searle?s Approach to Social Reality,2017
THOSE,Amie L. Thomasson,Social Entities,2009
TOLWAT-2,Deborah Tollefsen and Shaun Gallagher,We-Narratives and the Stability and Depth of Shared Agency,2017
GILOSF-4,Roger Fellows,On Social Facts,1991
TUOCAS-2,Raimo Tuomela,"Collective Acceptance, Social Institutions, and Social Reality",2003
VANADF-5,Elizabeth VanKammen and Michael Rea,A Dilemma for Conferralism,forthcoming
HOLTSD-2,Martin Hollis,The Social Destruction of Reality,1982
PREFIT,Gerhard Preyer and Frank Hindriks and Sara Rachel Chant,From Individual to Collective Intentionality: New Essays,2014
HANTAD-6,Tobias Hansson Wahlberg,Towards a Deflationary Truthmakers Account of Social Groups,forthcoming
GILOAJ,Margaret Gilbert,Obligation and Joint Commitment,1999
ROVAMI,Corrado Roversi and Anna M. Borghi and Luca Tummolini,A Marriage is an Artefact and Not a Walk That We Take Together: An Experimental Study on the Categorization of Artefacts,2013
GILGMA,Margaret Gilbert,Group Membership and Political Obligation,1993
TUOCAS,Raimo Tuomela,"Collective Action, Supervenience, and Constitution",1989
PETBSA-2,"Bj\""{o}rn Petersson","Bratman, Searle, and Simplicity : Comments on Bratman, Shared Agency, Planning Theory of Acting Together",2015
SANOQF,Simone Santamato and Francesca De Vecchi,"Ontologia Qualitativa, Fenomenologia Della Persona. Intervista a Francesca de Vecchi",2024
MCMTCO-11,Kevin McMillan,The Constitution of Social Practices,2017
HANCRS-3,Tobias Hansson Wahlberg,Causally Redundant Social Objects: Rejoinder to Elder-Vass,2014
Vass2007-ELDAMF,Dave Elder{-}Vass,A Method for Social Ontology: Iterating Ontology and Social Research,2007
TESTAO-6,Italo Testa,The Authority of Life: The Critical Task of Dewey's Social Ontology,2017
GILRAC-6,Margaret Gilbert and Cristina Bicchieri,Rationality and Coordination,1996
MENTRO-16,Torsten Menge,The Role of Power in Social Explanation,2018
BHATO,Roy Bhaskar,Theorising Ontology,2006
BOGWIS,Paul A. Boghossian,What is Social Construction?,2001
BICSOA,Mark H. Bickhard,Social Ontology as Convention,2008
RICCSO-2,Kevin Richardson,Critical Social Ontology,2023
LAWCTS,Clive Lawson and John Latsis and Nuno Martins,Contributions to Social Ontology,2006
BAXSCA,Donald L. M. Baxter,Social Complexes and Aspects,2018
EVNTHO,Simon J. Evnine,The Historicity of Artifacts: Use and Counter-Use,2022
HARRAA-15,Randall Harp and Kareem Khalifa,Realism and Antirealism,2016
SMILOS-2,Barry Smith,Les Objets Sociaux,1999
GILSVS,Margaret P. Gilbert,"Shared Values, Social Unity, and Liberty",2005
CHESPH,Eric Chelstrom,"Social Phenomenology: Husserl, Intersubjectivity, and Collective Intentionality",2012
HASUCE,Ali Hasan and Jennifer Kayle,Unplanned Coordination: Ensemble Improvisation as Collective Action,2021
GILTAT-8,Margaret Gilbert,Two Approaches to Shared Intention: An Essay in the Philosophy of Social Phenomena,2008
SCHSMT-5,Frederick F. Schmitt and Gary Ebbs and Margaret Gilbert and Sally Haslanger and Kevin Kimble and Ron Mallon and Seumas Miller and Philip Pettit and Abraham Sesshu Roth and John Searle and Raimo Tuomela and Edward Witherspoon,Socializing Metaphysics: The Nature of Social Reality,2003
GILNOT,Margaret Gilbert,Notes on the Concept of a Social Convention,1983
HANTTA-8,Tobias Hansson Wahlberg,The Truth About Social Entities,2023
ARAIIU,Alejandro Arango and Adam Burgos,Introduction: Identities Unfolding in the Social World,2024
COLSR-4,Finn Collin,Social Reality,1997
RAICAJ,Raimo Tuomela,Collective and Joint Intention,2000
KOOEHO,Jo{-}Jo Koo,Early Heidegger on Social Reality,2016
SMISAG-2,Thomas H. Smith,"'Shared Agency', Gilbert, and Deep Continuity",2014
LUDMIT,Kirk Ludwig,"Methodological Individualism, the We-Mode, and Team Reasoning",2016
MENFEA-2,Torsten Menge,Fictional Expectations and the Ontology of Power,2020
HINAAS,Frank A. Hindriks,Acceptance-Dependence: A Social Kind of Response-Dependence,2006
