ID,Author,Title,Year
PACPSA,Yang Immanuel Pachankis,Physical Signals and Their Thermonuclear Astrochemical Potentials: A Review on Outer Space Technologies,2022
NELSLR,Benjamin L. S. Nelson,Secret Law Revisited,2019
KAND-2,Deepa Kansra,Democracy,2013
SATPPA,Mark Satta,Political Partisanship and Sincere Religious Conviction,2022
BURPAP-18,Victoria I. Burke and Robin D. Burke,Powerlessness and Personalization,2019
DAVCLF,Bradley David,"Comparative Law, Family Law and Common Law",2003
HOUTCA-2,Laurence D. Houlgate,The Child \& the State: A Normative Theory of Juvenile Rights (1st edition),1980
BURCEI-4,Victoria I. Burke,Conscience Exemptions in Medicine: A Hegelian Feminist Perspective,2016
ZARITS,Nadav S. Berman and Tal Z. Zarsky,?What is the Juxtaposition Between Silicon Valley and Mount Sinai? Covenantal Principles and the Conceptualization of Platform-User Relations?,2022
TRAHSL,Hannibal Travis,"Human Security Law in Iraq: Reforming Rules, Practices, and Urban Spaces",manuscript
SARRYP,Joaqu\'{i}n Sarri\'{o}n,Retos y Perspectivas En la Investigaci\'{o}n Biom\'{e}dica Con Datos En Espa\~{n}a,2023
RAHBRE,Mohammad Rubaiyat Rahman,Book Review: Environmental Law: Global and Bangladesh Context,2017
