ID,Author,Title,Year
GHETFA,Anca Gheaus,The Feminist Argument Against Supporting Care,2020
MESPJA,Kristina Meshelski,Procedural Justice and Affirmative Action,2016
BOXBAS,Bernard R. Boxill,Blacks and Social Justice,1984
EMEIRI,Barrett Emerick and Tyler Hildebrand,Inductive Reasoning Involving Social Kinds,forthcoming
ODETCF,Idowu Odeyemi,The Case for Affirmative Action (1st edition),2023
MESAAI-3,Kristina Meshelski,Affirmative Action is Not Morally Wrong,2019
GHETW-2,Anca Gheaus,Token Worries,2015
GHETW,Anca Gheaus,Token Worries,2017
BABPL,H. E. Baber,Parental Leave,
BOVAA,Luc Bovens,Affirmative Action - a Polish Example?,1994
JULTLT-2,Julia Tanner,Towards Lifting the Burden of Stereotyping,2016
PACNON,Yang Immanuel Pachankis,Nightlife on New York Subway,manuscript
