ID,Author,Title,Year
ARITBW-2,Aristotle,The Basic Works of Aristotle,1941
BARA-3,Jonathan Barnes,Aristotle,1982
BARTCC,Jonathan Barnes,The Cambridge Companion to Aristotle,1995
ACKATP,J. L. Ackrill,Aristotle the Philosopher,1981
ARIITA-2,Aristotle,Selections ; Introductions to Aristotle,1973
SORATT,Richard Sorabji,Aristotle Transformed: The Ancient Commentators and Their Influence,1990
GRIATE,William M. A. Grimaldi and W. D. Ross,Aristotelis Topica Et Sophistici Elenchi,1960
ARIANA-2,Aristotle,A New Artistotle Reader,1987
MACTVI-3,Alasdair MacIntyre,"The Very Idea of a University: Aristotle, Newman, and Us",2009
ACKEOP,J. L. Ackrill,Essays on Plato and Aristotle,2001
CRIA-7,Paolo Crivelli,Aristotle,2019
ANAACT-2,Georgios Anagnostopoulos,A Companion to Aristotle,2008
BARAAV,Jonathan Barnes,Aristotle: A Very Short Introduction,2000
BARAOA-3,Jonathan Barnes and Malcolm Schofield and Richard Sorabji,Articles on Aristotle,1975
BROAAB-8,Sarah Broadie,Aristotle and Beyond: Essays on Metaphysics and Ethics,2007
ACKANA,J. L. Ackrill,A New Aristotle Reader,1987
CLAAMS-6,Stephen R. L. Clark,Aristotle's Man: Speculations Upon Aristotelian Anthropology,1975
BREALV,Franz Brentano,Aristoteles Lehre Vom Ursprung des Menschlichen Geistes,1911
DUSA,Ronald F. Duska,Aristotle,1993
SCHNTG,Gregor Schiemann,"Natur, Technik, Geist. Kontexte der Natur Nach Aristoteles Und Descartes in Lebensweltlicher Und Subjektiver Erfahrung.",2005
OSBDBA,Catherine Osborne,Dumb Beasts and Dead Philosophers: Humanity and the Humane in Ancient Philosophy and Literature,2007
JOHDTL-3,Monte Ransome Johnson,"Democritus, the Laughing Philosopher",2024
COLAAB,Denis Collins,Aristotle and Business,1987
CRIA-8,Paolo Crivelli,Aristotle,forthcoming
BERNSA-6,Enrico Berti,Nuovi Studi Aristotelici,2004
GUITBI-2,Simone Guidi,?The Bright Initiator of Such a Great System.? Su\'{a}rez and Fonseca in Iberian Jesuit Journals (1945?1975),2023
COHRIA,S. Marc Cohen and Patricia Curd and C. D. C. Reeve,Readings in Ancient Greek Philosophy: From Thales to Aristotle,2016
Castrillejo2020-TORLPD-8,David Torrijos{-}Castrillejo,La Providencia de Los Dioses Seg\'{u}n Alejandro de Afrodisias,2020
ARIANE-3,Aristotle,Aristotle: Nicomachean Ethics,1951
ADLAFE,Mortimer Jerome Adler,Aristotle for Everybody: Difficult Thought Made Easy,1978
WELCWE,John R. Welch,Coping with Ethical Uncertainty,2017
CRIA-6,Paolo Crivelli,Aristotle,2017
BAMNEO-3,Renford Bambrough,New Essays on Plato and Aristotle,1965
ROSTCS-5,Gabriela Rossi,"The Causal Structure of Emotions in Aristotle: Hylomorphism, Causal Interaction Between Mind and Body, and Intentionality",2018
SCHDRN,Gregor Schiemann,Die Relevanz Nichttechnischer Natur. Aristoteles? Natur-Technik-Differenz in der Moderne,2014
ALLTPO-6,Donald James Allan,The Philosophy of Aristotle,1963
Castrillejo2016-TOREMD,David Torrijos{-}Castrillejo and Franz Brentano,El M\'{e}todo de Estudio de Arist\'{o}teles Seg\'{u}n Brentano,2016
BARHAD-6,Rachel Barney,"History and Dialectic (Metaphysics a 3, 983a24-4B8)",2012
GERACA,Lloyd P. Gerson,Aristotle: Critical Assessments,1999
MAYAOH-3,Robert Mayhew,Aristotle on Homer on Eels and Fish in \emph{Iliad} Book 21,2020
SHIAPL,Christopher Shields,Aristotle's Philosophical Life and Writings,2012
JATKWM,Jacek Ja\'{s}tal,Konstruktywizm W Metaetyce ? Perspektywa Arystotelesowska,2015
TORLTD-5,David Torrijos Castrillejo,Los Testimonios de Arist\'{o}teles Sobre El Nous de Anax\'{a}goras,2021
SEBFWP,Dagmar Kiesel and Sebastian Schmidt,"Freier Wille, Personale Identit\""{a}t Und Epistemische Ungewissheit",2019
Lavin2022-GOMSAT-3,Javier Gomez{-}Lavin and Justin Humphreys,"Striking at the Heart of Cognition: Aristotelian Phantasia, Working Memory, and Psychological Explanation",2022
BLAPIT,Constance Blackwell and Sachiko Kusukawa,Philosophy in the Sixteenth and Seventeenth Centuries: Conversations with Aristotle,1999
ROBDDP,Aur\'{e}lien Robert,D\'{e}sir de Pers\'{e}v\'{e}rer Dans L?\^{E}tre Et Mort Volontaire Chez Nicole Oresme,2019
GUTAHO-28,W. K. C. Guthrie,"A History of Greek Philosophy, Volume 6: Aristotle, an Encounter",1982
SOLTAT-7,Friedrich Solmsen,The Aristotelian Tradition in Ancient Rhetoric,1941
