ID,Author,Title,Year
SIMTSO-5,Herbert Alexander Simon,The Sciences of the Artificial,1969
EMMTGI,Claus Emmeche,The Garden in the Machine: The Emerging Science of Artificial Life,2021
COERRT,Mark Coeckelbergh,Robot Rights? Towards a Social-Relational Justification of Moral Consideration,2010
JAYLPF,Tyler L. Jaynes,Legal Personhood for Artificial Intelligence: Citizenship as the Exception to the Rule,2020
MLLWIM,"Vincent M\""{u}ller and Matej Hoffmann",What is Morphological Computation? On How the Body Contributes to Cognition and Control,2017
OMAKDI,Maureen A. O'Malley and Alexander Powell and Jonathan F. Davies and Jane Calvert,Knowledge-Making Distinctions in Synthetic Biology,2008
KNUSFT-3,Tarja Knuuttila and Rami Koskinen,Synthetic Fictions: Turning Imagined Biological Systems Into Concrete Ones,2020
BASTGO-3,John Basl and Ronald Sandler,"The Good of Non-Sentient Entities: Organisms, Artifacts, and Synthetic Biology",2013
BICIDL-2,Leonardo Bich and Sara Green,Is Defining Life Pointless? Operational Definitions at the Frontiers of Biology,2016
MALBCD,Christophe Malaterre and Jean{-}Fran\c{c}ois Chartier,Beyond Categorical Definitions of Life: A Data-Driven Approach to Assessing Lifeness,2019
BODTPO-3,Margaret A. Boden,The Philosophy of Artificial Life,1996
CHAHCD,David J. Chalmers,How Cartesian Dualism Might Have Been True,manuscript
SIMTDO-19,Massimiliano Simons,The Diversity of Engineering in Synthetic Biology,2020
WOLIOC-4,David Wolpert,Implications of Computer Science Theory for the Simulation Hypothesis,manuscript
LANALA-4,C. Langton and M. Boden,Artificial Life: An Overview,1997
STETAL,Luc Steels and Rodney Brooks,"The ""Artificial Life"" Route to ""Artificial Intelligence"": Building Situated Embodied Agents",1995
AOMKDI,Maureen A. O'Malley and Alexander Powell and Jonathan F. Davies and Jane Calvert,Knowledge-Making Distinctions in Synthetic Biology,2008
FROPAA,Tom Froese and Shaun Gallagher,Phenomenology and Artificial Life: Toward a Technological Supplementation of Phenomenological Methodology,2010
BODIMN,M. A. Boden,Is Metabolism Necessary?,1999
NIERRA,Ernst Niebur and Mounya Elhilali and Iyad Obeid and Justin Werfel and Mark Blanchard and Mattia Frasca and Kaushik Ghose and Constanze Hofstoetter and Giovanni Indiveri and Mark W. Tilden,"Research, Robots, and Reality: A Statement on Current Trends in Biorobotics",2001
SELBRA,Allen I. Selverston,Biomimetic Robots and Biology,2001
IJSEBP,"Tero Ij\""{a}s and Rami Koskinen",Exploring Biological Possibility Through Synthetic Biology,2021
Yanoff2009-GRNTEP,"Till Gr\""{u}ne{-}Yanoff",The Explanatory Potential of Artificial Societies,2009
KEMCAA,Sarah Kember,Cyberfeminism and Artificial Life,2003
WIEAPP,Lambert Wiesing,Artificial Presence: Philosophical Studies in Image Theory,2009
DOUITC-2,Thomas Douglas and Russell Powell and Julian Savulescu,Is the Creation of Artificial Life Morally Significant?,2013
BEDTAI,Mark Bedau,Artificial Life,2003
ZLATEO,Jordan Zlatev,"The Epigenesis of Meaning in Human Beings, and Possibly in Robots",2001
DATBEF,Edoardo Datteri and Guglielmo Tamburrini,Biorobotic Experiments for the Discovery of Biological Mechanisms,2007
LANLAL,Marc Lange,"Life, ""Artificial Life,"" and Scientific Explanation",1996
DENALA-2,Daniel C. Dennett,Artificial Life as Philosophy,manuscript
AGBMIC,Destiny Agboro,Medical Image Classification with Machine Learning Classifier,forthcoming
BEDPCA,Mark A. Bedau,Philosophical Content and Method of Artificial Life,1998
BODTIC,M. A. Boden,The Intellectual Context of Artificial Life,1996
POPALA,Elena Popa,Artificial Life and ?Nature?s Purposes?: The Question of Behavioral Autonomy,2019
BEDALO,Mark A. Bedau,"Artificial Life: Organization, Adaptation and Complexity From the Bottom Up",2003
RISGRE,Jessica Riskin,Genesis Redux: Essays in the History and Philosophy of Artificial Life,2007
EMMASR,Claus Emmeche,"A Semiotical Reflection on Biology, Living Signs and Artificial Life",1991
COPTET,Jack Copeland,"The Essential Turing: Seminal Writings in Computing, Logic, Philosophy, Artificial Intelligence, and Artificial Life: Plus the Secrets of Enigma",2004
WISGEH,M. Norton Wise,Growing Explanations: Historical Perspectives on Recent Science,2004
EMMMLA,Claus Emmeche,Modeling Life: A Note on the Semiotics of Emergence and Computation in Artificial and Natural Living Systems,forthcoming
IJSDMA,"Tero Ij\""{a}s",Design Methodologies and the Limits of the Engineering-Dominated Conception of Synthetic Biology,2018
WEBLAK,Andreas Weber and Francisco J. Varela,Life After Kant: Natural Purposes and the Autopoietic Foundations of Biological Individuality,2002
BEDTIO-2,Mark A. Bedau,Three Illustrations of Artificial Life's Working Hypothesis,unknown
DARAIA-2,Lindley Darden,Artificial Intelligence and Philosophy of Science: Reasoning by Analogy in Theory Construction,1982
CHATEO-4,David Chalmers,The Evolution of Learning: An Experiment in Genetic Connectionism,1992
CHACMP-5,David Chalmers,Connectionist Models: Proceedings of the 1990 Summer School Workshop.,1992
Bowden2013-CORSAM,Athel Cornish{-}Bowden and Gabriel Piedrafita and Federico Mor\'{a}n and Mar\'{i}a Luz C\'{a}rdenas and Francisco Montero,Simulating a Model of Metabolic Closure,2013
MANEAM,Alex Vereschagin and Mike Collins and Pete Mandik,Evolving Artificial Minds and Brains,2007
Garcia2008-PINBPE,Manuel de Pinedo{-}Garcia and Jason Noble,Beyond Persons: Extending the Personal/Subpersonal Distinction to Non-Rational Animals and Artificial Agents,2008
CLICNA,D. Cliff,Computational Neuroethology: A Provisional Manifesto,1990
MANVOR,Pete Mandik,Varieties of Representation in Evolved and Embodied Neural Networks,2003
LEOSA-2,Nam Le,Organic Selection and Social Heredity: The Original Baldwin Effect Revisited,2019
ANTTTE,Ant\^{o}nio Gomes and Ricardo Gudwin and Charbel Ni\~{n}o El{-}Hani and Jo\~{a}o Queiroz,Towards the Emergence of Meaning Processes in Computers From Peircean Semiotics,2007
OLSTOB,Eric T. Olson,The Ontological Basis of Strong Artificial Life,1997
SCHDRN,Gregor Schiemann,Die Relevanz Nichttechnischer Natur. Aristoteles? Natur-Technik-Differenz in der Moderne,2014
SCHNAN-6,Gregor Schiemann,Nanotechnology and Nature: On Two Criteria for Understanding Their Relationship,2005
MEIBAT-2,Anne Sophie Meincke,Bio-Agency and the Possibility of Artificial Agents,2018
BROALA-2,Rodney A. Brooks,Artificial Life and Real Robots,manuscript
RASCIO,Steen Rasmussen and Michael J. Raven and Gordon N. Keating and Mark A. Bedau,"Collective Intelligence of the Artificial Life Community on its Own Successes, Failures, and Future",2003
HUEALA,Simon Huesken,Artificial Life and Ethics,2014
MANSN,Pete Mandik,Synthetic Neuroethology,2002
CORTDO-8,Roberto Cordeschi,"The Discovery of the Artificial: Behavior, Mind and Machines Before and Beyond Cybernetics",2002
BENSAA,Steven A. Benner,Synthesis as a Route to Knowledge,2013
Vincent2009-BENSBA,Bernadette Bensaude{-}Vincent,Synthetic Biology as a Replica of Synthetic Chemistry? Uses and Misuses of History,2009
SWASIA,Liz Stillwaggon Swan,Synthesizing Insight: Artificial Life as Thought Experimentation in Biology,2009
DATSEI,Edoardo Datteri,Simulation Experiments in Bionics: A Regulative Methodological Perspective,2009
EMMLAA,Claus Emmeche,Life as an Abstract Phenomenon: Is Artificial Life Possible?,manuscript
CHATVM,David F. Channell,The Vital Machine: A Study of Technology and Organic Life,1991
BEDAL,Norman H. Packard and Mark A. Bedau,Artificial Life,2003
LEHTSC,Joel Lehman and Jeff Clune and Dusan Misevic and Christoph Adami and Julie Beaulieu and Peter Bentley and Bernard J. and Belson Samuel and Bryson Guillaume and M. David and Nick Cheney and Antoine Cully and Stephane Donciuex and Fred Dyer and Ellefsen C. and Feldt Kai Olav and Fischer Robert and Forrest Stephan and Fr\'{e}noy Stephanie and Gagne\'e Antoine and Goff Christian and Grabowski Leni Le and M. Laura and Babak Hodjat and Laurent Keller and Carole Knibbe and Peter Krcah and Richard Lenski and Lipson E. and MacCurdy Hod and Maestre Robert and Miikkulainen Carlos and Mitri Risto and Moriarty Sara and E. David and Jean{-}Baptiste Mouret and Anh Nguyen and Charles Ofria and Marc Parizeau and David Parsons and Robert Pennock and Punch T. and F. William and Thomas Ray and Schoenauer S. and Shulte Marc and Sims Eric and Stanley Karl and O. Kenneth and Fran\texttt{\char92}C. Cois Taddei and Danesh Tarapore and Simon Thibault and Westley Weimer and Richard Watson and Jason Yosinksi,The Surprising Creativity of Digital Evolution: A Collection of Anecdotes From the Evolutionary Computation and Artificial Life Research Communities,2018
SIMSBT-10,"Plamen L. Simeonov and Edwin Brezina and Ron Cottam and Andre\'e C. Ehresmann and Arran Gare and Ted Goranson and Jaime Gomez{-}Ramirez and Brian D. Josephson and Bruno Marchal and Koichiro Matsuno and Robert S. Root{-}?Bernstein and Otto E. R\""{o}ssler and Stanley N. Salthe and Marcin Schroeder and Bill Seaman and Pridi Siregar",Stepping Beyond the Newtonian Paradigm in Biology. Towards an Integrable Model of Life: Accelerating Discovery in the Biological Foundations of Science,2012
BODLAM,Margaret A. Boden,Life and Mind,2009
HELTWF,Stefan Helmreich,The Word for World is Computer: Simulating Second Natures in Artificial Life,2004
SHALAC-2,Bhakti Niskama Shanta,Life and Consciousness ? the Ved\={a}ntic View,2015
MERRTP,Thomas Cl\'{e}ment Mercier,Resisting the Present: Biopower in the Face of the Event (Some Notes on Monstrous Lives),2019
RIEE,Alexander Riegler,"Constructivist Artificial Life, and Beyond",1992
BALUTH,Philip Ball,Unnatural: The Heretical Idea of Making People,2011
VARPTE-2,Franck Varenne and Pierre Chaigneau and Jean Petitot and Ren\'e Doursat,Programming the Emergence in Morphogenetically Architected Complex Systems,2015
HELSSN,Stefan Helmreich,Silicon Second Nature: Culturing Artificial Life in a Digital World,1998
SIMSBT-6,"Plamen L. Simeonov and Edwin Brezina and Ron Cottam and Andre\'e C. Ehresmann and Arran Gare and Ted Goranson and Jaime Gomez{-}?{-}Ramirez and Brian D. Josephson and Bruno Marchal and Koichiro Matsuno and Robert S. Root{-}?Bernstein and Otto E. R\""{o}ssler and Stanley N. Salthe and Marcin Schroeder and Bill Seaman and Pridi Siregar",Stepping Beyond the Newtonian Paradigm in Biology. Towards an Integrable Model of Life: Accelerating Discovery in the Biological Foundations of Science,2012
GROMTM-4,Mathias Grote,Membranes to Molecular Machines: Active Matter and the Remaking of Life,2019
GAGQPO,Philippe Gagnon,The Problem of Trans-Humanism in the Light of Philosophy and Theology,2012
SIMSBT-7,"Plamen L. Simeonov and Edwin Brezina and Ron Cottam and Andre\'e C. Ehresmann and Arran Gare and Ted Goranson and Jaime Gomez{-}?{-}Ramirez and Brian D. Josephson and Bruno Marchal and Koichiro Matsuno and Robert S. Root{-}?Bernstein and Otto E. R\""{o}ssler and Stanley N. Salthe and Marcin Schroeder and Bill Seaman and Pridi Siregar",Stepping Beyond the Newtonian Paradigm in Biology. Towards an Integrable Model of Life: Accelerating Discovery in the Biological Foundations of Science,2012
ASMAAB,Stephen Asma,Ancient Animistic Beliefs Live on in Our Intimacy with Tech,2020
OSTTUO-2,Agustin Ostachuk,"The Unfolding of a New Vision of Life, Cosmos and Evolution",2020
SIMSBT-2,"Plamen L. Simeonov and Edwin Brezina and Ron Cottam and Andre\'e C. Ehresmann and Arran Gare and Ted Goranson and Jaime Gomez{-}?{-}Ramirez and Brian D. Josephson and Bruno Marchal and Koichiro Matsuno and Robert S. Root{-}?Bernstein and Otto E. R\""{o}ssler and Stanley N. Salthe and Marcin Schroeder and Bill Seaman and Pridi Siregar",Stepping Beyond the Newtonian Paradigm in Biology. Towards an Integrable Model of Life: Accelerating Discovery in the Biological Foundations of Science,2012
SKIALI,Lena Skio?ld,A Look Into Modern Working Life,2002
HAROTN-2,R. J. Harvey,"On the Nature of Programs, Simulations, and Organisms",1985
LUPNRG-2,Steven Luper,"Natural Resources, Gadgets and Artificial Life",1999
OSTTQF,Agustin Ostachuk,The Quest for a Holistic and Historical-Developmental Theory of the Organism,2019
BEDCHF,Mark A. Bedau and Richard Crandall and Michael J. Raven,Cryptographic Hash Functions Based on Alife,2009
OESFPU,Caspar Oesterheld,Formalizing Preference Utilitarianism in Physical World Models,2016
PERHWT,Erik Persson and Jessica Abbott and Christian Balkenius and Anna Cabak Redei and Klara Anna \v{C}'{a}pov\'a and Dainis Dravins and David Dun\'{e}r and Markus Gunneflo and Maria Hedlund and Mats Johansson and Anders Melin and Petter Persson,How Will the Emerging Plurality of Lives Change How We Conceive of and Relate to Life?,2019
VARTMT,Franck Varenne,The Mathematical Theory of Categories in Biology and the Concept of Natural Equivalence in Robert Rosen,2013
COEVMA,Mark Coeckelbergh,"Virtual Moral Agency, Virtual Moral Responsibility: On the Moral Significance of the Appearance, Perception, and Performance of Artificial Agents",2009
SIMSBT,"Plamen L. Simeonov and Edwin Brezina and Ron Cottam and Andre\'e C. Ehresmann and Arran Gare and Ted Goranson and Jaime Gomez{-}?{-}Ramirez and Brian D. Josephson and Bruno Marchal and Koichiro Matsuno and Robert S. Root{-}?Bernstein and Otto E. R\""{o}ssler and Stanley N. Salthe and Marcin Schroeder and Bill Seaman and Pridi Siregar",Stepping Beyond the Newtonian Paradigm in Biology. Towards an Integrable Model of Life: Accelerating Discovery in the Biological Foundations of Science,2012
EMMILA,Claus Emmeche,Is Life as a Multiverse Phenomenon?,manuscript
BEDALI,Mark Bedau,Artificial Life Illuminates Human Hyper-Creativity,manuscript
DAIALE,Gordon Dai and Weijia Zhang and Jinhan Li and Siqi Yang and Chidera Ibe and Srihas Rao and Arthur Caetano and Misha Sra,Artificial Leviathan: Exploring Social Evolution of Llm Agents Through the Lens of Hobbesian Social Contract Theory,manuscript
CESRWS,Solar Cesc,Restful Web Services for Scalable Data Mining,forthcoming
Perez2009-PRETEC,Alberto Molina{-}P\'{e}rez,Techniques Et Concepts du Vivant En Biologie Synth\'{e}tique,2009
MLLROA-3,Vincent C. Muller,Risks of Artificial Intelligence,2015
Anzaldo2011-ARASLW,Armando Aranda{-}Anzaldo,"Synthetic Life, What for and What Future?",2011
MIRTAL,Eduardo R. Miranda,The Artificial Life Route to the Origins of Music,1999
JAMSBA,Matt James,Synthetic Biology and Morality: Artificial Life and the Bounds of Nature,2015
SCHNAA-4,Gregor Schiemann,Naturalness and Artificiality in Bioethics,2012
MENTTC-2,Christophe Menant,"Turing Test, Chinese Room Argument, Symbol Grounding Problem. Meanings in Artificial Agents (Apa 2013)",2013
LANALI,C.G. Langton,Artificial Life Iii: Proceedings of the Workshop on Artificial Life,1994
USPEMA,Ivana Uspenski and Jelena Guga,Embodying Metaverse as Artificial Life: At the Intersection of Media and 4e Cognition Theories,2022
FLEEOE,Jeffrey A. Fletcher and Mark A. Bedau and Martin Zwick,Effect of Environmental Structure on Evolutionary Adaptation,1998
SAWSEA-3,R. Keith Sawyer,Social Explanation and Computational Simulation,2004
MOUMAS,J.{-}P. Moulin,Modifiable Automata Self-Modifying Automata,1992
CANCIA,Angelo Cangelosi and Domenico Parisi,Concepts in Artificial Organisms,1998
NEUHDI,Yair Neuman,How Deep is the Surface? A Theoretical Framework for Understanding Meaning-Making in Living Systems,2003
