ID,Author,Title,Year
NGUTAO-8,C. Thi Nguyen,The Arts of Action,2020
IRMTRR,Nurbay Irmak,Type Realism Reconsidered,2023
WALRAA-2,Lee Walters,Repeatable Artworks as Created Types,2013
ROHAAH,Guy Rohrbaugh,Artworks as Historical Individuals,2003
TROTCW,Kelly Trogdon and Paisley Nathan Livingston,The Complete Work,2014
IRMAAC,Nurbay Irmak,Authorship and Creation,2021
EVNROA,Simon J. Evnine,Ready-Mades: Ontology and Aesthetics,2013
ABEAWI,Catharine Abell,Art: What It is and Why It Matters,2011
ABEIIA,Catharine Abell,"Ii--Genre, Interpretation and Evaluation",2015
DODAIT-2,Julian Dodd,"Adventures in the Metaontology of Art: Local Descriptivism, Artefacts and Dreamcatchers",2013
PASAAA-5,Asya Passinsky,"Artifacts, Artworks, and Social Objects",2024
XHIIDG,Michel{-}Antoine Xhignesse,Imagining Dinosaurs,forthcoming
Castrillejo2024-TORPRO-3,David Torrijos{-}Castrillejo,Philosophical Reflection on Beauty in the Late Middle Ages: The Case of Jean Gerson,2024
IRVTOD,Sherri Irvin,The Ontological Diversity of Visual Artworks,2008
DODDTD,J. Dodd,Defending the Discovery Model in the Ontology of Art: A Reply to Amie Thomasson on the Qua Problem,2012
STEIAF-4,Nils{-}Hennes Stear,Imaginative and Fictionality Failure: A Normative Approach,2015
IRVAAA,Sherri Irvin,Appropriation and Authorship in Contemporary Art,2005
STEMAR-6,Nils{-}Hennes Stear,Meriting a Response: The Paradox of Seductive Artworks,2019
LAMWAO-3,Peter Lamarque,Work and Object: Explorations in the Metaphysics of Art,2010
ROHPAC-2,Guy Rohrbaugh,Psychologism and Completeness in the Arts,2017
PUYDAT,Nemesio G. C. Puy,Descriptivism and the Determination Thesis: An Untenable Marriage in the Metaontology of Art,2022
DANAAR,Arthur C. Danto,Artworks and Real Things,1973
SIMASE-2,Vid Simoniti,Assessing Socially Engaged Art,2018
MAYTEO-3,Patrick Maynard,The Engine of Visualization: Thinking Through Photography,1997
RADMTM,Marietta Radomska,"Mourning the More-Than-Human: Somatechnics of Environmental Violence, Ethical Imaginaries, and Arts of Eco-Grief",2024
MALTOA,Evan Malone,The Ontology and Aesthetics of Genre,2024
TROACA-2,Kelly Trogdon and Paisley Nathan Livingston,Artwork Completion: A Response to Gover,2015
WITCCA-2,Ryan Wittingslow,Critical Contextual Aestheticism,forthcoming
ROHICH,Guy Rohrbaugh,I Could Have Done That,2005
DILTDC-2,John Dilworth,The Double Content of Art,2005
MAYDDT,Patrick Maynard,Drawing Distinctions: The Varieties of Graphic Expression,2005
LAEG,Brian Laetz and Dominic McIver Lopes,Genre,2008
NGUTRW,C. Thi Nguyen,The Right Way to Play a Game,2019
DOSHNT,Miguel F. Dos Santos,How (Not) to Be a Buck-Passer About Art,forthcoming
UIDMAO-2,Christy Mag Uidhir,Minimal Authorship (of Sorts),2011
CHRFAF,Christy Mag Uidhir,Failed-Art and Failed Art-Theory,2010
IRVIRI,Sherri Irvin,Immaterial: Rules in Contemporary Art,2022
BARCAT-34,Christopher Bartel,"Computer Art, Technology, and the Medium",2022
EARCAC-7,Christopher Earley,Co-Producing Art's Cognitive Value,forthcoming
DECTMO-3,Rafael De Clercq,The Metaphysics of Art Restoration,2013
IRMTMW,Nurbay Irmak,The Mess We Make: On the Metaphysics of Artifact Kinds,forthcoming
WYNDAP,Andrew Wynn Owen,Does a Plausible Construal of Aesthetic Value Give Us Reason to Emphasize Some Aesthetic Practices Over Others?,2023
HICACA,Darren Hudson Hick,"Authorship, Co-Authorship, and Multiple Authorship",2014
GOVAAA,K. E. Gover,Ambivalent Agency: A Response to Trogdon and Livingston on Artwork Completion,2015
STETSP-5,Jakub Stejskal,The Substitution Principle Revisited,2018
ROHMOP,Guy Rohrbaugh,Must Ontological Pragmatism Be Self-Defeating?,2013
LOPAWA,Dominic McIver Lopes,Art Without ?Art?,2007
ERKOTN,Ekin Erkan,On the ?Naturalist? Critique of Clement Greenberg Vide Kant: A Mistaken \& Handed-Down Critique,2023
RAGMAC-2,Francesco Ragazzi,Mapmaking and Cartography as Philosophical Matters. An Introduction,2024
MAGAM,Christy Mag Uidhir,"Art, Metaphysics, \& the Paradox of Standards",2013
PRESOO,Dominic Preston,Some Ontology of Interactive Art,2014
ROSDA,Marcus Rossberg,Destroying Artworks,2013
SCHIPA-11,Markus Schrenk,Is Proprioceptive Art Possible?,2014
SMIPOA-3,Barry Smith,Practices of Art,1988
RAVWA,Matteo Ravasio,What 4?33? Also Is: A Response to Dodd,2019
DILART,John Dilworth,A Representational Theory of Artefacts and Artworks,2001
BANCTW-2,Katerina Bantinaki,Commissioning the Artwork: From Singular Authorship to Collective Creatorship,2016
KAUNCA,Daniel A. Kaufman,Normative Criticism and the Objective Value of Artworks,2002
CRAPAA-3,Wesley D. Cray,Psychologism About Artistic Plans: A Response to Rohrbaugh,2018
BENEWA-2,Jane Bennett,Encounters with an Art-Thing,2015
IRMAWA,Nurbay Irmak,Artifacts Without Authors: Generative Artificial Intelligence and the Question of Authorship,2024
NEIRTO-3,A. Neill and A. Ridley,Relational Theories of Art: The History of an Error,2012
KIVWRH,P. Kivy,What Really Happened in the Eighteenth Century: The 'Modern System' Re-Examined,2012
KEMTWO,John Kemp,The Work of Art and the Artist's Intentions,1964
MIKDTP-2,Elz\.e Sigut\.e Mikalonyt\.e and Cl\'{e}ment Canonne,Does the Phineas Gage Effect Extend to Aesthetic Value?,forthcoming
LIVWAW,Paisley Livingston,When a Work is Finished: A Response to Darren Hudson Hick,2008
MAEPAA,Hans Maes,Pornographic Art and the Aesthetics of Pornography,2013
MAGAA-3,Christy Mag Uidhir,Art \& Art-Attempts,2013
SOACRA,Marzia Soavi and Massimiliano Carrara,"Copies, Replicas, and Counterfeits of Artworks and Artefacts",2010
SPAWAH,Francis Sparshott,Why Artworks Have No Right to Have Rights,1983
ISETWO,Gary Iseminger,The Work of Art as Artifact,1973
STEA-7,Robert Stecker,Artworks,2001
BACCMA-2,Sondra Bacharach and Deborah Tollefsen,"Co-Authorship, Multiple Authorship, and Posthumous Authorship: A Reply to Hick",2015
STEAMD-4,Robert Stecker,"Artworks: Meaning, Definition, Value",1996
BENTLO-34,Jiri Benovsky,The Limits of Art: On Borderline Cases of Artworks and Their Aesthetic Properties,2020
CALFDC,Elisa Caldarola,"Filosofia Dell'arte Contemporanea: Installazioni, Siti, Oggetti",2020
JOHMAA-2,Eileen John,"Meals, Art, and Artistic Value",2014
ALITPA,Alexey Aliyev,The Proportionality Argument and the Problem of Widespread Causal Overdetermination,2020
LOPSSA,Dominic Mciver Lopes,Shikinen Sengu and the Ontology of Architecture in Japan,2007
KANIDO-2,A. Kania,In Defence of Higher-Order Musical Ontology: A Reply to Lee B. Brown,2012
