ID,Author,Title,Year
ZAHFWI,Dan Zahavi and Uriah Kriegel,For-Me-Ness: What It is and What It is Not,2016
BILMSO,Alexandre Billon,Making Sense of the Cotard Syndrome: Insights From the Study of Depersonalisation,2016
BECOPC,Jacob Beck,On Perceptual Confidence and ?Completely Trusting Your Experience?,2019
BILDCE,Alexandre Billon,Does Consciousness Entail Subjectivity? The Puzzle of Thought Insertion,2013
BECTCO-18,Ori Beck,Two Conceptions of Phenomenology,2019
BILBS-3,Alexandre Billon,Basic Self-Awareness,2017
CHUIG,Elijah Chudnoff,Intellectual Gestalts,2013
JACPNA-2,Jacob Beck and William Languedoc,Perceptual Noise and the Bell Curve Objection,2023
JOLAHD,Jacob Jolij,A Higher Dimension of Consciousness: Constructing an Empirically Falsifiable Panpsychist Model of Consciousness,manuscript
NESTUI,Anders Nes,Thematic Unity in the Phenomenology of Thinking,2012
MIRPEI,Lisa Miracchi,Perspectival Externalism is the Antidote to Radical Skepticism,2017
CHUIS,Elijah Chudnoff,Inferential Seemings,forthcoming
RUPECA-3,Robert D. Rupert,"Embodiment, Consciousness, and Neurophenomenology: Embodied Cognitive Science Puts the (First) Person in its Place",2015
LOPDOA-2,Azenet L. Lopez,Degrees of Attention and Degrees of Consciousness,2023
KAROJM,Biplab Karak,What If We Seem to Seem and Not Seem? Estimating the Unreasonable Price of Illusionism,2024
BASUTH-2,Ren\'e Baston and Benedict Kenyah{-}Damptey,Unintentional Trolling: How Subjects Express Their Prejudices Through Made-Up Stories,2020
SOSCOT,Ernest Sosa,Consciousness of the Self and the Present,1983
SHAPCA-7,Itay Shani,"Pure Consciousness as the Ground of the Given: Or, Why There is No Perception Without Background Reception",2024
NIXHC,Gregory Nixon,Heightened Consciousness,2016
FINCTC-4,Sascha Benjamin Fink,Commentary: The Concept of a Bewusstseinskultur,2018
BALPNA-2,Katalin Balog,"Psychology, Neuroscience and the Consciousness Dilemma",manuscript
SHECCE-2,Joshua Shepherd,Conscious Cognitive Effort in Cognitive Control,forthcoming
ROBCRO-9,de S\'a Pereira Roberto Hor\'{a}cio,Causal Role of Phenomenal Consciousness (1st edition),2022
MIHIAA,Jakub Mih\'{a}lik,Inner Awareness as a Mark of the Mental,2022
BRIWIS,Bruya Brian,What is Self-Consciousness?,2012
WILTAT-32,Tine Wilde,The Artistic Turn,2012
PERFEO,Contzen Pereira and J. Shashi Kiran Reddy,First-Hand Experience of the Self Through Imagination,2016
WILDAW,Tine Wilde,De Artistieke Wending,2012
DEBMTI,Ulrich de Balbian,(Meta-Philosophy) There is No Thing Such as Mind/Consciousness,forthcoming
WILRRW,Tine Wilde,"Remodel[L]Ing Reality. Wittgenstein's \""{U}bersichtliche Darstellung \& the Phenomenon of Installation in Visual Art",2008
KLAOGH,Tim Klaassen,On Gilbert Harman's the Intrisic Quality of Experience,manuscript
ULKMC,de Balbian Ulklrich,"Mind? \& ?Consciousness Thinking,? ?Sensation,? ?Understanding,? ?Reason,? ?Argumentation,? ?Emotions,? ?Experience,? ?Wisdom",2017
BALCON,Katalin Balog,"Comments on Ned Block's Target Article ?Consciousness, Accessibility, and the Mesh Between Psychology and Neuroscience?",2007
