ID,Author,Title,Year
COLSOT-3,Giovanna Colombetti and Joel Krueger,Scaffoldings of the Affective Mind,2015
KRUEE,Joel Krueger and Thomas Szanto,Extended Emotions,2016
KRUVOE,Joel Krueger,Varieties of Extended Emotions,2014
GALAIA-9,Francisco Gallegos,Affective Injustice and Fundamental Affective Goods,2021
MLLHTT,"Jean Moritz M\""{u}ller",How (Not) to Think of Emotions as Evaluative Attitudes,2017
MILGCB,Becky Millar and Pilar Lopez{-}Cantero,"Grief, Continuing Bonds, and Unreciprocated Love",2022
WONOBA,Monique Wonderly,On Being Attached,2016
ELPIBO,Andreas Elpidorou,Is Boredom One or Many? A Functional Solution to the Problem of Heterogeneity,2020
FRIWFI-2,James Fritz,Why Fittingness is Only Sometimes Demand-Like,2023
RICAEI-5,Louise Richardson,Absence Experience in Grief,2022
MLLTSO-5,"Jean Moritz M\""{u}ller",The Spontaneity of Emotion,2021
DAZRMA-2,Rodrigo D\'{i}az and Florian Cova,"Reactance, Morality, and Disgust: The Relationship Between Affective Dispositions and Compliance with Official Health Recommendations During the Covid-19 Pandemic",2021
COLAV,Giovanna Colombetti,Appraising Valence,2005
TERITP-3,Florian Cova and Fabrice Teroni,Is the Paradox of Fiction Soluble in Psychology?,2016
KRUEAT-3,Joel Krueger,Emotions and the Social Niche,2014
GORTPO,Robert M. Gordon,The Passivity of Emotions,1986
GOLTOH-2,Peter Goldie,The Oxford Handbook of Philosophy of Emotion,2009
JGELIM,"Christoph J\""{a}ger and Eva B\""{a}nninger{-}Huber",Looking Into Meta-Emotions,2015
ELPJAP-2,Andreas Elpidorou,Jadedness: A Philosophical Analysis,2023
TULDTP,Katherine Tullmann and Wesley Buckwalter,Does the Paradox of Fiction Exist?,2014
LAMEER,John A. Lambie,"Emotion Experience, Rational Action, and Self-Knowledge",2009
FAUFAV,Luc Faucher and Christine Tappolet,Facts and Values in Emotional Plasticity,2008
CAREGO-3,Mary Carman,Emotionally Guiding Our Actions,2018
KRUDRO,Joel Krueger,Dewey's Rejection of the Emotion/Expression Distinction,2014
CARHED-2,Mary Carman,How Emotions Do Not Provide Reasons to Act,2018
SOUET,Ronald De Sousa and Adam Morton,Emotional Truth,2002
DALOMW,Tim Dalgleish,Once More with Feeling: The Role of Emotion in Self-Deception,1997
MCLNNA,Neil McLaughlin,"Nazism, Nationalism, and the Sociology of Emotions: Escape From Freedom Revisited",1996
TEREC-2,Fabrice Teroni,Emotionally Charged: The Puzzle of Affective Valence,2011
KOCEA,Philip J. Koch,Emotional Ambivalence,1987
HERDCA,Larry A. Herzberg,"Direction, Causation, and Appraisal Theories of Emotion",2009
ZAMATO-2,Edoardo Zamuner,A Theory of Affect Perception,2011
SRETIO-3,Sanja Sre\'{c}kovi\'c,Transitive Inference Over Affective Representations in Non-Human Animals,forthcoming
MATMTA-5,Benjamin Matheson,More Than a Feeling: The Communicative Function of Regret,2017
STAAER-4,Luke Stark,"Albert Ellis, Rational Therapy and the Media of ?Modern? Emotional Management",2017
TEREMM-3,Fabrice Teroni,"Emotions, Me, Myself and I",2016
BLATAO-3,David L. Blank,The Arousal of Emotion in Plato's Dialogues,1993
TERLPD-7,Florian Cova and Fabrice Teroni,Le Paradoxe de la Fiction: Le Retour,2015
MCREEA,Emily McRae,"Emotions, Ethics and Choice: Lessons From Tsongkhapa",2012
ADAHAT,Maria Magoula Adamos,How Are the Cognitive and Non-Cognitive Aspects of Emotion Related?,2002
LEBSTA,M. Lebar,"Simulation, Theory, and Emotion",2001
CUNGA,Anthony Cunningham,Great Anger,2005
BILAFC,Bill Wringe,Ambivalence for Cognitivists: A Lesson From Chrysippus?,2017
MINELA,Fr\'{e}d\'{e}ric Minner,"Emotions, Language and the (Un-)Making of the Social World",2019
GOLCPA,Irwin Goldstein,Cognitive Pleasure and Distress,1981
BROTEO-82,Chad Brockman,The Elements of Emotion,2017
