ID,Author,Title,Year
HAWTOA,Peter Hawke,Theories of Aboutness,2018
FLOISI-2,Luciano Floridi,Is Semantic Information Meaningful Data?,2007
MARMAI,Ruth Barcan Marcus,Modalities and Intensional Languages,1961
SPEPMA,Dan Sperber and Deirdre Wilson,"Pragmatics, Modularity and Mind-Reading",2002
WHIWIT-7,Daniel Whiting,What is the Normativity of Meaning?,2016
NOWSVS-2,Ethan Nowak,"Sociolinguistic Variation, Slurs, and Speech Acts",forthcoming
FAUOTA,Paul Faulkner,On Telling and Trusting,2007
ARVTWC,Marcus Arvan,"Trans Women, Cis Women, Alien Women, and Robot Women Are Women: They Are All (Simply) Adults Gendered Female",2023
HJOLPM,Ole Thomassen Hjortland,"Logical Pluralism, Meaning-Variance, and Verbal Disputes",2013
REIMC,Indrek Reiland,Meaning Change,2023
PINMMA,Guillermo Del Pinal,"Meaning, Modulation, and Context: A Multidimensional Semantics for Truth-Conditional Pragmatics",2018
WHIIMF-2,Daniel Whiting,Is Meaning Fraught with Ought?,2009
HAWACA-4,John Hawthorne and Ofra Magidor,"Assertion, Context, and Epistemic Accessibility",2009
SANTMO-18,Thorsten Sander,Two Misconstruals of Frege?s Theory of Colouring,2019
VICCAA-3,Agust\'{i}n Vicente,Chomskyan Arguments Against Truth-Conditional Semantics Based on Variability and Co-Predication,2019
ARMCBC,Josh Armstrong,Communication Before Communicative Intentions,2021
SPEWWW,Jeff Speaks,What's Wrong with Semantic Theories Which Make No Use of Propositions?,2014
DONSRD,Keith S. Donnellan,"Speaker Reference, Descriptions, and Anaphoria",1979
SULMRA-8,Olivia Sultanescu,"Meaning, Rationality, and Guidance",2023
GBITV,"Sebastian G\""{a}b",Ineffability: The Very Concept,2020
DELTLO-12,Guillermo Del Pinal,"The Logicality of Language: A New Take on Triviality, ?Ungrammaticality?, and Logical Form",2017
BURMNE-2,Alexis Burgess and Brett Sherman,Metasemantics: New Essays on the Foundations of Meaning,2014
NESOWW,Anders Nes,On What We Experience When We Hear People Speak,2016
PINPAC-4,Guillermo Del Pinal,Prototypes as Compositional Components of Concepts,2016
STRMUA,Barry Stroud,"Meaning, Understanding, and Practice: Philosophical Essays",2000
NESTSO-2,Anders Nes,The Sense of Natural Meaning in Conscious Inference,2015
CEPEI,Bianca Cepollaro and Dan Zeman,Editors? Introduction: The Challenge From Non-Derogatory Uses of Slurs,2020
REISGA-2,Indrek Reiland,Squid Games and the Lusory Attitude,2022
LEDALM,Harvey Lederman and Kyle Mahowald,"Are Language Models More Like Libraries or Like Librarians? Bibliotechnism, the Novel Reference Problem, and the Attitudes of Llms",forthcoming
BASPE-3,Itai Bassi and Guillermo Del Pinal and Uli Sauerland,Presuppositional Exhaustification,2021
LEPWIL-2,Ernie Lepore and Kirk Ludwig,What is Logical Form?,2002
SILEBA-2,Alex Silk,Expectation Biases and Context Management with Negative Polar Questions,2020
Wyatt2020-POPHF,Mihaela Popa{-}Wyatt,Hyperbolic Figures,2020
LUDSFN,Kirk Ludwig and Dan Boisvert,Semantics for Non-Declaratives,2005
LEPWIL,Ernest Lepore and Kirk Ludwig,What is Logical Form?,2002
WRITOM,Crispin Wright,Theories of Meaning and Speakers' Knowledge,2010
STOIAV,Una Stojni\'c and Ernie Lepore,Inescapable Articulations: Vessels of Lexical Effects,2021
BARIAT-11,Stephen J. Barker and Mihaela Popa{-}Wyatt,Irony and the Dogma of Force and Sense,2015
MOSSBF-2,Marcin Mostowski and Jakub Szymanik,Semantic Bounds for Everyday Language,2012
QUE-2,Jo\~{a}o Queiroz and Floyd Merrell,Semiosis and Pragmatism: Toward a Dynamic Concept of Meaning,2006
