ID,Author,Title,Year
HOPPIA-7,Robert Hopkins,"Picture, Image and Experience: A Philosophical Inquiry",1998
FARPDI,Matt Farr,Perceiving Direction in Directionless Time,2023
STECPA-12,Steven Gross,Cognitive Penetration and Attention,2017
MACTRB-6,Fiona Macpherson,The Relationship Between Cognitive Penetration and Predictive Coding,2017
CHEPCA-2,Tony Cheng,Post-Perceptual Confidence and Supervaluative Matching Profile,2022
MEHTFO-6,Neil Mehta,The Fragmentation of Phenomenal Character,2021
RENVSW,Ronald A. Rensink,Visual Sensing Without Seeing,2004
ALMTAA,"Jan Alm\""{a}ng",Tense as a Feature of Perceptual Content,2014
KRUEMC,Joel Krueger,Enacting Musical Content,2011
MACTSO-22,Fiona Macpherson,The Space of Sensory Modalities,2014
Segal2012-AGAROL,Reshef Agam{-}Segal,Re?ecting on Language From ?Sideways-On?: Preparatory and Non-Preparatory Aspects-Seeing,2012
BOWDWV,Matt E. M. Bower,Do We Visually Experience Objects? Occluded Parts?,2021
ZAMATO-2,Edoardo Zamuner,A Theory of Affect Perception,2011
OCAES,Casey O?Callaghan,Experiencing Speech,2010
RENTPO-14,Ronald A. Rensink and Gustav Kuhn,The Possibility of a Science of Magic,2015
CHIWSA-2,William Child,"Wittgenstein, Seeing-as, and Novelty",2015
SCHOCS-3,Gregor Schiemann,One Cognitive Style Among Others. Towards a Phenomenology of the Lifeworld and of Other Experiences,2014
DEHPAT-3,Daniel D. De Haan,"Perception and the Vis Cogitativa: A Thomistic Analysis of Aspectual, Actional, and Affectional Percepts",2014
Segal2012-AGAHTI,Reshef Agam{-}Segal,How to Investigate the Grammar of Aspect- Perception: A Question in Wittgensteinian Method,2012
ALETSO-19,Billon Alexandre,The Sense of Existence,2022
OCAAIA,Casey O'Callaghan,Audible Independence and Binding,2013
MAZMPI,Glen A. Mazis,"Merleau Ponty, Inhabitation and the Emotions",1989
ARAEIY-3,Alejandro Arango,"Expresi\'{o}n, Intersubjetividad y Mundo Perceptual",2019
GRAHTT,Pawe\l Grabarczyk,How to Talk About Visual Perception? The Case of the Duck / Rabbit,2014
SCHHDL,Gregor Schiemann,"Ph\""{a}nomenologie der Lebenswelt: Dimensionen Nichtwissenschaftlicher Erfahrung",2008
WILTAT-32,Tine Wilde,The Artistic Turn,2012
SCHEEN,Gregor Schiemann,"Ein Erkenntnisstil Neben Anderen. Zur Ph\""{a}nomenologie Lebensweltlicher Und Nicht Lebensweltlicher Erfahrung",2007
DINETI,Janette Dinishak,Embracing the in-Betweenness of Aspect-Perception's Normative Dimensions,2022
COHOTL-2,Jonathan Cohen,On the Limitations of Blind Tasting,manuscript
LEDL,Jason Leddington,Look-Blindness,2012
VZQLOC,Juan V\'{a}zquez,La Observaci\'{o}n Cient\'{i}fica En El Proceso de Contrastaci\'{o}n de Hip\'{o}tesis y Teor\'{i}as (Scientific Observation in the Process of Testing Hypotheses and Theories),2004
STOT,Daniel Stoljar,Transparency,2009
PIEMCE,Henry Pietersma,Merleau-Ponty: Critical Essays,1989
MOSSAT-5,Paul Moser,Space-Perception and the Philosophy of Sciencepatrick A. Heelan,1989
HAASID,Johannes Haag,"Sinnliche Ideen. Descartes \""{U}ber Sinnliche Und Begriffliche Aspekte der Wahrnehmung",2008
WILSS-8,Tine Wilde,Soul Space,2019
TOBTEO-4,Endres Tobias,The Elasticity of Perception: Undermining the (Non-)Conceptualism Debate,2023
KLANPT,Tim Klaassen,Nature's Providence: The Representational Role of Vision,manuscript
BRICRO,Ingar Brinck,Critical Review of John Campbell: Reference and Consciousness,2005
RICICW,Lee C. Rice,"""In Contact with the Physical World,"" by John Pennycuick",1972
