ID,Author,Title,Year
SOABRT,Scott Soames,Beyond Rigidity: The Unfinished Semantic Agenda of Naming and Necessity,2002
Torrente2019-GOMRTR,Mario Gomez{-}Torrente,Roads to Reference: An Essay on Reference Fixing in Natural Language,2019
Garb2015-ARMPAP-3,Bradley Armour{-}Garb and James A. Woodbridge,Pretense and Pathology: Philosophical Fictionalism and its Applications,2015
ARVTWC,Marcus Arvan,"Trans Women, Cis Women, Alien Women, and Robot Women Are Women: They Are All (Simply) Adults Gendered Female",2023
BREAR,Wylie Breckenridge and Ofra Magidor,Arbitrary Reference,2012
PINCAM-2,N. \'{A}ngel Pinillos,Coreference and Meaning,2011
DELBSA-5,Laura Delgado,Between Singularity and Generality: The Semantic Life of Proper Names,2019
STOCAC-7,Una Stojni\'c,Context and Coherence: The Logic and Grammar of Prominence,2021
RADADO,Alex Radulescu,A Defence of Intentionalism About Demonstratives,2019
BURDCR,Tyler Burge,"Demonstrative Constructions, Reference, and Truth",1974
BURMNE-2,Alexis Burgess and Brett Sherman,Metasemantics: New Essays on the Foundations of Meaning,2014
LEGNSA,Justina Diaz Legaspe,Normalizing Slurs and Out-Group Slurs: The Case of Referential Restriction,2018
JONAHS-2,Nicholas K. Jones,A Higher-Order Solution to the Problem of the Concept Horse,2016
OLIFIN,Irene Olivero,Function is Not Enough,2019
BUCRUA-2,Ray Buchanan,"Reference, Understanding, and Communication",2013
BACPTR,Kent Bach,Paving the Road to Reference,1992
LAMRAF,Fabio Lampert,Rigidity and Factivity,forthcoming
CAPAWT,Herman Cappelen and Joshua Dever,Acting Without Me: Corporate Agency and the First Person Perspective,2021
JAMTIO-7,Steven James Bartlett,The Idea of a Metalogic of Reference,1976
SIMMAS-4,Ori Simchen,Metasemantics and Singular Reference,2017
LIHTIF,Franck Lihoreau,Truth in Fiction,2010
BURSAT-3,Tyler Burge,Self-Reference and Translation,1978
INARGT,Ilhan Inan,Rigid General Terms and Essential Predicates,2008
Skardowska2017-WYBLCO,Urszula Wybraniec{-}Skardowska,Logical Conceptualization of Knowledge on the Notion of Language Communication,2017
BARRAS,Steven James Bartlett,Reflexivity: A Source-Book in Self-Reference,1992
GOLIPB,Irwin Goldstein,"Intersubjective Properties by Which We Specify Pain, Pleasure, and Other Kinds of Mental States",2000
TorrenteManuscript-GOMRAN,Mario Gomez{-}Torrente,Rigidity and Necessary Application,manuscript
BARMSA-2,Edison Barrios,Meaning Shift and the Purity of 'I',2013
TEXSAS,Mark Textor,Samples as Symbols,2008
BROWCN,Berit Brogaard,What Can Neuroscience Tell Us About Reference?,2019
HORTI-2,Chien{-}Hsing Ho,Resolving the Ineffability Paradox,2015
VISTSA-2,Cosmin Visan,The Self-Referential Aspect of Consciousness,2017
RECLPP,Francois Recanati,Le Pr\'{e}sent \'{E}pistolaire: Une Perspective Cognitive,1995
MARTFA-17,Genoveva Mart\'i and Lorena Ram\'{i}rez{-}Lude\~{n}a,"Tolerance, Flexibility and the Application of Kind Terms",2018
Carpintero2020-GARADA-6,Manuel Garc\'{i}a{-}Carpintero,Anaphoric Dependence and Logical Form,2020
Carpintero2000-GARUNS-3,Manuel Garc\'{i}a{-}Carpintero,Una Nueva Soluci\'{o}n a la Paradoja de Cartwright,2000
BELWIR,J. M. Bell,What is Referential Opacity?,1973
MALTCA-10,Fintan Mallory,The Case Against Linguistic Palaeontology,2020
BEZMSR-2,Anne Bezuidenhout,Metaphorical Singular Reference. The Role of Enriched Composition in Reference Resolution,2007
Carpintero2000-GARFSA-3,Manuel Garc\'{i}a{-}Carpintero,Fregean Sense and the Proper Function of Assertion: Comments on Textor,2000
CAPREA,Herman Cappelen and Douglas G. Winblad,"""Reference"" Externalized and the Role of Intuitions in Semantic Theory",1999
HERWMN,Shawn Hernandez and N. G. Laskowski,What Makes Normative Concepts Normative,forthcoming
LPEFPD,Dan L\'{o}pez De Sa,Flexible Property Designators,2006
Skardowska2020-WYBWIT,Urszula Wybraniec{-}Skardowska,What is the Sense in Logic and Philosophy of Language,2020
SMIAAS-13,J. P. Smit and Asbj\o{}rn Steglich{-}Petersen,Anaphora and Semantic Innocence,2010
PITART,David Pitt,A Return to Simple Sentences,2021
GROCLA-2,Arnold Groh,"Culture, Language and Thought: Field Studies on Colour Concepts",2016
LEGWAD,Catherine Legg,What Achilles Did and the Tortoise Wouldn't,manuscript
MCCESF-2,Mark McCullagh,Explaining Substitution Failures,2023
VARSS,Achille C. Varzi,Self-Reference Self-Explained,2004
RIERBP-2,Michael Rieppel,Reference by Proxy,2022
MUSC,Reinhard Muskens,Coreference,1993
Torrente2020-GOMODA,Mario G\'{o}mez{-}Torrente,On Descriptivism and Natural Kind Terms. Reply to Fern\'{a}ndez Moreno,2020
RIEQP,Michael Rieppel,Quinean Predicativism,2020
GOLLTW,Irwin Goldstein,Learning the Word ?Toothache',1985
MARIPS-2,Tomas Marvan,"Interpretability, Perceptual Sensibilities and Triangulation",2002
HANNIW-2,Tobias Hansson Wahlberg,Names Introduced with the Help of Unsatisfied Sortal Predicates,2010
SANTTA,David H. Sanford,The Truth About Neptune and the Seamlessness of Truth,1990
FORSAI-5,Luca Forgione,Self-Consciousness and Indexicality. The Ubiquity of the Self,2012
BAURLT,Pierre Baumann,Reevaluando la Tesis Kripke-Putnam,2013
KUCANT-2,John{-}Michael Kuczynski,A Non-Russellian Treatment of the Referential-Attributive Distinction,2004
PALKF,Yourgrau Palle,Kripke?s Frege,2012
FULCAM-2,Joseph S. Fulda,"Computer-Generated Art, Music, and Literature: Philosophical Conundrums",1993
PELRAM,Alik Pelman,Reference and Modality: A Theory of Intensions,2007
OSMGFO,Salah Osman,"Gottlob Frege: On Sense and Reference (Reading, Translation Into Arabic and Comment)",2016
FINRMT,Joshua Finnell,Records Management Theory's Dilemma: What is a Record?,2011
Reutte1978-GUETAM,Guenther{-}Reutte and Guenther,Translation and Meaning,1978
MITRAA-2,Enakshi Ray Mitra,Reference as Action - Space and Time in Later Wittgenstein,2019
FREABE-5,Fredrik Haraldsen,"A. Bianchi (Ed.), on Reference",2017
