ID,Author,Title,Year
CAMRAC,John Campbell,Reference and Consciousness,2002
Dunn2019-QUIPP-3,Jake Quilty{-}Dunn,Perceptual Pluralism,2019
DICFR,Imogen Dickie,Fixing Reference,2015
NANPCA,Bence Nanay,Perceptual Content and the Content of Mental Imagery,2015
WILSOO-3,James Williams,Stand Out of Our Light: Freedom and Resistance in the Attention Economy,2018
MOLAIC-2,Christopher Mole,Attention is Cognitive Unison: An Essay in Philosophical Psychology,2011
CASIPM,Laurenz Casser and Sam Clarke,Is Pain Modular?,2023
WUSUT,Wayne Wu,Shaking Up the Mind?s Ground Floor: The Cognitive Penetration of Visual Attention,2017
Croix2022-SAIRAW,Catharine Saint{-}Croix,Rumination and Wronging: The Role of Attention in Epistemic Morality,2022
Dunn2020-QUIAAE,Jake Quilty{-}Dunn,Attention and Encapsulation,2020
STECPA-12,Steven Gross,Cognitive Penetration and Attention,2017
NANPIN,Bence Nanay,Perception is Not All-Purpose,2021
MOLAPA,Christopher Mole and Declan Smithies and Wayne Wu,Attention: Philosophical and Psychological Essays,2011
TEATPO-9,Richard Teague,The Problem of Closure and Questioning Attitudes,2022
NANPI,Bence Nanay,Perceiving Indeterminately,2020
MALTSA-3,Nicolas Malebranche,The Search After Truth,2007
JENATA-3,Carolyn Dicey Jennings and Shadab Tabatabaeian,"Attention, Technology, and Creativity",2023
SIESPF,Susanna Siegel,Salience Principles for Democracy,2022
IRVTPO,Sherri Irvin,The Pervasiveness of the Aesthetic in Ordinary Experience,2008
LEVDT,Joseph Levine,Demonstrative Thought,2010
MALDOM-2,Nicolas Malebranche,Dialogues on Metaphysics and Religion,1688
MOLA,Christopher Mole,Attention,2010
MOLAAC-2,Christopher Mole,Attention and Cognitive Penetration,2015
KRKDAP,"Kaisa K\""{a}rki and Visa Kurki",Does a Person Have a Right to Attention? Depends on What She is Doing,2023
WEKTTO-2,Assaf Weksler and Hilla Jacobson and Zohar Z. Bronfman,The Transparency of Experience and the Neuroscience of Attention,2019
FECSRA,Jillian H. Fecteau and Douglas P. Munoz,"Salience, Relevance, and Firing: A Priority Map for Target Selection",2006
KUHAPT,Gustav Kuhn and Hugo A. Caffaratti and Robert Teszka and Ronald A. Rensink,A Psychologically-Based Taxonomy of Misdirection,2014
FORUIT-2,Mark Fortney,Unity in the Scientific Study of Intellectual Attention,2020
SIEEAS,Susanna Siegel,Can Selection Effects on Experience Influence its Rational Role?,2013
RICPPA-9,Mattia Riccardi,Perceptual Presence: An Attentional Account,2019
FORCIA-6,Mark Fortney,Conceptualizing Intellectual Attention,2019
DICVAF,Imogen Dickie,Visual Attention Fixes Demonstrative Reference by Eliminating Referential Luck,2011
RANAIT-3,Madeleine Ransom and Sina Fazelpour and Christopher Mole,Attention in the Predictive Mind,2017
BUTVOA,Charles M. Butter,Varieties of Attention and Disturbances of Attention: A Neuropsychological Analysis,1987
GALMAN-2,Francisco Gallegos,Moods Are Not Colored Lenses: Perceptualism and the Phenomenology of Moods,2017
FAUFAT,Luc Faucher and Christine Tappolet,Fear and the Focus of Attention,2002
MOLTMO-2,Christopher Mole,The Metaphysics of Attention,2011
MOUIGA,Allyson Mount,"Intentions, Gestures, and Salience in Ordinary and Deferred Demonstrative Reference",2008
CAMSRA-5,John Campbell and Michael Martin,"Sense, Reference and Selective Attention",1997
ALBTMA,M. Albahari,The Mystic and the Metaphysician: Clarifying the Role of Meditation in the Search for Ultimate Reality,2019
DAVMFU,Jonathan C. Davis and Marilyn C. Smith,Memory for Unattended Input,1972
POSTAS-2,Michael I. Posner and Steven E. Petersen,The Attention System of the Human Brain,1990
CAMVAA-2,John Campbell,Visual Attention and the Epistemic Role of Attention,2011
DAYPEO,Jason K. Day and Susanne Schmetkamp,Psychedelic Expansion of Consciousness: A Phenomenological Study in Terms of Attention,2022
BADTBO-3,Oren Bader and Aya Peri Bader,The Bodily Other and Everyday Experience of the Lived Urban World,2016
HURTNB,James R. Hurford,The Neural Basis of Predicate-Argument Structure,2003
FORDIA-2,Mark Fortney,Directing Internal Attention Towards Ongoing Thought,2020
KUZDIM,Anezka Kuzmicova,Does It Matter Where You Read? Situating Narrative in Physical Environment,2016
MITTPC-6,Jonathan Mitchell,The Phenomenal Contribution of Attention,2022
BERSMA-7,Juan Pablo Berm\'{u}dez,Social Media and Self-Control: The Vices and Virtues of Attention,2016
CAMRAA,John Campbell,Reference as Attention,2004
SARMAT-3,Kranti Saran,Meditative Attention to Bodily Sensations: Conscious Attention Without Selection?,2018
