ID,Author,Title,Year
DONRAD-2,Keith S. Donnellan,Reference and Definite Descriptions,1966
NEAD,Stephen Neale,Descriptions,1990
KRISRA-10,Saul A. Kripke,Speaker?s Reference and Semantic Reference,1977
KRISRA-2,Saul A. Kripke,Speaker's Reference and Semantic Reference,1977
ELBDD,Paul Elbourne,Definite Descriptions,2013
BOWSAB,Mark Bowker,"Saying a Bundle: Meaning, Intention, and Underdetermination",2019
MOLDAT-3,Andrei Moldovan,Descriptions and Tests for Polysemy,2021
BEZPSU,A. Bezuidenhout,"Pragmatics, Semantic Undetermination and the Referential/Attributive Distinction",1997
RECRAC,Francois Recanati,Referential/Attributive: A Contextualist Proposal,1989
REIDDT-2,Marga Reimer,Donnellan's Distinction/Kripke's Test,1998
BACR,Kent Bach,Referential/Attributive,1981
AMADDA-2,Felipe S. Amaral,Definite Descriptions Are Ambiguous,2008
BACRUD,Kent Bach,Referentially Used Descriptions: A Reply to Devitt,2007
SEARAA,John R. Searle,Referential and Attributive,1979
BLAWOD,William K. Blackburn,Wettstein on Definite Descriptions,1988
RECDAA-2,Fran\c{c}ois Recanati,Deixis and Anaphora,2004
BRODPO,Berit Brogaard,Descriptions: Predicates or Quantifiers?,2007
RECCAA,Fran\c{c}ois Recanati,Contextualism and Anti-Contextualism in the Philosophy of Language,1994
HUGDHP,Derick Hughes,Demystifying Humility's Paradoxes,2022
MARDRA-10,Genoveva Marti,Direct Reference and Definite Descriptions,2008
PENDMA,Carlo Penco,Donnellan's Misdescriptions and Loose Talk,2017
PUPAAA,Francesco Pupa,Ambiguous Articles: An Essay on the Theory of Descriptions,2008
BERTSS-2,Rod Bertolet,The Semantic Significance of Donnellan's Distinction,1980
RECDAS,Francois Recanati,Descriptions and Situations,2004
LAMATO-2,Karel Lambert,A Theory of Definite Descriptions,1991
Torrente2015-GOMQAR,Mario Gomez{-}Torrente,Quantifiers and Referential Use,2015
OSTDDA,Gary Ostertag,Definite Descriptions: A Reader,1998
CHARAC-3,Charles Chastain,Reference and Context,1975
RECDAA,Fran\c{c}ois Recanati,Deixis and Anaphora,2004
Carpintero2005-GARTRD,Manuel Garc\'{i}a{-}Carpintero,The Real Distinction Between Descriptions and Indexicals,2005
HAWR-3,John Hawthorne and David Manley,Response,2014
SMISRS-3,J. P. Smit,"Speaker's Reference, Semantic Reference and Public Reference",2018
ROBQAS,Brian Robinson,"""I Am so Humble!"": On the Paradoxes of Humility",2020
PENPAA-4,Carlo Penco,Pragmatic Ambiguity and Kripke?s Dialogue Against Donnellan,2019
PINHTR,Manfred Pinkal,How to Refer with Vague Descriptions,1979
STOUTI,Megan Henricks Stotts,Understanding the Intentions Behind the Referential/Attributive Distinction,2017
MOLTRP,Andrei Moldovan,The Real Problem with Uniqueness,2017
PUPRUA,Francesco Pupa,"Referential Usage and G\""{o}delian Completions",2007
LEGDDY,Justina Diaz Legaspe,Descripciones Definidas y Su Uso Referencial: Una Propuesta Contextualizada,2011
BERRUA,Rod Bertolet,Referential Uses and Speaker Meaning,1981
DAZDDM,Justina Diaz Legaspe,"Definite Descriptions, Misdescriptions and Semantic Content: Different Ways to Solve a Tricky Puzzle",2009
ABBSAR,Barbara Abbott,Specificity and Referentiality,manuscript
MOLAAO-2,Andrei Moldovan,An Assessment of the Argument From Convention,2016
OVECAT,D. E. Over,Constructivity and the Referential/Attributive Distinction,1985
ROSRSS-6,Wojciech Rostworowski,Roundabout Semantic Significance of the ?Attributive/Referential? Distinction,2013
BEER-3,Michael Beebe,Referential/Attributive,1977
TERWDD,Really Are Referring Terms,"Why Definite Descriptions Really Are Referring Terms1 John-Michael Kuczynski University of California, Santa Barbara",2005
FRESIT-2,Peter A. French and Theodore Edward Uehling and Howard K. Wettstein,Studies in the Philosophy of Language,1977
AGBAUO-2,Kre\v{s}imir Agbaba,"Attributive"" Uses of Definite Descriptions Are Always Attributive",2009
MENRAS-2,Richard L. Mendelsohn,Referential/Attributive: A Scope Interpretation,2010
CROUDR-2,W. Stephen Croddy,Using Descriptions Referentially,1984
NELWIS,Michael Nelson,"Wettstein's Incompleteness, Salmon's Intuitions",1999
HUGOTA-2,Thomas J. Hughes,On the Ambiguity in Definite Descriptions,2014
BRIUOD,Alan Brinton,Uses of Definite Descriptions and Russell's Theory,1977
LHATRA,\.I. N. A. N. \.{I}lhan,?The Referential? and ?the Attributive?: Two Distinctions for the Price of One1,2006
ROSDDA-4,Wojciech Rostworowski,Definite Descriptions and the Argument From Inference,2014
TERADD,Alice ter Meulen,Anaphoric Definite Descriptions,2004
Murga1995-GARIAD,Fernando Garcia{-}Murga,Indexicals and Descriptions,1995
KUCROR,John{-}Michael Kuczynski,Review of Reimer \& Bezuidenhout (2004): Descriptions and Beyond,2006
BORGOE-2,Emma Borg,"Gary Ostertag, Ed., Definite Descriptions: A Reader",1999
OSTROA,Gary Ostertag,"Review of Anne Bezuidenhout (Ed.), Marga Reimer (Ed.), \emph{Descriptions and Beyond}",2005
