ID,Author,Title,Year
DOAFEA,Michael D. Doan,Feminist Epistemology and Social Epistemology: Another Uneasy Alliance (1st edition),2024
PETAGA-2,Uwe Peters and Ignacio Ojea Quintana,Are Generics and Negativity About Social Groups Common on Social Media? A Comparative Analysis of Twitter (X) Data,2024
BENDAT-6,Jonathan Benson,Democracy and the Epistemic Problems of Political Polarization,forthcoming
KOPIBA,Felix Kopecky and Gregor Betz,Inconsistent Belief Aggregation in Diverse and Polarised Groups,forthcoming
PETPMC,Uwe Peters,Politicizing Mindshaping,forthcoming
KOPARI-2,Felix Kopecky,Argumentation-Induced Rational Issue Polarisation,2024
WERRDU,Micha Werner,"Redefreiheit, Digitalisierung Und Die Rolle der Philosophie",2024
SISAVT,Robert Weston Siscoe,Are Voters to Blame for the Polarization Crisis?,2023
MRZAPE,Attila Mr\'{a}z,A Polarization-Containing Ethics of Campaign Advertising,2023
SISTED,Wes Siscoe,The Empathetic Democracy,2023
