ID,Author,Title,Year
BETEIM,Arianna Betti,Explanation in Metaphysics and Bolzano?s Theory of Ground and Consequence,2010
TUNBAC,Emine Hande Tuna,Bolzano's Aesthetic Cognitivism,forthcoming
ROSBAK-4,Stefan Roski,Bolzano and Kim on Grounding and Unification,2019
KAPBTA,Yannic Kappes,Bolzano?s Tortoise and a Loophole for Achilles,2024
LAPBAT,Sandra Lapointe,Bolzano and the Analytical Tradition,2014
TAIAPO,Hamid Taieb,"A Paleo-Criticism of Modes of Being: Brentano and Marty Against Bolzano, Husserl, and Meinong",2020
CLALAB,Jan Claas,Leibniz and Bolzano on Conceptual Containment,2021
GOMADD-4,Walter Gomide,"A Defini\c{c}~{a}o Do Zero Em Frege: O Compromisso Do Platonismo Fregeano Com a ""Eternidade"" de Bolzano",2011
SINBEL,Hourya Sinaceur,Bolzano Est-Il le Pr\'{e}curseur de Frege?,1975
KRABOT-3,Stephan Kraemer,Bolzano on the Intransparency of Content,2011
AJVKPF,Irfan Ajvazi,Kierkegaard?s Philosophical Fragments,2022
ARCBST,Kenneth Archer,Bolzano' s Theory of Science,2008
FLLBLB,Dagfinn F\o{}llesdal,Bolzano's Logic by Jan Berg,1965
