ID,Author,Title,Year
VARTCO-12,Somogy Varga,The Criticism of Medicine at the End of its ?Golden Age?,2022
PETDIS,Thomas S\o{}birk Petersen,Doping in Sport: A Defence,2020
EDGSAC-2,Andrew Edgar,Sport and Covid-19,2021
EVASBH,Robert Evans and Michael McNamee,"Sports Betting, Horse Racing and Nanobiosensors ? an Ethical Evaluation",2020
DELEAC-6,Jes\'{u}s Miguel Delgado Del Aguila,Entrevista a Carlos Reymer. Instructor de Taekwondo (1st edition),2024
DELETY-2,Jes\'{u}s Miguel Delgado Del Aguila,El Taekwondo y la Gimnasia Art\'{i}stica: Dos Deportes Que Buscan El Efecto Sorpresivo. Entrevista a Diego Torrealva (1st edition),2024
ARADUM,Ognjen Arandjelovic,Doping Use Meta-Analysis: Science Seasoned with Moralistic Prejudice,2015
MORAMD-2,S. P. Morris,A Moral Defense of Trophy Hunting and Why It Fails,2021
EANART,Gabriel E. Andrade,A Response to Cultural Arguments in the Renewed Disputes Over the Ethics of Bullfighting,2021
LOPTEO-4,Francisco Javier Lopez Frias and Cesar R. Torres,The Ethics of Cloning Horses in Polo,2019
