ID,Author,Title,Year
WIEC,Norbert Wiener,Cybernetics,1961
Smith2006-GODTSO,Peter Godfrey{-}Smith,The Strategy of Model-Based Science,2006
ANKWSS,Rachel A. Ankeny and Sabina Leonelli,What?s so Special About Model Organisms?,2011
GLEMM,Stuart Glennan,Modeling Mechanisms,2005
BRISBA,Ingo Brigandt,Systems Biology and the Integration of Mechanistic Explanation and Mathematical Explanation,2013
WEITSO-7,John Matthewson and Michael Weisberg,The Structure of Tradeoffs in Model Building,2009
COOTSO-16,Gregory John Cooper,The Science of the Struggle for Existence: On the Foundations of Ecology,2003
ROUHAU,Joan Roughgarden and Scott F. Gilbert and Eugene Rosenberg and Ilana Zilber{-}Rosenberg and Elisabeth A. Lloyd,Holobionts as Units of Selection and a Model of Their Population Dynamics and Evolution,2018
BICGRF-2,Leonardo Bich and Matteo Mossio and Ana M. Soto,Glycemia Regulation: From Feedback Loops to Organizational Closure.,2020
MANFEA-2,Stephen Francis Mann and Ross Pain and Michael D. Kirchhoff,Free Energy: A User?s Guide,2022
SILCOL,Michael Silberstein and Anthony Chemero,Constraints on Localization and Decomposition as Explanatory Strategies in the Biological Sciences,2013
WEIFYO,Michael Weisberg,Forty Years of 'the Strategy': Levins on Model Building and Idealization,2006
ODEBBR,Jay Odenbaugh and Anna Alexandrova,Buyer Beware: Robustness Analyses in Economics and Biology,2011
WIDAAO,Jeremy G. Wideman and Steve Elliott and Beckett Sterner,An Account of Conserved Functions and How Biologists Use Them to Integrate Cell and Evolutionary Biology,2023
MONPOO-3,"Ma\""{e}l Mont\'{e}vil and Giuseppe Longo","Perspectives on Organisms: Biological Time, Symmetries and Singularities.",2014
GARBAC-4,Arran Gare,"Biosemiosis and Causation: Defending Biosemiotics Through Rosen's Theoretical Biology, or, Integrating Biosemiotics and Anticipatory Systems Theory",2019
BICIDL-2,Leonardo Bich and Sara Green,Is Defining Life Pointless? Operational Definitions at the Frontiers of Biology,2016
CHIMAS,Lynn Chiu and G\'{e}rard Eberl,Microorganisms as Scaffolds of Host Individuality: An Eco-Immunity Account of the Holobiont,2016
BOLMSI,Jessica A. Bolker,Model Systems in Developmental Biology,1995
MONPSA-3,"Ma\""{e}l Mont\'{e}vil",Possibility Spaces and the Notion of Novelty: From Music to Biology,2019
KELMOA,Evelyn Fox Keller,Models of and Models For: Theory and Practice in Contemporary Biology,2000
MACBSF-2,Miles MacLeod and Nancy J. Nersessian,Building Simulations From the Ground Up: Modeling and Theory in Systems Biology,2013
BIRGMA,Jonathan Birch,Gene Mobility and the Concept of Relatedness,2014
KIEBRA,Alex Kiefer and Jakob Hohwy,Bayesian Realism and Structural Representation,2022
FAGWRM,Melinda Bonnie Fagan,Waddington Redux: Models and Explanation in Stem Cell and Systems Biology,2012
MACCSA-19,Miles MacLeod and Nancy J. Nersessian,Coupling Simulation and Experiment: The Bimodal Strategy in Integrative Systems Biology,2013
PARGEM-2,Wendy S. Parker,Getting Serious About Similarity,2015
BOOSBP,Fred C. Boogerd and Frank J. Bruggeman and Jan{-}Hendrik S. Hofmeyr and Hans V. Westerhoff,Systems Biology: Philosophical Foundations,2007
GEBCGA,Alexander Gebharter and Marie I. Kaiser,Causal Graphs and Biological Mechanisms,2014
WEBOTI-5,Marcel Weber,On the Incompatibility of Dynamical Biological Mechanisms and Causal Graphs,2016
RAMSBA,Koskinen Rami,Synthetic Biology and the Search for Alternative Genetic Systems: Taking How-Possibly Models Seriously,2017
BAUTAA-2,William Bausman,The Aims and Structures of Ecological Research Programs,2019
KRODWM,Ulrich Krohs and Werner Callebaut,Data Without Models Merging with Models Without Data,2007
CALCLD-2,Jane Calvert and Joan H. Fujimura,Calculating Life? Duelling Discourses in Interdisciplinary Systems Biology,2011
