ID,Author,Title,Year
DUMQEO-2,"Elisabeth D. D\""{a}umer","Queer Ethics; or, the Challenge of Bisexuality to Lesbian Ethics",1992
PEGWCU,Peg O'Connor,Warning! Contents Under Heterosexual Pressure,1997
SPALAB,Helen Spandler and Sarah Carr,Lesbian and Bisexual Women's Experiences of Aversion Therapy in England,2022
KLESAT-10,Christian Klesse and Jon Binnie,Solidarities and Tensions: Feminism and Transnational Lgbtq Politics in Poland,2012
DEBDSA,Andreas De Block and Pieter Adriaens,Darwinizing Sexual Ambivalence: A New Evolutionary Hypothesis of Male Homosexuality,2004
HELDKB-2,Lisa Heldke,Dear Kate Bornstein,2006
BURWML,Melissa Burchard,"What?s My Line? Gender, Performativity, and Bisexual Identity",2006
CORSBT-2,Corrinne Bedecarr\'e,Swear by the Moon,1997
ECATAA,Eva Cantarella,The Androgynous and Bisexuality in Ancient Legal Codes,2005
LISIPO-2,Lisa Heldke,In Praise of Unreliability,1997
WDOBIT,Wendy Doniger,Bisexuality in the Mythology of Ancient India,2005
FRAIWS-2,Barbara S. Andrew,Identity Without Selfhood: Bisexuality and Simone de Beauvoir,2001
AUSBAT,C. R. Austin,Bisexuality and the Problem of its Social Acceptance,1978
ENGIBA,Jacob Engelberg,Introduction: Bisexuality and Pornography,2024
SCHSUG-7,Karsten Schubert,Sexuelle Und Geschlechtliche Selbstbestimmung Als Menschenrecht,2016
SUMDOA-4,Tony Summer,Discovering Oneself: A Philosophical Autobiography of a Boy Named 'Susie',2017
DANBRM-4,Frederick Danny,Book Review: Mark Simpson (Ed.) 'Anti-Gay',1997
ANDBRM-5,Barbara S. Andrew,"Book Review: Mariam Fraser. Identity Without Selfhood: Bisexuality and Simone de Beauvoir. Cambridge: Cambridge University Press, 1999",2001
DOVB,Kenneth Dover,"Bisexuality Eva Cantarella (Cormac \'O Cuillean\'{a}in, Tr.): Bisexuality in the Ancient World. Pp. Xii+284. New Haven, Ct and London: Yale University Press, 1992. Cased, \pounds19.95",1994
