ID,Author,Title,Year
BOUPM-2,Pierre Bourdieu,Pascalian Meditations,1997
JACPAF,Elizabeth Jackson,Pragmatic Arguments for Theism,2023
PASP-2,Blaise Pascal,Pens\'{e}es,2007
PASP-9,Blaise Pascal,Pense?Es,2007
HJEBE,Alan H\'{a}jek and Stephan Hartmann,Bayesian Epistemology,1992
BORTBO,Pascal Borry and Paul Schotsmans and Kris Dierickx,The Birth of the Empirical Turn in Bioethics,2005
HILHTS-4,Avram Hiller and Ali Hasan,How to Save Pascal (and Ourselves) From the Mugger,forthcoming
HJEWWO,Alan Ha?jek,Waging War on Pascal?s Wager,2003
PASPAO,Blaise Pascal,Pens\'{e}es and Other Writings,1670
PASP,Blaise Pascal,Pens\'{e}es,2007
ENGDC,Pascal Engel,Doxastic Correctness,2013
JORPWP,Jeff Jordan,Pascal's Wager: Pragmatic Arguments and Belief in God,2006
BOYWRB,Pascal Boyer and Pierre Li\'{e}nard,"Why Ritualized Behavior? Precaution Systems and Action Parsing in Developmental, Pathological and Cultural Rituals",2006
BARTSO-61,Paul Bartha,Taking Stock of Infinite Value: Pascal?s Wager and Relative Utilities,2007
FRATSO,James Franklin,The Science of Conjecture: Evidence and Probability Before Pascal,2001
BOSPM,Nick Bostrom,Pascal's Mugging,2009
HAJPEA,Alan Hajek and Elizabeth Jackson,Pascalian Expectations and Explorations,forthcoming
ENGIWS,Pascal Engel,In What Sense is Knowledge the Norm of Assertion?,2008
RHEROW,Rush Rhees,Recollections of Wittgenstein: Hermine Wittgenstein--Fania Pascal--F.R. Leavis--John King--M. O'c. Drury,1984
OPPORO,Graham Oppy,On Rescher on Pascal's Wager,1991
GRAIAU,Christopher Grau,Irreplaceability and Unique Value,2004
FRISOO,Pascal Fries and Pieter R. Roelfsema and Andreas K. Engel and Wolf Singer,Synchronization of Oscillatory Responses in Visual Cortex Correlates with Perception in Interocular Rivalry,1997
MARIES,Jean{-}Luc Marion,In Excess: Studies of Saturated Phenomena,2002
DOKSAK,"J\'{e}r\^{o}me Dokic and Jo\""{e}lle Proust",Simulation and Knowledge of Action,2002
ENGTNO-2,Pascal Engel,The Norm of Truth: An Introduction to the Philosophy of Logic,1991
HJEPW,Alan H\'{a}jek,Pascal's Wager,2008
BOSPM-3,Nick Bostrom and Tomasz \.{Z}uradzki,Pascal?s Mugging,2015
PASP-4,Blaise Pascal,Pense?Es,1670
ENGBAA-5,Pascal Engel,"Believing, Accepting, and Holding True",1998
HACTLO,Ian Hacking,The Logic of Pascal's Wager,1972
BEACPW,Tobias Beardsley,Can Pascal?s Wager Save Morality From Ockham?s Razor?,2021
DUFPWA,Antony Duff,Pascal's Wager and Infinite Utilities,1986
ENGTFM,Pascal Engel,The False Modesty of the Identity Theory of Truth,2001
PAST,Blaise Pascal,Thoughts,1961
PASP-17,Blaise Pascal,Pens\'{e}es,2004
FRATSO-13,James Franklin,The Science of Conjecture,2003
MCDTTM,John Mcdowell,The True Modesty of an Identity Conception of Truth: A Note in Response to Pascal Engel (2001),2005
MOUBAP,Gregory Mougin and Elliott Sober,Betting Against Pascal's Wager,1994
DEAMEA-2,Peter Dear,"Miracles, Experiments, and the Ordinary Course of Nature",1990
IGAMCS-2,Jacques Igalens and Jean{-}Pascal Gond,Measuring Corporate Social Performance in France: A Critical and Empirical Analysis of Arese Data,2005
ENGDBA,Pascal Engel,"Dispositional Belief, Assent, and Acceptance",1999
HUNPTP,Graeme Hunter,Pascal the Philosopher: An Introduction,2013
MONMSC,Bradley Monton,Mixed Strategies Can't Evade Pascal's Wager,2011
