ID,Author,Title,Year
Pedersen1984-GRETTO-4,Niels J\o{}rgen Green{-}Pedersen,The Tradition of the Topics in the Middle Ages: The Commentaries on Aristotle's and Boethius' Topics,1984
BOETCO-12,Anicius Manlius Severinus Boethius,The Consolation of Philosophy,1902
POLTSO-22,Elliot Polsky,The Semantics of Divine Esse in Boethius,forthcoming
CHIBDS,Riccardo Chiaradonna and Marwan Rashed,Bo\'{e}thos de Sidon ? Ex\'{e}g\`{e}te D?Aristote Et Philosophe,2020
MARB-2,John Marenbon,Boethius,2003
PIZSBT,Claudio Pizzi and Timothy Williamson,Strong Boethius' Thesis and Consequential Implication,1997
WILPIP-4,Scott M. Williams,Persons in Patristic and Medieval Christian Theology,2019
WALTCO-52,Peter Walsh,The Consolation of Philosophy,1962
BOEDCP-5,Claudio Boethius and Moreschini,De Consolatione Philosophiae,2000
MAR_LO-13,Christopher Martin,The Logic of Negation in Boethius,1991
GUNDDP,Dominicus Gundissalinus,De Divisione Philosophiae =,2007
KLIMPE-2,Gyula Klima and Fritz Allhoff and Anand Vaidya,Medieval Philosophy: Essential Readings with Commentary,2007
PIZBTA,Claudio Pizzi,Boethius' Thesis and Conditional Logic,1977
MAGBOS-2,John Magee,Boethius on Signification and Mind,1989
CHABTC-3,Henry Chadwick,"Boethius: The Consolations of Music, Logic, Theology, and Philosophy",1981
DAVBAO,Martin Davies,Boethius and Others on Divine Foreknowledge,2017
MARTCC-11,John Marenbon,The Cambridge Companion to Boethius,2009
CORTST-2,Manuel Correia,The Syllogistic Theory of Boethius,2009
MARTLT,Christopher Martin,The Logical Text-Books and Their Influence,2009
DONEAT-9,Enrico Donato,Entailment and Truthmaking: The Consequentia Rerum From Boethius to the Ars Meliduna,forthcoming
SHAFPA-2,Robert Sharples,"Fate, Prescience and Free Will",2009
CORBOT,Manuel Correia,Boethius on the Square of Opposition,2012
GIBBHL,Margaret T. Gibson,"Boethius, His Life, Thought, and Influence",1981
MCIBAA,Ralph McInerny,Boethius and Aquinas,1990
EVABAT-4,Jonathan Evans,Boethius and the Causal Direction Strategy,2018
PRITLO-14,A. N. Prior,The Logic of Negative Terms in Boethius,1953
BOEDCP-6,Anicius Manlius Severinus Boethius,De Consolatione Philosophiae. Opuscula Theologica,2005
BRATOS,David Bradshaw,The Opuscula Sacra: Boethius and Theology,2009
SPABAU,Paul Vincent Spade,Boethius Against Universals: The Arguments in the Second Commentary on Porphyry,manuscript
MAGAMS,John Magee,"Anicii Manlii Severini Boethii de Divisione Liber: Critical Edition, Translation, Prolegomena, and Commentary",1998
DRRTPL,Karl Du?rr,The Propositional Logic of Boethius,1951
CROFAU,Richard Cross,Form and Universal in Boethius,2012
