ID,Author,Title,Year
DARTBM-3,Stephen L. Darwall,The British Moralists and the Internal 'Ought': 1640?1740,1995
CORROT-13,Sorana Corneanu,"Regimens of the Mind: Boyle, Locke, and the Early Modern Cultura Animi Tradition",2011
HUTBPI,Sarah Hutton,British Philosophy in the Seventeenth Century,2015
RUSBWE,Paul Russell,Bernard Williams: Ethics From a Human Point of View,2018
BROWPO-7,Jacqueline Broad,Women Philosophers of Seventeenth-Century England: Selected Correspondence,2019
WILTSC-2,Basil Willey,The Seventeenth Century Background,1950
PAVEYC,P. Pavesi,El Yo Como Rep\'{u}blica. Identidad Personal y Bien P\'{u}blico En Hume,1998
PERASO-7,Ray Scott Percival,A Survey of British Epistemology,2006
PYLTDO,Andrew Pyle,The Dictionary of Seventeenth-Century British Philosophers. 2. J - Z : Index,2000
WILW,Catherine Wilson,Williams,2009
ANSTOH,Peter R. Anstey,The Oxford Handbook of British Philosophy in the Seventeenth Century,2013
DERHDL,Charles de Re?musat,Histoire de la Philosophie En Angleterre Depuis Bacon Jusqu'a? Locke,1875
JAMTLO,David Gwilym James,"The Life of Reason: Hobbes, Locke, Bolingbroke",1949
CHASBP,Vere Claiborne Chappell,Seventeenth-Century British Philosophers,1992
THOTNE,Ian Thompson and Daniel Caute,The ?New Experimental Philosophy?: The Royal Society in the Twentieth Century - an Interview with Sir George Porter,1987
MCIJMS,Esther Mcintosh,John Macmurray: Selected Philosophical Writings,2004
DIAPED-2,Cecilia Motzo Dentice di Accadia,Preilluminismo e Deismo in Inghilterra,1970
BANMSA,Marina Paola Banchetti,My Station and its Duties,1992
KNITHO,David M. Knight,The History of Science in Britain: A Personal View,1984
WILTSC-16,Basil Willey,The Seventeenth Century Background,1934
MORLTD-26,Giuliano Mori,Le Tracce Della Verita?: Metodo Scientifico e Retorica Digressiva Nell'eta? di Francis Bacon,2017
DUGDDA,Rene? Dugas,De Descartes a? Newton Par l'E?Cole Anglaise,1953
Robino2020-BANTCP,Marina Paola Banchetti{-}Robino,"The Chemical Philosophy of Robert Boyle: Mechanicism, Chymical Atoms, and Emergence",2020
KROEOK,Thomas Krogh,Empirisme Og Kapitalisme: Britisk Filosofi Fra Hobbes Til Hume,1978
COUUWT,Xavier Cousin,Unquantum Woolf: \emph{The Many Intellectual Contexts of to the Lighthouse's Metaphorical Wave-Particle Binary},2022
BETTCR,Samuel Leslie Bethell,The Cultural Revolution of the Seventeenth Century,1951
STEEPI-2,Michael Alexander Stewart,English Philosophy in the Age of Locke,2000
STOWPI-2,Alison Stone,Women Philosophers in Nineteenth-Century Britain,2023
LEVAWI-2,Dmitri Levitin,"Ancient Wisdom in the Age of the New Science: Histories of Philosophy in England, C. 1640-1700",2015
SEVAIW,Gulsen Seven,An Interview with John Dunn,2012
EGIMAM,Jonathan Egid,Making a Mingle Mangle,2019
LAWBRA-11,Christopher Lawrence,Book Review: Absent Minds,2008
