ID,Author,Title,Year
POTSTA,Michael D. Potter,Set Theory and its Philosophy: A Critical Introduction,2004
BUTACT-2,Tim Button and Robert Trueman,Against Cumulative Type Theory,2022
Duggan2022-EBEONI,Sean C. Ebels{-}Duggan,On Number-Set Identity: A Study,2022
ALEAAT-10,Samuel Alexander,Agi and the Knight-Darwin Law: Why Idealized Agi Reproduction Requires Collaboration,2020
ALEMTI-2,Samuel Alexander,Measuring the Intelligence of an Idealized Mechanical Knowing Agent,2020
WHISAF-3,Bruno Whittle,Size and Function,2018
WHIOIS-2,Bruno Whittle,On Infinite Size,2015
DINTLO-2,Yifeng Ding and Matthew Harrison{-}Trainor and Wesley H. Holliday,The Logic of Comparative Cardinality,2020
AREFCI,Jonas R. Becker Arenhart,Finite Cardinals in Quasi-Set Theory,2012
LUNCPI-5,Laureano Luna and William Taylor,Cantor?s Proof in the Full Definable Universe,2010
RUMNAT,Ian Rumfitt,Neo-Fregeanism and the Burali-Forti Paradox,2018
OPPRTC,Graham Oppy,Inverse Operations with Transfinite Numbers and the Kalam Cosmological Argument,1995
WHIOIS,Bruno Whittle,On Infinite Size,2015
MENCAT,Christopher Menzel,Cantor and the Burali-Forti Paradox,1984
BACZEH,Andrew Bacon,Zermelian Extensibility,manuscript
GALTTS-5,Franklin Galindo,Tres Teoremas Sobre Cardinales Medibles,2021
RIVETO,Edoardo Rivello,Eliminating the Ordinals From Proofs. An Analysis of Transfinite Recursion,2014
WHIRTV,Bruno Whittle,Reply to Vann Mcgee's 'Whittle's Assault on Cantor?s Paradise',2015
BONARO-4,Nicola Bonatti,A Reassessment of Cantorian Abstraction Based on the ?-Operator,forthcoming
FULRTA-2,Joseph S. Fulda,Reply to an Objection to Animal Rights,1992
PARGAF-4,Matthew W. Parker,"G\""{o}del's Argument for Cantorian Cardinality",2017
KUCMLA,John{-}Michael Kuczynski,Mathematical Logic and Formal Arithmetic: Key Definitions and Principles,2016
KUCBPO,John{-}Michael Kuczynski,Basic Principles of Mathematical Logic,2016
