ID,Author,Title,Year
VELTPO-5,J. David Velleman,The Possibility of Practical Reason,1996
FOOMAA,Philippa Foot,Morality as a System of Hypothetical Imperatives,1972
MCDAMR-2,John McDowell and I. G. McFetridge,Are Moral Requirements Hypothetical Imperatives?,1978
BECACO-2,Lewis White Beck,A Commentary on Kant's Critique of Practical Reason,1960
KLECAK,Pauline Kleingeld,Contradiction and Kant?s Formula of Universal Law,2017
DUIDPD,Guus Duindam,Deriving Positive Duties From Kant's Formula of Universal Law,2023
FINWOP,Stephen Finlay,"What Ought Probably Means, and Why You Can?T Detach It",2009
SCHTHI,Mark Schroeder,The Hypothetical Imperative?,2005
THOIKA-3,Lucas Thorpe,Immanuel Kant and Deontology,2024
EHITHI,Thomas E. Hill,The Hypothetical Imperative,1973
KAHKAT-2,Samuel Kahn,Kant and the Duty to Promote One?s Own Happiness,2022
WOOTNF-2,Jack Woods,The Normative Force of Promising,2016
MILVOP,Elijah Millgram,Varieties of Practical Reasoning,2001
MOEAHD,Michael Moehler,A Hobbesian Derivation of the Principle of Universalization,2012
SCHKAT-21,Janis David Schaab,Kant and the Second Person,2021
TIMKOC,Jens Timmermann,"Kant on Conscience, ?Indirect? Duty, and Moral Error",2006
BERAAO-16,Alyssa R. Bernstein,Autonomy and Objective Moral Constructivism: Rawls Versus Kleingeld \& Willaschek,forthcoming
DREHDA-3,James Dreier,Humean Doubts About Categorical Imperatives,2001
ALLKGF,E. Allison Henry,Kant's Groundwork for the Metaphysics of Morals: A Commentary,2011
KERFOT,Stephen Kershnar,For Ownership Theory: A Response to Nicholas Dixon,2018
PURSRO-2,Stephen Puryear,Schopenhauer's Rejection of the Moral Ought,2021
SCHDHI-12,Jeremy Schwartz,Do Hypothetical Imperatives Require Categorical Imperatives?,2010
KOHTNO,Markus Kohl,The Normativity of Prudence,2017
CURFST-3,Adam Cureton,From Self-Respect to Respect for Others,2013
BACTEI-2,Stefano Bacin,The Error in the \emph{Groundwork}: Kant?s Revision of the Imperatives and Prudence as Technical Ability,2019
HAREIT,John C. Harsanyi,Ethics in Terms of Hypothetical Imperatives,1958
KAHTIB,Samuel Kahn,The Interconnection Between Willing and Believing for Kant?s and Kantian Ethics,2014
BROKCA-3,\'{E}tienne Brown,Kantian Constructivism and the Normativity of Practical Identities,2018
CHOUKE,Michael Cholbi,Understanding Kant's Ethics,2016
KOHKCO-2,Markus Kohl,Kant's Critique of Instrumental Reason,2018
MERTRO-7,Michael S. Merry and Doret J. de Ruyter,The Relevance of Cosmopolitanism for Moral Education,2011
PROIDO,Evangelos D. Protopapadakis,In Defense of Pharmaceutically Enhancing Human Morality,2017
PIPKSP,Adrian M. S. Piper,Kant's Self-Legislation Procedure Reconsidered,2012
EVETOT,Daan Evers,Two Objections to Wide-Scoping,2011
MARKDO,Jacqueline Mari\~{n}a,Kant?s Derivation of the Formula of the Categorical Imperative: How to Get It Right,1998
KAHTAO-7,Samuel Kahn,The Apple of Kant's Ethics: I-Maxims as the Locus of Assessment,2022
ENGAOR,Stephen Engstrom,Allison on Rational Agency,1993
NIIHIA,Ilkka Niiniluoto,Hypothetical Imperatives and Conditional Obligations,1986
EVETET,Daan Evers,The End-Relational Theory of ?Ought? and the Weight of Reasons,2010
ANDMIB-3,Chrisoula Andreou,Might Intentions Be the Only Source of Practical Imperatives?,2006
RIPWKH,Simon Rippon,Were Kant's Hypothetical Imperatives Wide-Scope Oughts?,2014
STRTAE-7,Caj Sixten Strandberg,Towards an Ecumenical Theory of Normative Reasons,2018
ROLKKI,Milica Smajevic Roljic,Kantov Kategori\v{c}ki Imperativ Kao Vodi\vc Za Moralno Ispravno Postupanje,2021
STRNRA-4,Caj Strandberg,Neo-Humean Rationality and Two Types of Principles,2024
ARVAAM,Alexios Arvanitis,Autonomy and Morality: A Self-Determination Theory Discussion of Ethics,2017
KANNMM,Immanuel Kant and Valentin Mure\c{s}an,\^{I}ntemeierea Metafizicii Moravurilor,1972
KAHDTP,Samuel Kahn,Defending the Possible Consent Interpretation From Actual Objections,2014
FENMPU,Wei Feng,"Menschenw\""{u}rde, Pers\""{o}nlichkeit Und Die Verfassungsm\""{a}s{s}ige Kontrolle. Oder: Starke Normativit\""{a}t Ohne Metaphysik?",2021
ALVGAK,Carlo Alvaro,God and Kant?s Suicide Maxim,2021
KAHART-4,Samuel J. M. Kahn,"A Reply to Bencivenga, ?Consequences in Kantian Ethics.?",2013
CUNIKR,Bruno Cunha,Immanuel Kant: Reflex\~{o}es de Filosofia Moral [Sele\c{c}~{a}o de Notas],2019
EDWUPA-2,Terence Rajivan Edward,When is It Morally Acceptable to Lie?,manuscript
WHIART-6,Jeffrey White,Autonomous Reboot: The Challenges of Artificial Moral Agency and the Ends of Machine Ethics,manuscript
KAPHCO,Erman Kaplama,Heraclitean Critique of Kantian and Enlightenment Ethics Through the Fijian Ethos,2016
MARIAS-9,Jacqueline Mari\~{n}a,Individuality and Subjectivity in Kant and Schleiermacher,2022
YUDMJT,Michael Yudanin,"Merciless Justice: The Dialectic of the Universal and the Particular in Kantian Ethics, Competitive Games, and Bhagavad G\={i}t\=a",2013
LAHMSO,Bernd Lahno,Making Sense of Categorical Imperatives,2006
ROSSAR-4,Luis F. Roselino,Sobre a Recep\c{c}~{a}o Do Conceito de Verantwortlichkeit de Wilhelm Windelband Na Antinomia Das \'{E}ticas da Convic\c{c}~{a}o e da Responsabilidade de Max Weber/the Reception of Wilhelm Windelband?s Concept of Verantwortlichkeit in Max Weber?s Antinomy Between the Ethic of Conviction and the Ethic of Responsibility,2013
WISWAE,Jeremy Wisnewski,Wittgenstein and Ethical Inquiry: A Defense of Ethics as Clarification,2007
PACWSL,Yang Pachankis,Why Should Lgbtqi Marriage Be Legalized,2022
LAHHJ,Bernd Lahno,Hypothetical Justifications,2009
FOOIMA,Philippa Foot,'Is Morality a System of Hypothetical Imperatives?' a Reply to Mr. Holmes,1974
HOLIMA,Robert L. Holmes,Is Morality a System of Hypothetical Imperatives?,1974
SAEOKA,Amir Saemi,On Korsgaard?s Argument for Kant?s Moral Law,2021
MCCKAO,M. H. McCarthy,Kant's Application of the Analytic/Synthetic Distinction to Imperatives,1979
MARHI,John Marshall,Hypothetical Imperatives,1982
DOWTHI,R. S. Downie,The Hypothetical Imperative,1984
BROICA-6,Charlie D. Broad,"Imperatives, Categorical and Hypothetical",1950
ALLTSO-13,Henry E. Allison,The Singleness of the Categorical Imperative,2013
NOWOMT,Piotr Grzegorz Nowak,The Moral Evaluation of Living Organ Donation and Trade in Human Organs in Light of Kant's Ethics,2015
ALBMTT,Maike Albertzart,Missing the Target: Jonathan Dancy?s Conception of a Principled Ethics,2011
HEUHAT,Kelly Heuer,Hypotheticalism and the Objectivity of Morality,manuscript
PROPDA-3,Evangelos D. Protopapadakis,Placebo: Deception and the Notion of Autonomy,2018
LIDMHO,Brendan E. A. Liddell,Mr. Harsanyi on Hypothetical Imperatives,1959
CUNAGD,Bruno Cunha,A G\^{e}nese da \'{E}tica de Kant: O Desenvolvimento Moral Pr\'e-Cr\'{i}tico Em Sua Rela\c{c}~{a}o Com a Teodiceia (Extrato),2017
FORFST-2,Scott Forschler,From Supervenience to ?Universal Law?: How Kantian Ethics Became Heteronomous,2012
STAOTC-5,Scott Stapleford,On the Contradiction in Conception Test of the Categorical Imperative,2007
SIYTCO,Jamsheed Siyar,The Conditionality of Hypothetical Imperatives,2013
SCHDRU-11,H. Schwarz,Der Rationalismus Und der Rigorismus in Kants Ethik. Ii,1898
GIETFO,G. Giesmann,"The Formulations of the Categorical Imperative According to Hj Paton, Anonymous, Klaus Reich and Julius Ebbinghaus",2002
STADBD,Carl Stange,Der Begriff der ?Hypothetischen Imperative? in der Ethik Kants,1900
THAHSO,Bradley Thames,How Should One Live? An Introduction to Ethics and Moral Reasoning,2018
FLOWOT,Mircea Flonta,What Ought to Be Done and What is Forbidden: Rules of Scientific Research as Categorical or Hypothetical Imperatives,2015
BURZAH,"Alex Burri and J\""{u}rg Freudiger","Zur Analytizit\""{a}t Hypothetischer Imperative",1990
MULDPP,Filicio Mulinari,Das Proposi\c{c}~{o}es Pr\'{a}ticas da Cr\'{i}tica da Raz\~{a}o Pr\'{a}tica Pura: Uma An\'{a}lise Dos Conceitos Norteadores da \'{E}tica Kantiana,2015
BACI-7,Stefano Bacin,Imperativo,2011
WAGKCO,Hans Wagner,Kant Concept on Hypothetical Imperative,1994
GLATCO-11,W. D. Glasgow,The Concept of the Categorical Imperative,1969
JACVDB,Reginald Jackson,Vii.--Kant's Distinction Between Categorical and Hypothetical Imperatives,1943
SATKTO,Paula Satne,Kant's Theory of Motivation and Rational Agency,2009
DERHI-2,Grundlegung zur Metaphysik der Sitten,Hypothetische Imperative,2002
BITHI,"R\""{u}diger Bittner",Hypothetische Imperative,1980
ZASKOD,Robert Zaslavsky,Kant on Detective Fiction,1983
LAHUUW,Bernd Lahno,Utilitarismus Und Wahrhaftigkeit,2011
CHRNRA,Chrisoula Andreou,"Non-Relative Reasons and Humean Thought: If What is a Reason for You is a Reason for Me, Where Does That Leave the Humean?",2007
NAKKTO,George Nakhnikian,Kant?s Theory of Hypothetical Imperatives,1992
MASTHA,Lawrence Masek,Treating Humanity as an Inviolable End: An Analysis of Contraception and Altered Nuclear Transfer,2008
ANGETK,Tom Angier,Ethics: The Key Thinkers,2012
SMABNS,Milica Smajevic Roljic,Banjalu\v{c}ki Novembarski Susreti,2021
BAKTHP,Dennis J. Baker,"The Harm Principle Vs. Kantian Criteria for Ensuring Fair, Principled and Just Criminalisation",2008
GRESOT-2,Alex Gregory,Slaves of the Passions? On Schroeder's New Humeanism,2009
TENROC,Sergio Tenenbaum,"Review of Christine Korsgaard's ""Self-Constitution""",2011
AGAPAC,Binod Agarwala,Phronesis and Categorical Imperative,2004
ALEDGV,John Alexander,Did God Violate the Categorical Imperative?,2005
MEAPIA-2,Claudia Meadows,Prostitution in a Kantian View,2019
MURLML,Valentin Muresan,Legea Moral\ua la Kant,2009
