ID,Author,Title,Year
FARCAT-8,Matt Farr,Causation and Time Reversal,2020
RUSOTN-7,Bertrand Russell,On the Notion of Cause,1913
PRICPA-2,Huw Price and Richard Corry,"Causation, Physics and the Constitution of Reality: Russell?s Republic Revisited",2007
EAGCFH,Antony Eagle,Causal Fictionalism,2024
FARARO-2,Matt Farr and Alexander Reutlinger,"A Relic of a Bygone Age? Causation, Time Symmetry and the Directionality Argument",2013
NEYPCA,Alyssa Ney,Physical Causation and Difference-Making,2009
NEYMCA,Alyssa Ney,Microphysical Causation and the Case for Physicalism,2016
CANBDE,Stefano Canali,"Big Data, Epistemology and Causality: Knowledge in and Knowledge Out in Exposomics",2016
WEAFCP,Christopher Gregory Weaver,"Fundamental Causation: Physics, Metaphysics, and the Deep Structure of the World",2018
ROSNOC,Don Ross and David Spurrett,Notions of Cause: Russell?s Thesis Revisited,2007
NORDTC,John D. Norton,Do the Causal Principles of Modern Physics Contradict Causal Anti-Fundamentalism?,2007
FRITMS-5,Mathias Frisch,?The Most Sacred Tenet?? Causal Reasoning in Physics,2009
SHASRO-4,Yafeng Shan,Some Reflections on Causation,2024
ELGIAF,Adam Elga,Isolation and Folk Physics,2007
EARCAM,John Earman,Causation: A Matter of Life and Death,1976
VANIDO-16,Alice van?T. Hoff,In Defense of Causal Eliminativism,2022
CAMICV,John Campbell,"Interventionism, Control Variables and Causation in the Qualitative World",2008
ZINCFI-2,Henrik Zinkernagel,Causal Fundamentalism in Physics,2009
HAUNMC,Matthew C. Haug,No Microphysical Causation? No Problem: Selective Causal Skepticism and the Structure of Completeness-Based Arguments for Physicalism,2019
WEAOTA-3,Christopher Gregory Weaver,On the Argument From Physics and General Relativity,2020
TIECIP,Justin Tiehen,Causation in Physics \& in Phyiscalism,forthcoming
GIBCRI-2,Ben Gibran,Causal Realism in the Philosophy of Mind,2014
SPUTWO,David Spurrett and Don Ross,Three Ways of Worrying About 'Causation',2003
BANICA-4,Sorin Bangu,"Indispensability, Causation and Explanation",2018
AGUCEF,T\'{u}lio Roberto Xavier de Aguiar,Causa\c{c}~{a}o e F\'{i}sica Cl\'{a}ssica: Existe Possibilidade de Concilia\c{c}~{a}o?,2013
LUDWKM,Bernd Ludwig,"Warum Kommen ""Mentale Ursachen"" Physikalischen Erkl\""{a}rungen Eigentlich Nicht in Die Quere? Einige Grunds\""{a}tzliche \""{U}berlegungen Zur Verwendung des Ausdrucks ""a Verursacht B"" Im Umkreis Moderner Naturwissenschaftlicher Theorien",2002
FISSIT-5,M. H. Fisch,Studies in the Nature of Facts.Causality,1935
ACETIO,A. C. Ewing,The Idea of Cause,1929
SHAAAT-16,Yafeng Shan,Alternative Philosophical Approaches to Causation: Beyond Difference-Making and Mechanism,2024
FARROM,Matt Farr,Review of Mathias Frisch's Causal Reasoning in Physics,2016
ZARHOC,Jason Zarri,"Hume on Causation, Relations and ?Necessary Connexions?",manuscript
FARROC,Matt Farr,Review of 'Causation in Science' by Yemima Ben-Menahem,forthcoming
