ID,Author,Title,Year
MERUAP,Trenton Merricks,Objects and Persons,2001
WOOIAC-2,James Woodward,Interventionism and Causal Exclusion,2015
CRATCW,Carl F. Craver and William Bechtel,Top-Down Causation Without Top-Down Causes,2007
SCHOC-2,Jonathan Schaffer,Overdetermining Causes,2003
VAAMCF,Bram Vaassen,Mental Causation for Standard Dualists,2024
BEROU,Sara Bernstein,Overdetermination Underdetermined,2016
CLEMAE,Carol E. Cleland,Methodological and Epistemic Differences Between Historical Science and Experimental Science,2002
MCDRC,Michael McDermott,Redundant Causation,1995
PAPCIM,David Papineau,Causation is Macroscopic but Not Irreducible,2013
FISACA-4,Enno Fischer,Actual Causation and the Challenge of Purpose,2024
ZHOIFA,Lei Zhong,"Intervention, Fixation, and Supervenient Causation",2020
ZHOSEA,Lei Zhong,Sophisticated Exclusion and Sophisticated Causation,2014
KRODMC,Thomas Kroedel,Dualist Mental Causation and the Exclusion Problem,2015
KIMBCD-2,Jaegwon Kim,Blocking Causal Drainage and Other Maintenance Chores with Mental Causation 1,2003
TOURPT,Caroline Torpe Touborg,Relativizing Proportionality to a Domain of Events,2022
HENACE-2,Paul Henne and Laura Niemi and \'{A}ngel Pinillos and Felipe De Brigard and Joshua Knobe,A Counterfactual Explanation for the Action Effect in Causal Judgment,2019
KAICC,Alex Kaiserman,Causal Contribution,2016
KROGMC,Thomas Kroedel and Moritz Schulz,Grounding Mental Causation,2016
WILNPA-5,Jessica Wilson,Non-Reductive Physicalism and Degrees of Freedom,2010
ELDFOA-3,Crawford L. Elder,Familiar Objects and Their Shadows,2011
CLAWYC-2,Christopher Clarke,Why Your Causal Intuitions Are Corrupt: Intermediate and Enabling Variables,2023
WONMCA,Chiwook Won,Mental Causation as Joint Causation,2021
WONOCA,Chiwook Won,"Overdetermination, Counterfactuals, and Mental Causation",2014
BERACL-2,Sara Bernstein,A Closer Look at Trumping,2015
BUNCO,Martin Bunzl,Causal Overdetermination,1979
HIDCP,Eric Hiddleston,Causal Powers,2005
