ID,Author,Title,Year
MCMGI-2,Ernan McMullin,Galilean Idealization,1985
GALCPA-8,J. Dmitri Gallow,A Model-Invariant Theory of Causation,2021
BAUCRM,Michael Baumgartner and Alexander Gebharter,"Constitutive Relevance, Mutual Manipulability, and Fat-Handedness",2016
SARGIN,Sara Bernstein,Grounding is Not Causation,2016
ALICNV,Mark D. Alicke and David Rose and Dori Bloom,"Causation, Norm Violation, and Culpable Control",2011
KOVGAT-3,David Mark Kovacs,Grounding and the Argument From Explanatoriness,2017
PSICAE-5,Stathis Psillos,Causation and Explanation,2002
GEBCEA,Alexander Gebharter,Causal Exclusion and Causal Bayes Nets,2017
ALECNI,Alexander Gebharter,"Causal Nets, Interventionism, and Mechanisms: Philosophical Foundations and Applications",2017
SCHCAA-19,Gerhard Schurz and Alexander Gebharter,Causality as a Theoretical Concept: Explanatory Warrant and Empirical Content of the Theory of Causal Nets,2016
GALTMO-18,J. Dmitri Gallow,The Metaphysics of Causation,2022
PRICPA-2,Huw Price and Richard Corry,"Causation, Physics and the Constitution of Reality: Russell?s Republic Revisited",2007
ROSFIO-3,David Rose,Folk Intuitions of Actual Causation: A Two-Pronged Debunking Explanation,2017
SIETVE,Susanna Siegel,The Visual Experience of Causation,2009
BEBCSA,Jon Bebb and Helen Beebee,Causal Selection and Egalitarianism,2024
CLACNA-3,Randolph Clarke and Joshua Shepherd and John Stigall and Robyn Repko Waller and Chris Zarpentine,"Causation, Norms, and Omissions: A Study of Causal Judgments",2015
ANDAFG-2,Holly Andersen,A Field Guide to Mechanisms: Part Ii,2014
KOVTQO-8,David Mark Kovacs,The Question of Iterated Causation,2022
GALATO-3,J. Dmitri Gallow,A Theory of Structural Determination,2016
SYTTTO-2,Justin Sytsma and Jonathan Livengood and David Rose,Two Types of Typicality: Rethinking the Role of Statistical Typicality in Ordinary Causal Attributions,2012
HATFGI,Gary C. Hatfield,Force (God) in Descartes' Physics,1979
LOCQWQ,Dustin Locke,Quidditism Without Quiddities,2012
SCHMOS-11,"Julia G\""{o}hner and Markus Schrenk",Metaphysics of Science,2019
BUCACO-4,Andrei A. Buckareff,A Critique of Substance Causation,2017
LOEATS-2,Yael Loewenstein,Against the Standard Solution to the Grandfather Paradox,2022
SOSC,Ernest Sosa and Michael Tooley,Causation,1993
REUTGT-2,Kevin Reuter and Lara Kirfel and Raphael van Riel and Luca Barlassina,"The Good, the Bad, and the Timely: How Temporal Order and Moral Judgment Influence Causal Selection",2014
COLCTE-2,Mark Colyvan,Can the Eleatic Principle Be Justified?,1998
BERACL-2,Sara Bernstein,A Closer Look at Trumping,2015
GIBCPA-2,Sophie Gibb,Closure Principles and the Laws of Conservation of Energy and Momentum,2010
HAROVC,Graham Harman,On Vicarious Causation,2007
CANBDE,Stefano Canali,"Big Data, Epistemology and Causality: Knowledge in and Knowledge Out in Exposomics",2016
GEBCGA,Alexander Gebharter and Marie I. Kaiser,Causal Graphs and Biological Mechanisms,2014
GEBAFF,Alexander Gebharter,A Formal Framework for Representing Mechanisms?,2014
GALHTT-2,J. Dmitri Gallow,How to Trace a Causal Process,2022
FERTTA-6,Alison Fernandes,The Temporal Asymmetry of Causation,2023
OWEACA-5,Matthew Owen,Aristotelian Causation and Neural Correlates of Consciousness,2018
BROCOC,Alex Broadbent,Causes of Causes,2012
REDLPC,Miklos Redei and Stephen J. Summers,Local Primitive Causality and the Common Cause Principle in Quantum Field Theory,2001
