ID,Author,Title,Year
KAPD,David Kaplan,"Demonstratives: An Essay on the Semantics, Logic, Metaphysics and Epistemology of Demonstratives and Other Indexicals",1989
ALMTFK,Joseph Almog and John Perry and Howard Wettstein,Themes From Kaplan,1989
STACAC-10,Robert Stalnaker,Context and Content: Essays on Intentionality in Speech and Thought,1999
PERTPO,John Perry,The Problem of the Essential Indexical,1979
KAPA,David Kaplan,Afterthoughts,1989
RCAPTA,Fran\c{c}ois Recanati,Perspectival Thought: A Plea for Moderate Relativism,2007
KAPOTL,David Kaplan,On the Logic of Demonstratives,1979
RABATI,Brian Rabern,Against the Identification of Assertoric Content with Compositional Value,2012
Carpintero1998-GARIAT-7,Manuel Garc'\i{}a{-}Carpintero,Indexicals as Token-Reflexives,1998
SCHAPF-4,Philippe Schlenker,A Plea for Monsters,2002
BRIMAT-8,Brian Rabern and Derek Ball,Monsters and the Theoretical Role of Context,2019
RABTMQ,Brian Rabern,Monsters in Kaplan?s Logic of Demonstratives,2013
MONP-3,Richard Montague,Pragmatics,1968
MICSRS,Eliot Michaelson,"Speaker's Reference, Semantic Reference, Sneaky Reference",2022
MONPAI,Richard Montague,Pragmatics and Intensional Logic,1970
HAZRLN,Tristan Gr\o{}tvedt Haze,Reversing Logical Nihilism,2022
VIEWOU,Emanuel Viebahn,Ways of Using Words: On Semantic Intentions,2020
PREIAN-2,Stefano Predelli,I Am Not Here Now,1998
CORWII-3,Eros Corazza and William Fish and Jonathan Gorvett,Who is I?,2002
STODAL,Una Stojni\'c and Matthew Stone and Ernie Lepore,"Discourse and Logical Form: Pronouns, Attention and Coherence",2017
KHOQI,Justin Khoo,Quasi Indexicals,2018
BRAI-3,David Braun,Indexicals,2014
STOIS-2,A. Stokke,Intention-Sensitive Semantics,2010
MICSC-3,Eliot Michaelson,Shifty Characters,2014
PREUIA,Stefano Predelli,"Utterance, Interpretation and the Logic of Indexicals",1998
STODEW,Una Stojnic and Matthew Stone and Ernie Lepore,Deixis (Even Without Pointing),2013
SANRAM,Paolo Santorio,Reference and Monstrosity,2012
BRADAT-2,David Braun,Demonstratives and Their Linguistic Meanings,1996
SPEAPA-3,Jeff Speaks,A Puzzle About Demonstratives and Semantic Competence,2017
DELTLO-12,Guillermo Del Pinal,"The Logicality of Language: A New Take on Triviality, ?Ungrammaticality?, and Logical Form",2017
GASLIA,Luca Gasparri,Lexical Innovation and the Periphery of Language,2021
BOWSPO-2,Mark Bowker,Shifting Perspective on Indexicals,2022
FORIAI,Graeme Forbes,Indexicals and Intensionality: A Fregean Perspective,1987
CIENRF,Tadeusz Ciecierski and Jakub Rudnicki,A Not-so-Simple Rule for ?I?,2023
MAKDAA-2,Piotr Tomasz Makowski and Tadeusz Ciecierski,Demonstrations as Actions,2022
CAPPTI,Ben Caplan,Putting Things in Contexts,2003
PICRTP,Bryan Pickel and Brian Rabern and Josh Dever,Reviving the Parameter Revolution in Semantics,2018
Romluc2006-ROMI-2,K. Romdenh{-}Romluc,I,2006
PREMMA,Stefano Predelli,Modal Monsters and Talk About Fiction,2008
MCCDU-2,Mark McCullagh,Distributed Utterances,2020
MITSCI-4,Jonathan Mitchell,"Self-Locating Content in Visual Experience and the ""Here-Replacement"" Account",2021
BRAWIC,David Braun,What is Character?,1995
CAPP-3,Alessandro Capone,Pragmemes,2005
MAIAPA,Emar Maier,A Plea Against Monsters,2016
BRIIIR,Adrian Briciu,Indexicals in Remote Utterances,2018
HELRMM,Benj Hellie and Adam Russell Murray and Jessica Wilson,Relativized Metaphysical Modality: Index and Context,2018
SANCS-4,Paolo Santorio,Context-Free Semantics,2019
SHECC-3,Brett Sherman,Constructing Contexts,2015
STOPTO-2,Una Stojni\'c and Matthew Stone and Ernie Lepore,Pointing Things Out: In Defense of Attention and Coherence,2020
PREKTM,Stefano Predelli,Kaplan's Three Monsters,2014
STOFPO-2,Una Stojnic and Daniel Altshuler,"Formal Properties of ""Now"" Revisited",2021
STEUAA,Graham Stevens,Utterance at a Distance,2009
DAVCBD-3,Alex Davies,Communicating by Doing Something Else,2018
PENIAD,Carlo Penco,"Indexicals as Demonstratives: On the Debate Between Kripke and K\""{u}nne",2013
MCCKOM-4,Mark McCullagh,Kinds of Monsters and Kinds of Compositionality,2018
ISRWMD,David Israel and John Perry,Where Monsters Dwell,1996
ZIMCD,Thomas Ede Zimmermann,Context Dependence,2012
PENEID,Carlo Penco,Essentially Incomplete Descriptions,2010
SMIWBD,J. P. Smit,Why Bare Demonstratives Need Not Semantically Refer,2012
BRIOCS-2,Adrian Briciu,On Context Shifters and Compositionality in Natural Languages,2018
HUAAPF,Minyao Huang,A Plea for Radical Contextualism,2017
RECITT,Fran\c{c}ois Recanati,Indexical Thought: The Communication Problem,2016
IACTPI,Andrea Iacona,Truth Preservation in Any Context,2010
SCHPAA-7,Phlippe Schlenker,Propositional Attitudes and Indexicality (a Cross-Categorial Approach),1999
BARLMK,Tomas Barrero,Los Monstruos Kaplanianos y la L\'{o}gica de Los Demostrativos (1st edition),2023
DEVBIC,Joshua Dever,Binding Into Character,2004
RECLPP,Francois Recanati,Le Pr\'{e}sent \'{E}pistolaire: Une Perspective Cognitive,1995
BELUCL-2,Nuel Belnap,Under Carnap?s Lamp: Flat Pre-Semantics,2005
MAIQMA,Emar Maier,"Quotation Marks as Monsters, or the Other Way Around?",2007
RASRAI-2,Erich Rast,Reference and Indexicality,2006
JIMDDP,William Jimenez Leal and Tomas Barrero,Desambiguaci\'{o}n de Presuposiciones Anaf\'{o}ricas: El Caso de ?Tambi\'{e}n?,forthcoming
STEMAC-10,Josef Judah Stern,Metaphor in Context,2000
