ID,Author,Title,Year
HARTLO-8,Charles Hartshorne,The Logic of Perfection,1962
HARPSO,Charles Hartshorne and William L. Reese,Philosophers Speak of God,2000
HARCSA-4,Charles Hartshorne,Creative Synthesis and Philosophic Method,1970
HARTMO-8,Charles Hartshorne,"The Meaning of ""is Going to Be""",1965
HARAD,Charles Hartshorne,Anselm's Discovery,1965
HARWPS-2,Charles Hartshorne,"Whitehead's Philosophy; Selected Essays, 1935-1970",1972
HARRAS-2,Charles Hartshorne,Reality as Social Process,1953
DOMHAT,Daniel A. Dombrowski,Hartshorne and the Metaphysics of Animal Rights,1988
COBMIN,John B. Cobb and David Ray Griffin,Mind in Nature,1977
HARCNA,Charles Hartshorne,Causal Necessities: An Alternative to Hume,1954
DECSWB-2,Jan Deckers,Should Whiteheadians Be Vegetarians? A Critical Analysis of the Thoughts of Hartshorne and Dombrowski,2011
DOMCH,Dan Dombrowski,Charles Hartshorne,2008
HARTFV,Charles Hartshorne,The Formal Validity and Real Significance of the Ontological Argument,1944
HARBES,Charles Hartshorne,Beyond Enlightened Self-Interest: A Metaphysics of Ethics,1974
HARTZF,Charles Hartshorne,The Zero Fallacy and Other Essays in Neoclassical Philosophy,1997
DOMDBT,Daniel A. Dombrowski,Divine Beauty: The Aesthetics of Charles Hartshorne,2004
HARRP,Charles Hartshorne,Real Possibility,1963
HARTLO-2,Charles Hartshorne,The Logic of the Ontological Argument,1961
ENGWOA,Mylan Engel,What Ontological Arguments Don?T Show,2020
PHIHAI,Stephen H. Phillips,Hartshorne and Indian Panentheism,2010
HARPAP,Charles Hartshorne,Physics and Psychics: The Place of Mind in Nature,1977
HARBH,Charles Hartshorne,Beyond Humanism,1937
PRARDH,Douglas Pratt,Relational Deity: Hartshorne and Macquarrie on God,2002
HARCAT-4,Charles Hartshorne,Contingency and the New Era in Metaphysics (Ii),1932
HARFRI,Charles Hartshorne,Freedom Requires Indeterminism and Universal Causality,1958
HARDAE-2,Charles Hartshorne,Deliberation and Excluded Middle,1964
KIMAPI-5,Kevin Kimble,"""Anselm's Principle"" in Hartshorne's Modal Argument",2024
GUNBAB,Colin E. Gunton,Becoming and Being: The Doctrine of God in Charles Hartshorne and Karl Barth,1978
HARTDA-2,Charles Hartshorne,The Darkness and the Light: A Philosopher Reflects Upon His Fortunate Career and Those Who Made It Possible,1990
VINCHA,Donald Wayne Viney,Charles Hartshorne and the Existence of God,1985
HARMAR-2,Charles Hartshorne,Mysticism and Rationalistic Metaphysics,1976
HARPAI,Charles Hartshorne,Process as Inclusive Category: A Reply,1955
HARWDF,Charles Hartshorne,Whitehead's Differences From Buddhism,1975
HARARO-4,Charles Hartshorne,A Revision of Peirce's Categories,1980
SHIFAL-2,George W. Shields,Fate and Logic: Cahn on Hartshorne Revisited,1988
PALRIT,Clare Palmer,"Religion in the Making? Animality, Savagery, and Civilization in the Work of A. N. Whitehead",2000
OBOPOR,Teresa Obolevitch,Philosophy of Religion Through Two Lenses: Charles Hartshorne Reads Semen Frank,2023
AUTHBA,Donald Wayne Viney and George W. Shields,Hartshorne: Biography and Psychology of Sensation,2015
AUTHTA,Donald Wayne Viney and George W. Shields,Hartshorne Theistic and Anti-Theistic Arguments,2015
PETHAN,Eugene Herbert Peters,Hartshorne and Neoclassical Metaphysics,1970
REEPAD-3,William L. Reese and Eugene Freeman,Process and Divinity Philosophical Essays Presented to Charles Hartshorne,1964
HAREAA,Charles Hartshorne and John B. Cobb and Franklin I. Gamwell,Existence and Actuality: Conversations with Charles Hartshorne,1984
BRETET-3,Robert Walter Bretall,The Empirical Theology of Henry Nelson Wieman,1963
TOWTDT,Edgar A. Towne,The Divine Transcendence and Relation to Evil in Hartshorne's Dipolar Theism,2011
DOMAAH,Daniel A. Dombrowski,Alston and Hartshorne on the Concept of God,1994
BURPIH,Sharon Peebles Burch,Panentheism in Hartshorne and Tillich,1998
DANLHA,Daniel Dombrowski,"Lovejoy, Hartshorne, and Progress in Philosophy",1994
HARPAT-2,Charles Hartshorne,"Perception and the ""Concrete Abstractness"" of Science",1974
HARTRO-6,Charles Hartshorne,The Rights of the Subhuman World,1979
