ID,Author,Title,Year
NOLQP,Daniel Nolan,Quantitative Parsimony,1997
HUDSTT,Robert Hudson,Seeing Things: The Philosophy of Reliable Observation,2013
COKJPA,Klodian Coko,Jean Perrin and the Philosophers? Stories: The Role of Multiple Determination in Determining Avogadro?s Number,2020
MCGAAT-9,J. E. McGuire,Atoms and the ?Analogy of Nature?: Newton's Third Rule of Philosophizing,1970
NEEDP,Paul Needham,Duhem's Physicalism,1998
PSIMCW,Stathis Psillos,Making Contact with Molecules: On Perrin and Achinstein,2011
NEEDTO,Paul Needham,Duhem?s Theory of Mixture in the Light of the Stoic Challenge to the Aristotelian Conception,2002
KUHRBA-3,Thomas Kuhn,Robert Boyle and Structural Chemistry in the Seventeenth Century,1952
NEERCA,Paul Needham,Resisting Chemical Atomism: Duhem?s Argument,2008
NEEWDA,Paul Needham,When Did Atoms Begin to Do Any Explanatory Work in Chemistry?,2004
WRATRA,K. Brad Wray,Theodore Richards and the Discovery of Isotopes,2022
MEIESA-2,Christoph Meinel,"Early Seventeenth-Century Atomism: Theory, Epistemology, and the Insufficiency of Experiment",1988
NEEMOA-2,Paul Needham,Macroscopic Objects: An Exercise in Duhemian Ontology,1996
NYHPOT,John Nyhof,Philosophical Objections to the Kinetic Theory,1988
TABTAI,Keith S. Taber,"The Atom in the Chemistry Curriculum: Fundamental Concept, Teaching Model or Epistemological Obstacle?",2003
HARCKA,Rom Harr\'e,Chemical Kinds and Essences Revisited,2004
BROTAD-5,W. Brock and D. Knight,"The Atomic Debates: ""Memorable and Interesting Evenings in the Life of the Chemical Society""",1965
REGPAT,Henk W. De Regt,Philosophy and the Kinetic Theory of Gases,1996
THATOO-3,Arnold Thackray,The Origin of Dalton's Chemical Atomic Theory: Daltonian Doubts Resolved,1966
ACHWTD-3,Peter Achinstein,What to Do If You Want to Defend a Theory You Cannot Prove,2010
LTHALA,"C. H. L\""{u}thy","Atomism, Lynceus, and the Fate of Seventeenth-Century Microscopy",1996
CHAAAA-2,Alan F. Chalmers,Atom and Aether in Nineteenth-Century Physical Science,2008
NASTOO-3,Leonard Nash,The Origin of Dalton's Chemical Atomic Theory,1956
HUDWWP,Robert Hudson,What Was Perrin Really Doing in His Proof of the Reality of Atoms?,2020
BROCAA-7,Joshua D. K. Brown,Chemical Atomism: A Case Study in Confirmation and Ontology,2015
NEEANA,Paul Needham,Atomic Notation and Atomistic Hypotheses Translated by Paul Needham,2000
DAUAAT-3,Edward Daub,Atomism and Thermodynamics,1967
KARWPM,Robert Kargon,William Petty's Mechanical Philosophy,1965
BROSIT-17,W. H. Brock,Studies in the History of Prout's Hypotheses Part I,1969
MAUTAS-2,Seymour Mauskopf,The Atomic Structural Theories of Amp\`{e}re and Gaudin: Molecular Speculation and Avogadro's Hypothesis,1969
PENAIQ,Vasil Penchev,Atomism in Quantum Mechanics and Information,2020
DAVSAT-7,Anne Davenport,Scotus as the Father of Modernity. The Natural Philosophy of the English Franciscan Christopher Davenport in 1652,2007
CARMTI-4,Louis Caruana,Mechanistic Trends in Chemistry,2018
BERJCM-5,Henry Bernstein,"J. Clerk Maxwell on the History of the Kinetic Theory of Gases, 1871",1963
BOAAEV-2,Marie Boas,An Early Version of Boyle's: Sceptical Chymist,1954
GUEQIC-2,Henry Guerlac,Quantification in Chemistry,1961
BRUTDO-3,S. G. Brush,The Development of the Kinetic Theory of Gases Iv. Maxwell,1958
KERTSA-6,Milton Kerker,The Svedberg and Molecular Reality,1976
MACRBE,J. J. MacIntosh,Robert Boyle's Epistemology: The Interaction Between Scientific and Religious Knowledge,1992
FULRBA-3,J. Fulton,Robert Boyle and His Influence on Thought in the Seventeenth Century,1932
ROCTRO-3,Alan Rocke,The Reception of Chemical Atomism in Germany,1979
KARWCR-2,Robert Kargon,"Walter Charleton, Robert Boyle, and the Acceptance of Epicurean Atomism in England",1964
JOHA-14,Monte Johnson,Atomismus,2005
EKHHAH,Karin Ekholm,Harvey's and Highmore's Accounts of Chick Generation,2008
THYMPL,Pieter Thyssen,Mendeleev?s Periodic Law and the 19Th Century Debates on Atomism,forthcoming
IVAROT-3,Milena Ivanova,Reflections on the Reception of Jean Perrin?s Experiments by His Contemporaries,2020
TALSEK,G. R. Talbot and A. J. Pacey,Some Early Kinetic Theories of Gases: Herapath and His Predecessors,1966
SNEJSC-2,H. Snelders,J. S. C. Schweigger: His Romanticism and His Crystal Electrical Theory of Matter,1971
SCHKNY-2,Cecil Schneer,Kepler's New Year's Gift of a Snowflake,1960
ROCGAD-3,Alan Rocke,Gay-Lussac and Dumas: Adherents of the Avogadro-Amp\`{e}re Hypothesis?,1978
HUNTMO-12,Michael Hunter and Edward B. Davis,The Making of Robert Boyle' s Free Enquiry Into the Vulgarly Receiv'd Notion of Nature,1996
LEISAR,F\'{a}bio Rodrigo Leite,Sobre as Rela\c{c}~{o}es Hist\'{o}ricas Entre a F\'{i}sica e a Metaf\'{i}sica Na Obra de Pierre Duhem,2013
THAFRO-2,Arnold W. Thackray,Fragmentary Remains of John Dalton,1966
HERTPO-15,Clarence L. Herrick,The Passing of Scientific Materialism,1905
Robino2023-BANFTA,Marina Paola Banchetti{-}Robino and Giovanni Villani,From the Atom to Living Systems: A Chemical and Philosophical Journey Into Modern and Contemporary Science,2023
SCHCOT-16,J. Schufle,"Comments on ""the Svedberg and Molecular Reality""",1977
EVECO,William R. Everdell,"25 Centuries of Atoms and Void. Pullman, Bernard, the Atom in the History of Human Thought, Translated by Axel R. Reisinger",1999
BEYMOA-2,Alan Beyerchen,Memoirs of a Physicist in the Atomic Agewalter M. Elsasser,1980
LEIBLL-2,Henry Leicester,"Boyle, Lomonosov, Lavoisier, and the Corpuscular Theory of Matter",1967
ROMTEH-2,Alfred Romer,"The Experimental History of Atomic Charges, 1895-1903",1942
UCHNOM,Soshichi Uchii,Notes on Mayo's Notion of Severity,2001
BANLCC,Marina P. Banchetti,La Chimie de Robert Boyle Et la Philosophie Contemporaine de la Chimie: Rencontre Et Perspectives,forthcoming
FORAOA-3,Paul Forman,Atomic Order. An Introduction to the Philosophy of Microphysicsenrico Cantore,1970
COLEAS-2,Theron Cole Jr,Early Atomic Speculations of Marc Antoine Gaudin: Avogadro's Hypothesis and the Periodic System,1975
BIGAVH,Charlotte Bigg,A Visual History of Jean Perrin's Brownian Motion Curves,2011
STOTAV-3,G. Stones,"The Atomic View of Matter in the Xvth, Xvith, and Xviith Centuries",1928
HADBAM,Pandora Hadzidaki,Bohr's Atomic Model and Paraconsistent Logic,
AITTCB-2,E. Aiton,The Conflict Between Atomism and Conservation Theory 1644 to 1860. Wilson L. Scott,1972
DECLBM-2,N. de Courtenay,Ludwig Boltzmann--the Man Who Trusted Atoms,2002
THYATR,Pieter Thyssen,Accommodating the Rare Earths in the Periodic Table: A Historical Analysis,2009
Robino2020-BANTCP,Marina Paola Banchetti{-}Robino,"The Chemical Philosophy of Robert Boyle: Mechanicism, Chymical Atoms, and Emergence",2020
