ID,Author,Title,Year
OLBMEI-2,Amy Olberding,Moral Exemplars in the Analects: The Good Person is That,2011
ROSTCC-2,Henry Rosemont,The Chinese Classic of Family Reverence: A Philosophical Translation of the X Iaojing,2008
CSIMVE,Mark Csikszentmihalyi,Material Virtue: Ethics and the Body in Early China,2004
CHELAC,Chenyang Li,Li as Cultural Grammar: On the Relation Between Li and Ren in Confucius' Analects,2007
WONCEE,Pak{-}Hang Wong,"Confucian Environmental Ethics, Climate Engineering, and the ?Playing God? Argument",2015
METCHF,Thaddeus Metz,Confucian Harmony From an African Perspective,2016
LAMCBE,Kit{-}Chun Joanna Lam,Confucian Business Ethics and the Economy,2003
Loi2009-KWOSCA,Shun Kwong{-}Loi,Studying Confucian and Comparative Ethics: Methodological Reflections,2009
METVIC-2,Thaddeus Metz,???????????,2000
METUAA-3,Thaddeus Metz,Confucianism and African Philosophy,2017
LITCP-2,Yong Li,The Confucian Puzzle,2012
TIWDZD,Justin Tiwald,Dai Zhen's Defense of Self-Interest,2011
LIRC,Chenyang Li,Revisiting Confucian,2002
METSCS,Thaddeus Metz,Communication Strategies in the Light of Indigenous African and Chinese Values: How to Harmonize,2020
LIUTUO,Yuli Liu,The Unity of Rule and Virtue: A Critique of a Supposed Parallel Between Confucian Ethics and Virtue Ethics,2004
TUCET,Weiming Tu,Confucian Ethics Today: The Singapore Challenge,1984
METVIC-3,Thaddeus Metz,"The Wrongness of Slurs: Harm, Disrespect, and Discord",2025
AXTSFT,Guy Axtell,Starting From the Muses: Engaging Moral Imagination Through Memory?s Many Gifts,2021
METVIC,Thaddeus Metz,Values in China as Compared to Africa,2015
EBEGAS,Wolfram Eberhard,Guilt and Sin in Traditional China,1967
BLANCV,Donald N. Blakeley,"Neo-Confucian Cosmology, Virtue Ethics, and Environmental Philosophy",2001
MCLTBR,Alexus McLeod,The Bloomsbury Research Handbook of Early Chinese Ethics and Political Philosophy,2018
RANLTE-2,Shyam Ranganathan,"Lao Tzu's Ethics: Taoism (Ethics-1, M35)",2016
CHOYOH,Myo?ng{-}hu?i Ch'o?n,Yo?Kchu Oryun Haengsilto,2019
ZENDDY,Zhaoxu Zeng,Dao de Yu Dao de Shi Jian,1932
WANZLL,Xiaoxi Wang,Zhongguo Lun Li Xue 60 Nian,2009
LIZCD,Bin Li,Zou Chu Dao de Kun Jing: She Hui Zhuan Xing Qi de Dao de Sheng Huo Yan Jiu,2011
HARKND,Shigeharu Hara,Ko?a No Do?Ho?,1940
ZHUVS-8,Wang Zeying zhu,V. 5]. Song Yuan Juan,2014
XUZJX,Shaojin Xu,Zhongguo Jia Xun Shi,2011
CAIZLL-2,Yuanpei Cai,Zhongguo Lun Li Xue Shi,1999
TANZMZ-2,Kailin Tang and Zeying Wang and Hengtian Gao and Peichao Li and Bin Li,Zhonghua Min Zu Dao de Sheng Huo Shi,2014
CHEZCT,Ying Chen,Zhongguo Chuan Tong Lun Li Yu She Hui Zhu Yi Xian Jin Wen Hua,2012
YOSWMO,Yokufu? Yoshino,Waga Michi,1972
WANXYJ,Jianjiang Wang,"Xiu Yang, Jing Jie, Shen Mei: Ru Dao Shi Xiu Yang Mei Xue Jie Du",2003
LIUGSG,Zehua Liu and Rongming Zhang,Gong Si Guan Nian Yu Zhongguo She Hui,2003
