ID,Author,Title,Year
CHAASB,Wing{-}Tsit Chan,A Source Book in Chinese Philosophy,1963
CUAEOC-2,Antonio S. Cua,Encyclopedia of Chinese Philosophy,2002
ALLCFS,Robert Elliott Allinson,Chuang-Tzu for Spiritual Transformation: An Analysis of the Inner Chapters (8th edition),2008
BANDAY,Rafal Banka,Dao as You? Dropping Proper Parthood in a Mereological Reconstruction of Daoist Metaphysics,2022
KUPLFA,Joel Kupperman,Learning From Asian Philosophy,1999
WANIAC-4,Xinli Wang,Incommensurability and Comparative Philosophy,2018
OLBINT,Amy Olberding,"It?s Not Them, It?s You: A Case Study Concerning the Exclusion of Non-Western Philosophy",2015
BRUTPC,Brian Bruya,The Philosophical Challenge From China,2015
LEDRIP,Harvey Lederman,Remarks in Panel Discussion at Academia Sinica?s ?Language and Practice in East Asian Thought? Conference,2024
STAEE-2,Mog Stapleton,Enacting Education,2020
GOOSAC-5,L. Carrington Goodrich and Joseph Needham,"Science and Civilization in China. Vol. I, Introductory Orientations",1954
CONVAR,Tim Connolly,Virtues and Roles in Early Confucian Ethics,2016
BROWCT,Lajos L. Brons,"Wang Chong, Truth, and Quasi-Pluralism",2015
BANROC-4,Rafa\l Banka,Rules of Composition: A Mereological Examination of the Dao-You Relation,2019
HUACS,Xingming Hu,A Critical Survey of Some Recent Philosophical Research in China,2016
ALLOFB,Robert Elliott Allinson,"Of Fish, Butterflies and Birds: Relativism and Nonrelative Valuation in the Zhuangzi",2015
ROBDZT,Robin Wang,Dong Zhongshu's Transformation of Yin-Yang Theory and Contesting of Gender Identity,2005
COKHVR,Bradford Cokelet,How Virtue Reforms Attachment to External Goods: The Transformation of Happiness in the Analects,2020
VANRTA,Bryan W. Van Norden,Response to Angle and Slote,2009
COUPOT-2,Steve Coutinho and Kurtis Hagen,Philosophers of the Warring States: A Sourcebook in Chinese Philosophy,2018
ALLTPO-58,Robert Elliott Allinson,The Primacy of Duty and its Efficacy in Combating Covid-19,2020
REIAVB,Heather L. Reid,Athletic Virtue: Between East and West,2010
EPLCEA,Kelly Epley,Care Ethics and Confucianism: Caring Through \emph{Li},2015
White2016-PANBRH,Ann A. Pang{-}White,Bloomsbury Research Handbook of Chinese Philosophy and Gender,2016
