ID,Author,Title,Year
CRUTEC-2,Vincenzo Crupi and Andrea Iacona,The Evidential Conditional,2022
NUSTTO-2,Martha Craven Nussbaum,The Therapy of Desire: Theory and Practice in Hellenistic Ethics,1994
LONTHP-5,A. A. Long and D. N. Sedley,"The Hellenistic Philosophers: Volume 1, Translations of the Principal Sources with Philosophical Commentary",1987
NAWTSA,Tamer Nawar,The Stoic Account of Apprehension,2014
ANNHPO,Julia Annas,Hellenistic Philosophy of Mind,1992
DEHRIA,Vanessa de Harven,Rational Impressions and the Stoic Philosophy of Mind,2017
GOUTPO-19,Josiah Gould,The Philosophy of Chrysippus,1970
BOBDFA-2,Susanne Bobzien,"Determinism, Freedom, and Moral Responsibility: Essays in Ancient Philosophy",2021
DEHHNC,Vanessa de Harven,How Nothing Can Be Something: The Stoic Theory of Void,2015
RESCDA,Michael Rescorla,Chrysippus' Dog as a Case Study in Non-Linguistic Cognition,2009
NOLSG,Daniel P. Nolan,Stoic Gunk,2006
SHOSOM,Simon Shogry,Seneca on Moral Improvement Through Dialectical Study: A Chrysippean Reading of \emph{Letter} 87,forthcoming
SHOTSF,Simon Shogry,The Starting-Points for Knowledge: Chrysippus on How to Acquire and Fortify Insecure Apprehension,2021
TIEC_A-3,Teun Tieleman,Chrysippus? \emph{on Affections}: Reconstruction and Interpretation,2003
BOBCAT,Susanne Bobzien,Chrysippus and the Epistemic Theory of Vagueness,2002
STOCOI-4,Pavle Stojanovi\'c,Chrysippus on Imagination in Aetius 4.12,2020
HELCAT-8,Reier Helle,Colocation and the Stoic Definition of Blending,2022
ASSWCP,Sosseh Assaturian,"Why Children, Parrots, and Actors Cannot Speak: The Stoics on Genuine and Superficial Speech",2022
OKEATO,Tim O'Keefe,Ancient Theories of Freedom and Determinism,2020
GILDCU-2,Christopher Gill,Did Chrysippus Understand Medea?,1983
DEHNPA,Vanessa de Harven,"Necessity, Possibility and Determinism in Stoic Thought",2016
FLOSAA,Luciano Floridi,Scepticism and Animal Rationality: The Fortune of Chrysippus' Dog in the History of Western Thought,1997
BOBTCO-2,Susanne Bobzien,The Combinatorics of Stoic Conjunction,2011
BOBCTO,Susanne Bobzien,Chrysippus' Theory of Causes,1998
COOCOP-2,John M. Cooper,Chrysippus on Physical Elements,2009
STRTRO-15,Gisela Striker,The Role of Oikeiosis in Stoic Ethics,1983
ALLAPA-2,James Allen,Academic Probabilism and Stoic Epistemology,1994
OKETSO,Tim O'Keefe,The Stoics on Fate and Freedom,2016
CELTSA-2,Aiste Celkyte,The Stoics and Economic Rationality,2024
JEDSVC,Christoph Jedan,Stoic Virtues: Chrysippus and the Religious Character of Stoic Ethics,2009
AISTSD,Aiste Celkyte,The Stoic Definition of Beauty as Summetria,2017
BRUPIH-3,Jacques Brunschwig,Papers in Hellenistic Philosophy,1994
WHIZAR-2,Michael J. White,"Zeno's a Rrow, Divisible Infinitesimals, and Chrysippus",1982
GOUCOT-2,Josiah B. Gould,Chrysippus: On the Criteria for the Truth of a Conditional Proposition,1967
IOPCAT,Anna Maria Ioppolo,Chysippus and the Action Theory of Aristo of Chios,2012
TIEGAC,Teun Tieleman,"Galen and Chrysippus on the Soul: Argument and Refutation in the de Placitis, Books Ii-Iii",1996
