ID,Author,Title,Year
CRUOOA,Vincenzo Crupi and Andrea Iacona,Outline of a Theory of Reasons,2023
KRBNFB,"Nils K\""{u}rbis",Normalisation for Bilateral Classical Logic with Some Philosophical Remarks,2021
KRBBIP,"Nils K\""{u}rbis",Bilateral Inversion Principles,2022
BEZTES,Jean{-}Yves Beziau and Ioannis Vandoulakis,The Exoteric Square of Opposition.,2022
KELATA-6,Ruaan Kellerman and Valentin Goranko,Approximating Trees as Coloured Linear Orders and Complete Axiomatisations of Some Classes of Trees,2021
PASTSF,Matteo Pascucci and Giovanni Sileno,The Search for Symmetry in Hohfeldian Modalities,2021
CARMFI,Fabrizio Cariani,Modeling Future Indeterminacy in Possibility Semantics,manuscript
DEZANO,Gustavo Fern\'{a}ndez D\'{i}ez,A Note on Plural Logic,2010
STYFST,Avril Styrman and Aapo Halko,Finitist Set Theory in Ontological Modeling,2018
KARHOA,Mehmet Karabela,History of Arabic Logic,2021
PICOAS,Gustavo Picazo,Oliver and Smiley on the Collective?Distributive Opposition,2022
PICIDO-3,Gustavo Picazo,In Defence of Discrete Plural Logic (or How to Avoid Logical Overmedication When Dealing with Internally Singularized Pluralities),2022
FARTED,Gheorghe{-}Ilie Farte,Traits Essentiels d'Une Formalisation Ad\'{e}quate,2020
PENTCF-4,Vasil Penchev,The Completeness: From Henkin's Proposition to Quantum Computer,2018
TURFAC-3,Derek D. Turner,Form and Content: An Introduction to Formal Logic,2020
EAGFA,Antony Eagle and Tim Button and P. D. Magnus,Forallx Adelaide,manuscript
LOBAED,Matheus P. Lobo,A Exist\^{e}ncia de Axiomas \'E Um Axioma,2024
PASOAA-2,Alexander Paseau,On an Application of Categoricity,2005
KANWIL-3,Yusuke Kaneko,What is Lk? Vol.3. Operational Inference-Figures for Propositional Logic (Textbook Series in Symbolic Logic) (1st edition),2024
KANWIL-4,Yusuke Kaneko,What is Lk? Vol.4. Operational Inference-Figures for Predicate Logic (Textbook Series in Symbolic Logic) (1st edition),2024
TPNTDP,Jan \v{S}t\v{e}p\'{a}nek,Tarsk\'{e}ho Definice Pojmu Pravdy a Jej\'i Kritika,2010
RANNOH,Sebastian Rand,"Notes on Hegel?s ?New Account of Conceptual Form?,? Critique Online Symposium on Sally Sedgwick?s Hegel?s Critique of Kant; From Dichotomy to Identity",2015
SIOATM,Avi Sion,All the More: A Merged List of 72 Qal Vachomer Arguments in the Tanakh (1st edition),2024
SEDLYE,Igor Sedl\'{a}r,Logica Yearbook 2023,forthcoming
KARHOA-2,Mehmet Karabela,History of Arabic Logic,2021
KANWIL,Yusuke Kaneko,What is Lk? Vol.1. Sequent (Textbook Series in Symbolic Logic) (1st edition),2023
STRQEF,Christian Stra\s{s}er,Quantifier Elimination for Queues,2006
PASWIL,A. C. Paseau,What is Logical Consequence?,2024
SILSCA-2,Matheus Silva,Subjunctive Conditionals Are Material,manuscript
SILTLW,Matheus Silva,The Logical Web,manuscript
JAICMP,Vijay K. Jain,\={A}c\={a}rya M\={a}c{n}ikyanandi?s Par\={i}k\c{s}={a}mukha S\={u}tra ? Essence of the Jaina Ny\={a}ya ?????? ???????????? ?????? ?????????? ?????,2021
SEYCLW,Maria Seykora,Classical Logic with Informal Logic (1st edition),forthcoming
MARCLD-4,Seykora Maria L.,Classical Logic,2022
