ID,Author,Title,Year
VELLAA,J. David Velleman,Love as a Moral Emotion,1999
PRIIEN,Jesse J. Prinz,Is Empathy Necessary for Morality,2011
ELPTGO,Andreas Elpidorou,The Good of Boredom,2018
MITEAA-3,Jonathan Mitchell,Emotion and Attention,2022
MADSPA-4,Alex Madva and Michael Brownstein,"Stereotypes, Prejudice, and the Taxonomy of the Implicit Social Mind",2016
RICTCP-4,Louise Richardson and Matthew Ratcliffe and Becky Millar and Eleanor Byrne,The Covid-19 Pandemic and the Bounds of Grief,2021
ELPIBO,Andreas Elpidorou,Is Boredom One or Many? A Functional Solution to the Problem of Heterogeneity,2020
SOLTPT,Robert C. Solomon,The Passions. The Myth and Nature of Human Emotions,1976
NEUATI-5,Jerome Neu,A Tear is an Intellectual Thing: The Meanings of Emotion,2000
GRIIEA,Paul Griffiths,Is Emotion a Natural Kind?,2004
CSOTAF,Robert C. Solomon,Thinking About Feeling: Contemporary Philosophers on Emotions,2004
LAHOTE,Bernd Lahno,On the Emotional Character of Trust,2001
DAVATO,Wayne A. Davis,A Theory of Happiness,1981
JGEM,"Christoph J\""{a}ger and Anne Bartsch",Meta-Emotions,2006
HAYHAP,Daniel M. Haybron,Happiness and Pleasure,2001
ZINCEA,Alexandra Zinck and Albert Newen,Classifying Emotion: A Developmental Account,2008
LOAFAT-2,Juan R. Loaiza,Functionalism and the Emotions,2021
KURAEP-3,Charlie Kurth,Are Emotions Psychological Constructions?,2019
DRURAA,John J. Drummond,Respect as a Moral Emotion: A Phenomenological Approach,2006
DEBBEA,Dorothea Debus,Being Emotional About the Past: On the Nature and Role of Past-Directed Emotions,2007
CLAROH,Jason A. Clark,Relations of Homology Between Higher Cognitive Emotions and Basic Emotions,2010
MATBUA-2,Mohan Matthen,Biological Universals and the Nature of Fear,1998
PRIWEA,Jesse Prinz,Which Emotions Are Basic?,2004
PRIE-11,Carolyn Price,Emotion,2015
KRIJAD-4,Kristj\'{a}n Kristj\'{a}nsson,Justice and Desert-Based Emotions,2005
EDF,Tom Cochrane,Eight Dimensions for the Emotions,2009
HATPAT-3,Anthony Hatzimoysis,Philosophy and the Emotions,2003
DEOTAE,Julien Deonna and Fabrice Teroni,Taking Affective Explanations to Heart,2009
DESME,Ronald de Sousa,Moral Emotions,2001
MEYEEA-3,Anne Meylan,Epistemic Emotions: A Natural Kind?,2014
SORKTO,Kelly D. Sorensen,Kant's Taxonomy of the Emotions,2002
GOREAK,Robert M. Gordon,Emotions and Knowledge,1969
SALPSA-4,Alessandro Salice and Alba Montes S\'{a}nchez,"Pride, Shame, and Group Identification",2016
ROYSIT,Edward B. Royzman and John Sabini,Something It Takes to Be an Emotion: The Interesting Case of Disgust,2001
BROAL-5,Robert Brown,Analyzing Love,1987
TANMEA,June P. Tangney and Jeff Stuewig and Debra J. Mashek,Moral Emotions and Moral Behavior,2007
SCHTAT-29,Amy Morgan Schmitter,17Th and 18Th Century Theories of Emotions,2010
DEOTSO,Julien Deonna,The Structure of Empathy,2007
Zeev2002-BENAEA,Aaron Ben{-}Ze'ev,"Are Envy, Anger, and Resentment Moral Emotions?",2002
TRNMSE,Radek Trnka and Alek La\v{c}ev and Karel Balcar and Martin Ku\v{s}ka and Peter Tavel,Modeling Semantic Emotion Space Using a 3D Hypercube-Projection: An Innovative Analytical Approach for the Psychology of Emotions,2016
HOWMI-11,Scott Alexander Howard,Metaemotional Intentionality,2017
DESSE,Ronald B. De Sousa,Self-Deceptive Emotions,1978
DEIPE,John Deigh,Primitive Emotions,2004
SCHPAA-23,Amy Schmitter,Passions and Affections,2013
GRZEAT,A. Grzankowski,Emotions as Transitions,manuscript
HUADDE,Yang{-}Ming Huang and Maria Gendron and Lisa Feldman Barrett,Do Discrete Emotions Exist?,2009
GRZDER,A. Grzankowski,Do Emotions Represent Values and How Can We Tell?,manuscript
NUSNEB,Martha Nussbaum,Narrative Emotions: Beckett's Genealogy of Love,1988
ROBIAA,Robert C. Roberts,Is Amusement an Emotion?,1988
COOTEL-2,John M. Cooper,The Emotional Life of the Wise,2005
PETCAD-3,Valentina Petrolini and Marco Viola,Core Affect Dynamics: Arousal as a Modulator of Valence,2020
ELPNE,Andreas Elpidorou,Neglected Emotions,2020
ZAHBEA,Dan Zahavi,Basic Empathy and Complex Empathy,2012
LOGPBA-4,Art\={u}rs Https://Orcidorg Logins,Persistent Burglars and Knocks on Doors: Causal Indispensability of Knowing Vindicated,2021
SOLBTB,Robert C. Solomon,"Back to Basics: On the Very Idea of ""Basic Emotions""",2002
ROSHPA-5,Mauro Rossi,"Happiness, Pleasures, and Emotions",2018
SHASRW,Robert A. Sharpe,Seven Reasons Why Amusement is an Emotion,1975
PUTTEO,Daniel Putman,The Emotions of Courage,2001
SANWQD,Miguel F. Dos Santos,Walton's Quasi-Emotions Do Not Go Away,2017
GORELA,Robert M. Gordon,Emotion Labelling and Cognition,1978
COCRTH,Tom Cochrane,"Replies to Hatzimoysis, Hufendiek and Sievers, Majeed, Gerrans, and Whiting",2024
HATPF,Anthony Hatzimoysis,Passive Fear,2014
ZINSE,Alexandra Zinck,Self-Referential Emotions,2008
BRALRD-8,Rodrigo Braicovich,La Redefinici\'{o}n Del Concepto de Juicio En la Explicaci\'{o}n Cognitivista de Las Emociones,2021
COCPOT,Tom Cochrane,Pr\'{e}cis: The Emotional Mind: A Control Theory of Affective States,2024
LOACET,Juan Loaiza,Controversias En Torno a Los Conceptos Cotidianos y Conceptos Cient\'{i}ficos de Emoci\'{o}n,2022
COCTDB,Tom Cochrane,The Difference Between Emotion and Affect,2015
NOGOPD,Felipe Nogueira de Carvalho,O Papel Do Contexto Na Percep\c{c}~{a}o de Emo\c{c}~{o}es,2019
EDWOTD,Terence Rajivan Edward,"On the Definition of Jealousy and Other Emotions in Anarchy, State, and Utopia",2017
SANBTA,David Sander,Basic Tastes and Basic Emotions: Basic Problems and Perspectives for a Nonbasic Solution,2008
BELAWS,Macalester Bell,A Woman's Scorn: Toward a Feminist Defense of Contempt as a Moral Emotion,2000
WRICAR,William K. Wright,Conscience as Reason and as Emotion,1916
TEREEM,Fabrice Teroni,"Emotion Et Moi, Et Moi, Et Moi",2016
LEIOFA-4,Stephen R. Leighton,On Feeling Angry and Elated,1988
STAIPO,Paul Standish,In Praise of the Cognitive Emotions,1992
JUSGTT,Peter Just,"Going Through the Emotions: Passion, Violence, and ?Other-Control? Among the Dou Donggo",1991
CHAKOE,Teresa Chandler,?Kinds? of Emotion,2001
RORTPS,Am\'{e}lie Oksenberg Rorty,The Political Sources of Emotions: Greed and Anger,1998
FOXUAD,Michael Fox,Unconscious and Disguised Emotions,1976
GOSMCA,Justin C. B. Gosling,Mental Causes and Fear,1962
TAPPPO-2,Christine Tappolet and Fabrice Teroni and Anita Konzelman Ziv,Philosophical Perspectives on Negative Emotions: Shadows of the Soul,2011
EKAWIM,Paul Ekamn and Daniel Cordaro,What is Meant by Calling Emotions Basic,2011
ALLI-3,Lucy Allais,Introduction,2010
FOXUEA,Michael Fox,Unconscious Emotions: A Reply to Professor Mullane's Unconscious and Disguised Emotions,1976
CAMATD,C. A. Campbell,Are There ?Degrees' of the Moral Emotion?,1936
GREIL,Patricia S. Greenspan,Identificatory Love,1986
TAPSOT-3,Christine Tappolet and Fabrice Teroni and Anita Konzelmann Ziv,Shadows of the Soul: Philosophical Perspectives on Negative Emotions,2011
NEWJAT,Joseph Newirth,Jokes and Their Relation to the Unconscious: Humor as a Fundamental Emotional Experience,2006
GRESTO-2,Joshua C. Gregory,Some Theories of Laughter,1923
MANGAR-2,Arijeet Mandal,Ghi\~{n}n a Reading of Disgust as a Literary Device in Subimal Mishra?s Short Fiction,2023
DECPEI,Felipe Nogueira de Carvalho,Perceiving Emotions in (and Through) Social Interactions: A Deweyan Account,2022
LLOCEA,Harold Anthony Lloyd,Cognitive Emotion and the Law,2016
CERAAF,Alba Cercas Curry,An Apologia for Anger with Reference to Early China and Ancient Greece,2022
COCMSA-2,Tom Cochrane,"Mikko Salmela and Christian von Scheve , Collective Emotions: Perspectives From Psychology, Philosophy, and Sociology: Oxford University Press, 2014, 447 Pages, Isbn 9780199659180, \pounds55.00",2016
CRECCP,Sergio Volodia Marcello Cremaschi,"Clotilde Calabi, Passioni e Ragioni. Un Itinerario Nella Filosofia Della Psicologia,",1997
SOLROE-2,Marco Solinas,"Review of Elena Pulcini, Invidia. La Passione Triste.",2012
PROROV,Sara Protasi,Book Review of Virtuous Emotions by Kristj\'{a}n Kristj\'{a}nsson,2019
MEYJAD-2,Hugo Meynell,Justice and Desert-Based Emotions. By Kristjan Kristjansson,2007
NAVROE,Mar\'{i}a G. Navarro,Review of 'Emotion and Psyche' by Marc Jackson,2011
GOLRJE,Peter Goldie,Review: Justifying Emotions: Pride and Jealousy,2003
