ID,Author,Title,Year
HAWKAL,John Hawthorne,Knowledge and Lotteries,2004
HINKAB,Jaakko Hintikka,Knowledge and Belief,1962
DREEO,Fred I. Dretske,Epistemic Operators,1970
BERKRT,Peter Hawke and Franz Berto,Knowability Relative to Information,2021
FRECRE,Fred I. Dretske,Conclusive Reasons,1971
HAWTFP-2,"Peter Hawke and Ayb\""{u}ke \""{O}zg\""{u}n and Francesco Berto",The Fundamental Problem of Logical Omniscience,2020
DRETCA-2,Fred I. Dretske,The Case Against Closure,2013
SCHRSA,Joshua Schechter,Rational Self-Doubt and the Failure of Closure,2013
HAWTCF-2,John Hawthorne,The Case for Closure,2013
CLIACC,Nevin Climenhaga,A Cumulative Case Argument for Infallibilism,2021
GRECKB,Daniel Greco,Could Kk Be Ok?,2014
SMITHP-2,Martin Smith,The Hardest Paradox for Closure,2022
VOGATC,Jonathan Vogel,Are There Counterexamples to the Closure Principle,1990
MELKAC,Guido Melchior,Knowing and Checking: An Epistemological Investigation,2019
STISRA,G. C. Stine,"Skepticism, Relevant Alternatives, and Deductive Closure",1976
GOLSCA-5,Simon Goldstein and John Hawthorne,"Safety, Closure, and Extended Methods",2024
DASTAT-2,Nilanjan Das and Bernhard Salow,Transparency and the Kk Principle,2018
DREIKC,Fred Dretske,Is Knowledge Closed Under Known Entailment? The Case Against Closure,2013
HAWCDI,John Hawthorne,Contemporary Debates in Epistemology,2005
ZHASSA-2,Bin Zhao,"Sensitivity, Safety, and Epistemic Closure",2022
BALCCA,Brian Ball and Michael Blome{-}Tillmann,Counter Closure and Knowledge Despite Falsehood,2014
SILSBA-2,Paul Silva,Self-Fulfilling Beliefs: A Defence,2023
SCHCCA-24,Jonathan Schaffer,"Closure, Contrast, and Answer",2007
WILPAD-2,Timothy Williamson,Probability and Danger,2009
HEYBIA,Jan Heylen,Being in a Position to Know and Closure,2016
NAGTPB,Jennifer Nagel,The Psychological Basis of the Harman-Vogel Paradox,2011
Aarnio2008-LASSPD,Maria Lasonen{-}Aarnio,Single Premise Deduction and Risk,2008
FEDC-2,Federico Luzzi,Counter-Closure,2010
SMIFAF-3,Martin Smith,Four Arguments for Denying That Lottery Beliefs Are Justified,2021
TURSAT-15,John Turri,Skeptical Appeal: The Source-Content Bias,2015
