ID,Author,Title,Year
NUSUOT-3,Martha C. Nussbaum,Upheavals of Thought: The Intelligence of Emotions,2001
GRIWER,Paul E. Griffiths,What Emotions Really Are: The Problem of Psychological Categories,1997
DEOTEA,Julien A. Deonna and Fabrice Teroni,The Emotions: A Philosophical Introduction,2008
LYOE,William Lyons,Emotion,1980
DEOEAA,Julien A. Deonna and Fabrice Teroni,Emotions as Attitudes,2015
Zeev2000-BENTSO-14,Aharon Ben{-}Ze?ev,The Subtlety of Emotions,2000
DEICIT,John Deigh,Cognitivism in the Theory of Emotions,1994
MITEAF-2,Jonathan Mitchell,Emotion as Feeling Towards Value: A Theory of Emotional Experience,2021
LEDAHT,Joseph LeDoux and Richard Brown,A Higher-Order Theory of Emotional Consciousness,2017
ROBWAE,Robert C. Roberts,What an Emotion Is: A Sketch,1988
TEREAF,Fabrice Teroni,Emotions and Formal Objects,2007
MLLHTT,"Jean Moritz M\""{u}ller",How (Not) to Think of Emotions as Evaluative Attitudes,2017
CAREE-4,J. Adam Carter and Emma C. Gordon and S. Orestis Palermos,Extended Emotion,2016
DESE,Ronald de Sousa,Emotion,2007
VAROTR-2,Somogy Varga and Asbj\o{}rn Steglich{-}Petersen,On the Roles of False Belief and Recalcitrant Fear in Anorexia Nervosa,2023
MLLIDO-2,"Jean Moritz M\""{u}ller",In Defense of the Content-Priority View of Emotion,forthcoming
WOLOTE,Richard Wollheim,On the Emotions,1999
ROSWKO-2,Mauro Rossi and Christine Tappolet,What Kind of Evaluative States Are Emotions? The Attitudinal Theory Vs. The Perceptual Theory of Emotions,2019
GRZTRT-4,Alex Grzankowski,The Real Trouble with Recalcitrant Emotions,2017
GREACO-4,Patricia Greenspan,A Case of Mixed Feelings: Ambivalence and the Logic of Emotion,1980
GRZNRE,Alex Grzankowski,Navigating Recalcitrant Emotions,2020
ROREE,Am\'{e}lie Rorty,Explaining Emotions,1980
YIPEAH,Brandon Yip,Emotion as High-Level Perception,2021
NUSEAJ,Martha Nussbaum,Emotions as Judgments of Value and Importance,2004
SOLTPT,Robert C. Solomon,The Passions. The Myth and Nature of Human Emotions,1976
MUEEAP,Jean Moritz Mueller,Emotion as Position-Taking,2018
MINTEM,Marvin Lee Minsky,"The Emotion Machine: Commensense Thinking, Artificial Intelligence, and the Future of the Human Mind",2006
MARATO,Joel Marks,A Theory of Emotion,1982
PITE,George Pitcher,Emotion,1965
NEUATI-5,Jerome Neu,A Tear is an Intellectual Thing: The Meanings of Emotion,2000
DAZWDP,Rodrigo D\'{i}az,What Do People Think is an Emotion?,2022
SOLNPS-2,Robert C. Solomon,Not Passion?s Slave: Emotions and Choice,2003
SCAIAB,Andrea Scarantino,Insights and Blindspots of the Cognitivist Theory of Emotions,2010
WRITCO-8,Bill Wringe,The Contents of Perception and the Contents of Emotion,2014
SOLTTO-5,Robert C. Solomon,True to Our Feelings: What Our Emotions Are Really Telling Us,2006
REIEEI,Rainer Reisenzein,Emotional Experience in the Computational Belief?Desire Theory of Emotion,2009
MAIHCE,Michelle Maiese,How Can Emotions Be Both Cognitive and Bodily?,2014
MITARA,Jonathan Mitchell,Affective Representation and Affective Attitudes,2019
Petersen2024-STEODA-3,Asbj\o{}rn Steglich{-}Petersen and Somogy Varga,Obsessive-Compulsive Disorder and Recalcitrant Emotion: Relocating the Seat of Irrationality,2024
GRETEA,O. Harvey Green,The Emotions: A Philosophical Theory,1992
SFEEII,Nicolae Sfetcu,Emo?iile ?i Inteligen?a Emo?ional\ua \^{I}n Organiza?ii,2020
BEDE,E. Bedford,Emotions,1957
MILTAC-13,Michael Milona,The Attitudinalist Challenge to Perceptualism About Emotion,forthcoming
CHARCA,Louis C. Charland,Reconciling Cognitive and Perceptual Theories of Emotion: A Representational Proposal,1997
GREEAE,Patricia S. Greenspan,Emotions as Evaluations,1981
GILAIF-2,Jonathan Gilmore,Apt Imaginings: Feelings for Fictions and Other Creatures of the Mind,2020
LAUSAA-4,Federico Lauria and Delphine Preissmann and Fabrice Cl\'{e}ment,Self-Deception as Affective Coping. An Empirical Perspective on Philosophical Issues,2016
NAAEAA,Hichem Naar,Emotion: Animal and Reflective,2019
PRITRO-5,Carolyn Price,The Rationality of Grief,2010
NEUETA,Jerome Neu,"Emotion, Thought and Therapy",1977
COLFAP,Giovanna Colombetti,From Affect Programs to Dynamical Discrete Emotions,2009
ELPHFA,Andreas Elpidorou,"Horror, Fear, and the Sartrean Account of Emotions",2016
FRIEEA,Nico H. Frijda,Emotion Experience and its Varieties,2009
HATPAT-3,Anthony Hatzimoysis,Philosophy and the Emotions,2003
TERETI,Fabrice Teroni,Evaluative Theories in Psychology and Philosophy of Emotion,2021
COCTDI-2,Tom Cochrane,The Double Intentionality of Emotional Experience,2017
GOREAK,Robert M. Gordon,Emotions and Knowledge,1969
HATDDH,Gary Hatfield,Did Descartes Have a Jamesian Theory of the Emotions?,2007
DEBNHN-2,Remy Debes,Neither Here nor There: The Cognitive Nature of Emotion,2009
FURETB,Rick Anthony Furtak,"Emotion, the Bodily, and the Cognitive",2010
MACECA-2,Kym Maclaren,Emotional Clich\'{e}s and Authentic Passions: A Phenomenological Revision of a Cognitive Theory of Emotion,2011
CONCRT-2,Matthew Congdon,Creative Resentments: The Role of Emotions in Moral Change,2018
MLLMRS,"Jean Moritz M\""{u}ller",Minimal Rationality: Structural or Reasons-Responsive?,2022
BRUQA,Brian Bruya,Qing (?) and Emotion in Early Chinese Thought,2001
COLHSO-3,Mark Collier,Hume?s Science of Emotions: Feeling Theory Without Tears,2011
TEREPI,Julien Deonna and Christine Tappolet and Fabrice Teroni,Emotions: Philosophical Issues About,2015
NASCTO,Ronald Alan Nash,Cognitive Theories of Emotion,1989
LUCIMA,Luc Faucher and Christine Tappolet,Introduction: Modularity and the Nature of Emotions,2006
BLAAPO-9,Jonas Blatter,A Paradox of Past-Directed Fear: An Idealized Warrant Approach to the Fittingness of Emotion,forthcoming
SOLETA,Robert C. Solomon,"Emotions, Thoughts, and Feelings: What is a Cognitive Theory of the Emotions and Does It Neglect Affectivity?",2003
MCECET,Michael McEachrane,Capturing Emotional Thoughts: The Philosophy of Cognitive-Behavioral Therapy,2009
GRITDO,Paul E. Griffiths,The Degeneration of the Cognitive Theory of Emotions,1989
ZAMEAP,Edoardo Zamuner,Emotions as Psychological Reactions,2015
KUKECA,Martin Ku\v{s}ka and Radek Trnka and Josef Mana and Tomas Nikolai,Emotional Creativity: A Meta-Analysis and Integrative Review,2020
GOFEIT,Kris Goffin and Gerardo Viera,Emotions in Time: The Temporal Unity of Emotion Phenomenology,2024
GRZEAT,A. Grzankowski,Emotions as Transitions,manuscript
GRZDER,A. Grzankowski,Do Emotions Represent Values and How Can We Tell?,manuscript
HERCEF,Larry A. Herzberg,Can Emotional Feelings Represent Significant Relations?,2019
WIEEAW,Isaac Wiegman,Emotional Actions Without Goals,2020
KRICAE,Uriah Kriegel,Cognitivism About Emotion and the Alleged Hyperopacity of Emotional Content,2016
BEHASW,Kathy Behrendt,A Special Way of Being Afraid,2010
Zeev1987-BENTNO-5,Aaron Ben{-}Zeev,The Nature of Emotions,1987
FISWAY,Jeremy Fischer,"Why Are You Proud of That? Cognitivism About ""Possessive"" Emotions",2020
HALOTP-9,Jan Hal\'{a}k,On the Path Towards a Relational Interpretation of Affectivity,2023
JGEHWD,"Christoph J\""{a}ger",Hoffen Wider Die Hoffnung,2024
HACTCF,P. M. S. Hacker,The Conceptual Framework for the Investigation of Emotions,2009
GRASE,Margaret Graver,Stoicism \& Emotion,2007
CLEAEM,C. Leget,Avoiding Evasion: Medical Ethics Education and Emotion Theory,2004
ROBECA-5,Robert C. Roberts,Emotional Consciousness and Personal Relationships,2009
KURCWC,Charlie Kurth,Compassion Without Cognitivism,2019
LACEAC,Michael Lacewing,Emotion and Cognition: Recent Developments and Therapeutic Practice,2004
MUNNKS,Cecilea Mun,"Natural Kinds, Social Constructions, and Ordinary Language: Clarifying the Crisis in the Science of Emotion",2016
COCRTH,Tom Cochrane,"Replies to Hatzimoysis, Hufendiek and Sievers, Majeed, Gerrans, and Whiting",2024
BERTSI-8,Anja Berninger,Thinking Sadly: In Favor of an Adverbial Theory of Emotions,2016
BAHEAP,Raja Bahlul,Emotion as Patheception,2015
CHAECA,David Charles,"Emotion, Cognition and Action",2004
ORTLSA,F. Miguel Ortiz Delgado,Los Sentimientos Ante la (Nada Terrible) Muerte En la Filosof\'{i}a Estoica,2018
DECAAW,Helen De Cruz,Awe and Wonder in Scientific Practice: Implications for the Relationship Between Science and Religion,2020
BONTRO-17,Constant Bonard,The Rationality of Mood,2022
